ncbi_taxon_id	taxon	genus	species	target_list	sequencing_status
	Atrichum	Atrichum		OGG	
	Isoetes	Isoetes		OGG	
	Equisetum	Equisetum		OGG	
	Adiantum	Adiantum		OGG	
	Dennstaedtia	Dennstaedtia		OGG	
	Woodsia	Woodsia		OGG	
	Polypodiaceae			OGG	
	Trithuria	Trithuria		OGG	
	Liliales			OGG	
	Lunularia cruciata	Lunularia 	cruciata	OGG	
	Blasia pusilla	Blasia pusilla	pusilla	OGG	
	Ptisana robusta	Ptisana	robusta	OGG	
	Cibotium taiwanese	Cibotium	taiwanese	OGG	
	Freycinetia elegantula	Freycinetia	elegantula	OGG	
