	gen	sp	fam	family_representative	long_list	other_priority
2297	Echinostelium	brooksii	Echinostelidae		DTOL	
2298	Echinostelium	colliculosum	Echinostelidae		DTOL	
2299	Echinostelium	corynophorum	Echinostelidae		DTOL	
2300	Echinostelium	fragile	Echinostelidae		DTOL	
2301	Echinostelium	minutum	Echinostelidae	DTOL	DTOL	
2321	Eledone	cirrhosa	Eledonidae	DTOL	DTOL	
2333	Emberiza	cirlus	Emberizidae		DTOL	
2334	Emberiza	schoeniclus	Emberizidae		DTOL	
2335	Emberiza	calandra	Emberizidae	DTOL	DTOL	
2336	Emberiza	citrinella	Emberizidae	DTOL	DTOL	
2357	Endogemma	caespiticia	Endogemmaceae	DTOL	DTOL	
2421	Alucita	hexadactyla	Erebidae	DTOL	DTOL	
2467	Ethmia	dodecea	Ethmiidae	DTOL	DTOL	
2476	Euglena	anabaena var. minor	Euglenaceae		DTOL	DTOL
2502	Odentella	mobiliensis	Eupodiscaceae	DTOL	DTOL	
2503	Odentella	sinensis	Eupodiscaceae	DTOL	DTOL	
2521	Ervilia	sylvatica	Fabaceae		DTOL	
2607	Fenestella	fenestrata	Fenestellaceae		DTOL	
2608	Fenestella	salicis	Fenestellaceae		DTOL	
2609	Fenestella	vestita	Fenestellaceae		DTOL	
2610	Fenestella	bipapillata	Fenestellaceae	DTOL	DTOL	
2618	Syzygospora	mycophaga	Filobasidiaceae		DTOL	
2619	Syzygospora	tumefaciens	Filobasidiaceae		DTOL	
2621	Syzygospora	pallida	Filobasidiaceae	DTOL	DTOL	
2726	Zanardinia	typus	Galaxauraceae	DTOL	DTOL	
2733	Gayralia	oxysperma	Gayraliaceae	DTOL	DTOL	
2778	Erodium	aethiopicum	Geraniaceae		DTOL	
2852	Gomphidius	maculatus	Gomphidiaceae		DTOL	
2856	Gyalidea	rivularis	Gomphillaceae		DTOL	
2857	Gyalideopsis	muscicola	Gomphillaceae		DTOL	
2858	Jamesiella	anastomosans	Gomphillaceae		DTOL	
2861	Gyalidea	lecideopsis	Gomphillaceae	DTOL	DTOL	
2862	Gyalidea	roseola	Gomphillaceae	DTOL	DTOL	
2871	Hemipera	ovocaudata	Gonocercidae	DTOL	DTOL	
2872	Hemipera	sharpei	Gonocercidae	DTOL	DTOL	
2876	Alexandrium	tamutum	Gonyaulaceae	DTOL	DTOL	
2886	Opegrapha	vulgata	Graphidaceae		DTOL	
2974	Gyalecta	flotovii	Gyalectaceae	DTOL	DTOL	
2981	Amphidinium	carterae	Gymnodiniaceae	DTOL	DTOL	
3050	Haplopoma	graniferum	Haplopomidae	DTOL	DTOL	
3107	Heptamelus	ochroleucus	Heptamelidae	DTOL	DTOL	
3125	Racodium	rupestre	Herpotrichiellaceae	DTOL	DTOL	
3136	Heterocaps	triquetra	Heterocasaceae	DTOL	DTOL	
3139	Heterocladiella	dimorpha	Heterocladiellaceae	DTOL	DTOL	
3161	Distaplia	magnilarva	Holozoidae		DTOL	
