SPECIES_IF_SF	GENUS_IF_SF	FAMILY_IF_SF	ORDER_IF_SF	sample_collected	sequencing_status
Microsphaeropsis hellebori				DTOL	sample_collected
Microthyrium ilicinum				DTOL	sample_collected
Microthyrium lauri				DTOL	sample_collected
Microthyrium macrosporum				DTOL	sample_collected
Monilinia laxa				DTOL	sample_collected
Mycosphaerella buxicola				DTOL	sample_collected
Mycosphaerella isariphora				DTOL	sample_collected
Mycosphaerella podagrariae				DTOL	sample_collected
Neoerysiphe galeopsidis				DTOL	sample_collected
Ophiognomonia maximowiczianae				DTOL	sample_collected
Peniophora lycii				DTOL	sample_collected
Periconia byssoides				DTOL	sample_collected
Peronospora alta				DTOL	sample_collected
Peronospora hiemalis				DTOL	sample_collected
Phellinus pomaceus				DTOL	sample_collected
Phyllosticta japonica				DTOL	sample_collected
Plasmopara nivea				DTOL	sample_collected
Podosphaera aphanis				DTOL	sample_collected
Podosphaera leucotricha				DTOL	sample_collected
Podosphaera macrospora				DTOL	sample_collected
Protomyces macrosporus				DTOL	sample_collected
Pyrenopeziza inornata				DTOL	sample_collected
Pyrenopeziza petiolaris				DTOL	sample_collected
Ramularia ajugae				DTOL	sample_collected
Ramularia beticola				DTOL	sample_collected
Ramularia coccinea				DTOL	sample_collected
Ramularia geranii				DTOL	sample_collected
Ramularia lamii				DTOL	sample_collected
Ramularia septata				DTOL	sample_collected
Sawadaea bicornis				DTOL	sample_collected
Septoria dulcamarae				DTOL	sample_collected
Stigmina carpophila				DTOL	sample_collected
Stomiopeltis betulae				DTOL	sample_collected
Taphridium umbelliferarum				DTOL	sample_collected
Taphrina deformans				DTOL	sample_collected
Tuberculina sbrozzii				DTOL	sample_collected
Unknown fungus				DTOL	sample_collected
Urocystis eranthidis				DTOL	sample_collected
Ustilago avenae				DTOL	sample_collected
Venturia maculiformis				DTOL	sample_collected
Venturia rumicis				DTOL	sample_collected
Ramularia inaequalis				DTOL	sample_collected
Acrospermum compressum				DTOL	sample_collected
Ramularia anagallidis				DTOL	sample_collected
Cymadothea trifolii				DTOL	sample_collected
Erysiphe circaeae				DTOL	sample_collected
Tracya hydrocharidis				DTOL	sample_collected
Septoria convolvuli				DTOL	sample_collected
Hysterobrevium smilacis				DTOL	sample_collected
Phyllosticta opuli				DTOL	sample_collected
Cladosporium aecidiicola				DTOL	sample_collected
Anthracoidea subinclusa				DTOL	sample_collected
Podosphaera balsaminae				DTOL	sample_collected
Phyllosticta eupatorii				DTOL	sample_collected
Golovinomyces circumfusus				DTOL	sample_collected
Ustilago filiformis				DTOL	sample_collected
Ramularia alnicola				DTOL	sample_collected
Neosetophoma samarorum				DTOL	sample_collected
Septoria polygonorum				DTOL	sample_collected
Erysiphe lonicerae				DTOL	sample_collected
Stagonospora fuckelii				DTOL	sample_collected
Ramularia carneola				DTOL	sample_collected
Capronia sp.				DTOL	sample_collected
Capronia sp.				DTOL	sample_collected
Cantharellus cibarius				DTOL	sample_collected
Phaeolus schweinitzii				DTOL	sample_collected
Cortinarius sp.				DTOL	sample_collected
Polyporus durus				DTOL	sample_collected
Trichoderma pulvinatum				DTOL	sample_collected
Peziza badia				DTOL	sample_collected
Phaeohelotium sp.				DTOL	sample_collected
Collybia maculata				DTOL	sample_collected
Lactarius obscuratus				DTOL	sample_collected
Hygrophoropsis aurantiaca				DTOL	sample_collected
Inocybe soluta				DTOL	sample_collected
Gymnopus confluens				DTOL	sample_collected
Inocybe stellatospora				DTOL	sample_collected
Amanita fulva				DTOL	sample_collected
Helvella macropus				DTOL	sample_collected
leccinum versipelle				DTOL	sample_collected
Chlorociboria sp.				DTOL	sample_collected
Terriera cladophila				DTOL	sample_collected
Lophodermium juniperi				DTOL	sample_collected
Bulbillomyces farinosus				DTOL	sample_collected
Jackrogersella multiformis				DTOL	sample_collected
Phanerochaete sp.				DTOL	sample_collected
Tricholomopsis decora				DTOL	sample_collected
Collybiopsis vaillantii				DTOL	sample_collected
Cejpia hystrix				DTOL	sample_collected
Glyphium elatum				DTOL	sample_collected
Russula paludosa				DTOL	sample_collected
Russula decolorans				DTOL	sample_collected
Chalciporus piperatus				DTOL	sample_collected
Lactarius vietus				DTOL	sample_collected
Russula caerulea				DTOL	sample_collected
Arrhenia gerardiana				DTOL	sample_collected
Lactarius rufus				DTOL	sample_collected
Gymnopus acervatus				DTOL	sample_collected
Cortinarius armillatus				DTOL	sample_collected
Inocybe napipes				DTOL	sample_collected
russula sanguinea				DTOL	sample_collected
Russula vesca				DTOL	sample_collected
Russula emetica				DTOL	sample_collected
Laccaria bicolor				DTOL	sample_collected
russula betularum				DTOL	sample_collected
Hypholoma ericaeoides				DTOL	sample_collected
Mycena viridimarginata				DTOL	sample_collected
Mycena viridimarginata				DTOL	sample_collected
Marasmius vaillantii				DTOL	sample_collected
Akanthomyces sp.				DTOL	sample_collected
Menispora ciliata				DTOL	sample_collected
Coprinopsis friesii				DTOL	sample_collected
Scleroderma citrinum				DTOL	sample_collected
scleroderma verrucosum				DTOL	sample_collected
russula cyanoxantha				DTOL	sample_collected
cortinarius limonius				DTOL	sample_collected
Hygrocybe conica				DTOL	sample_collected
russula aquosa				DTOL	sample_collected
Ramularia taraxaci				DTOL	sample_collected
Gymnopus androsaceus				DTOL	sample_collected
Cryptodiscus pini				DTOL	sample_collected
Rhytisma salicinum				DTOL	sample_collected
Phanerochaete sordida				DTOL	sample_collected
Claviceps purpurea				DTOL	sample_collected
Capitotricha bicolor				DTOL	sample_collected
Russula subfoetens				DTOL	sample_collected
Inocybe leptophylla				DTOL	sample_collected
Russula ochroleuca				DTOL	sample_collected
Lactarius deliciosus				DTOL	sample_collected
Amanita virosa				DTOL	sample_collected
Boletus edulis				DTOL	sample_collected
Pluteus ephebeus				DTOL	sample_collected
Russula claroflava				DTOL	sample_collected
Amanita crocea				DTOL	sample_collected
Pluteus salicinus				DTOL	sample_collected
Russula aeruginea				DTOL	sample_collected
Xerocomus subtomentosus				DTOL	sample_collected
Gymnopus peronatus				DTOL	sample_collected
Leccinum holopus				DTOL	sample_collected
Leucopaxillus rhodoleucus				DTOL	sample_collected
melanoleuca polioleuca				DTOL	sample_collected
Pluteus cervinus				DTOL	sample_collected
Entoloma sp.				DTOL	sample_collected
Panus conchatus				DTOL	sample_collected
Entoloma chalybeum				DTOL	sample_collected
Lichenomphalia umbellifera				DTOL	sample_collected
Humaria hemisphaerica				DTOL	sample_collected
Phlebiella vaga				DTOL	sample_collected
Septoria lysimachiae				DTOL	sample_collected
Gorgoniceps micrometra				DTOL	sample_collected
Entoloma prunuloides				DTOL	sample_collected
Rhodocollybia maculata				DTOL	sample_collected
Leccinum albostipitatum				DTOL	sample_collected
Hygrocybe intermedia				DTOL	sample_collected
Cortinarius violaceus				DTOL	sample_collected
Hygrophorus pustulatus				DTOL	sample_collected
Gliophorus psittacinus				DTOL	sample_collected
Mycena rubromarginata				DTOL	sample_collected
Cortinarius semisanguineus				DTOL	sample_collected
Phlegmacium largum				DTOL	sample_collected
Amanita porphyria				DTOL	sample_collected
Russula xerampelina				DTOL	sample_collected
Cortinarius delibutus				DTOL	sample_collected
Gomphidius glutinosus				DTOL	sample_collected
Russula chloroides				DTOL	sample_collected
Amanita spadicea				DTOL	sample_collected
Lactarius subdulcis				DTOL	sample_collected
Infundibulicybe gibba				DTOL	sample_collected
Russula fuscorubroides				DTOL	sample_collected
Xerocomellus porosporus				DTOL	sample_collected
Lactarius deterrimus				DTOL	sample_collected
Russula fellea				DTOL	sample_collected
Lactarius vellereus				DTOL	sample_collected
Cortinarius torvus				DTOL	sample_collected
Hebeloma sinapizans				DTOL	sample_collected
Naucoria amarescens				DTOL	sample_collected
Cortinarius flexipes				DTOL	sample_collected
Thaxterogaster talus				DTOL	sample_collected
Lactarius uvidus				DTOL	sample_collected
Russula foetens				DTOL	sample_collected
Inosperma cookei				DTOL	sample_collected
Zhuliangomyces ochraceoluteus				DTOL	sample_collected
Inocybe erinaceomorpha				DTOL	sample_collected
Amanita ceciliae				DTOL	sample_collected
Craterellus cornucopioides				DTOL	sample_collected
Laccaria macrocystidiata				DTOL	sample_collected
Hygrocybe helobia				DTOL	sample_collected
Hymenoscyphus menthae				DTOL	sample_collected
Cyathicula coronata				DTOL	sample_collected
Ascocoryne cylichnium				DTOL	sample_collected
Mycena galericulata				DTOL	sample_collected
Hebeloma sordescens				DTOL	sample_collected
Lacrymaria pyrotricha				DTOL	sample_collected
Psathyrella pyrotricha				DTOL	sample_collected
Lactarius fulvissimus				DTOL	sample_collected
Hygrophorus agathosmus				DTOL	sample_collected
Limacella delicata				DTOL	sample_collected
Amanita phalloides				DTOL	sample_collected
Conocybe arrhenii				DTOL	sample_collected
Pholiotina arrhenii				DTOL	sample_collected
Clavulina cinerea				DTOL	sample_collected
Conocybe aporos				DTOL	sample_collected
Inocybe corydalina				DTOL	sample_collected
Hebeloma sacchariolens				DTOL	sample_collected
Dermoloma cuneifolium				DTOL	sample_collected
Russula densifolia				DTOL	sample_collected
Coprinopsis atramentaria				DTOL	sample_collected
Lactarius subumbonatus				DTOL	sample_collected
Cortinarius decipiens				DTOL	sample_collected
Cortinarius anomalus				DTOL	sample_collected
Inocybe duriuscula				DTOL	sample_collected
Cortinarius acutus				DTOL	sample_collected
Hygrocybe citrinovirens				DTOL	sample_collected
Cuphophyllus virgineus				DTOL	sample_collected
Hygrocybe ovina				DTOL	sample_collected
Hygrocybe acutoconica				DTOL	sample_collected
Clavulinopsis helvola				DTOL	sample_collected
Lycoperdon nigrescens				DTOL	sample_collected
Helicogloea pellucida				DTOL	sample_collected
Coccomyces sp.				DTOL	sample_collected
Agaricus porphyrocephalus				DTOL	sample_collected
Agaricus comtulus				DTOL	sample_collected
Agaricus langei				DTOL	sample_collected
Sphaerobolus stellatus				DTOL	sample_collected
Hymenoscyphus rokebyensis				DTOL	sample_collected
Leucoagaricus nympharum				DTOL	sample_collected
Lepiota cristata				DTOL	sample_collected
Calocybe carnea				DTOL	sample_collected
Peziza succosa				DTOL	sample_collected
Hygrocybe reidii				DTOL	sample_collected
Clavulinopsis fusiformis				DTOL	sample_collected
Hygrocybe glutinipes				DTOL	sample_collected
Entoloma ochreoprunuloides				DTOL	sample_collected
Atheniella flavoalba				DTOL	sample_collected
Butyriboletus subappendiculatus				DTOL	sample_collected
Entoloma papillatum				DTOL	sample_collected
Lactarius spinosulus				DTOL	sample_collected
Amanita excelsa				DTOL	sample_collected
Entoloma conferendum				DTOL	sample_collected
Entoloma jubatum				DTOL	sample_collected
Lactarius pubescens				DTOL	sample_collected
Thaxterogaster purpurascens				DTOL	sample_collected
Hygrocybe chlorophana				DTOL	sample_collected
Gomphidius maculatus				DTOL	sample_collected
Lactifluus volemus				DTOL	sample_collected
Russula aurora				DTOL	sample_collected
Tricholoma fulvum				DTOL	sample_collected
Tricholoma imbricatum				DTOL	sample_collected
Tricholoma ustale				DTOL	sample_collected
Entoloma porphyrophaeum				DTOL	sample_collected
Cortinarius integerrimus				DTOL	sample_collected
Suillus bovinus				DTOL	sample_collected
Helvella lacunosa				DTOL	sample_collected
Russula versicolor				DTOL	sample_collected
Ramaria pallida				DTOL	sample_collected
Cortinarius triumphans				DTOL	sample_collected
Phlegmacium triumphans				DTOL	sample_collected
Cortinarius elatior				DTOL	sample_collected
Fomitopsis pinicola				DTOL	sample_collected
Ampulloclitocybe clavipes				DTOL	sample_collected
Psathyrella piluliformis				DTOL	sample_collected
Russula nigricans				DTOL	sample_collected
Cortinarius malicorius				DTOL	sample_collected
Cortinarius mucifluoides				DTOL	sample_collected
Hypholoma capnoides				DTOL	sample_collected
Chrysomphalina grossula				DTOL	sample_collected
Calocybe persicolor				DTOL	sample_collected
Suillus viscidus				DTOL	sample_collected
Russula mustelina				DTOL	sample_collected
Pluteus phlebophorus				DTOL	sample_collected
Melanoleuca friesii				DTOL	sample_collected
Suillellus luridus				DTOL	sample_collected
Sarcodon imbricatus				DTOL	sample_collected
Melanoleuca albifolia				DTOL	sample_collected
Cortinarius urbicus				DTOL	sample_collected
Russula delica				DTOL	sample_collected
Tricholoma terreum				DTOL	sample_collected
Crepidotus mollis				DTOL	sample_collected
Leccinum cyaneobasileucum				DTOL	sample_collected
Buchwaldoboletus lignicola				DTOL	sample_collected
Russula puellaris				DTOL	sample_collected
Tomentella bryophila				DTOL	sample_collected
Amphinema byssoides				DTOL	sample_collected
Physisporinus vitreus				DTOL	sample_collected
Athelopsis glaucina				DTOL	sample_collected
Trechispora nivea				DTOL	sample_collected
Dendrocollybia racemosa				DTOL	sample_collected
Gliophorus laetus				DTOL	sample_collected
Mucidula mucida				DTOL	sample_collected
Inocybe mixtilis				DTOL	sample_collected
Phellodon niger				DTOL	sample_collected
Coleosporium tussilaginis				DTOL	sample_collected
Trechispora minima				DTOL	sample_collected
Sporothrix dimorphospora				DTOL	sample_collected
Penicillium melinii				DTOL	sample_collected
Fusarium lateritium				DTOL	sample_collected
Penicillium bialowiezense				DTOL	sample_collected
Mucor racemosus				DTOL	sample_collected
Penicillium polonicum				DTOL	sample_collected
Oidiodendron tenuissimum				DTOL	sample_collected
Penicillium lividum				DTOL	sample_collected
Penicillium subspinulosum				DTOL	sample_collected
Scytalidium album				DTOL	sample_collected
Curvibasidium cygneicollum				DTOL	sample_collected
Vishniacozyma carnescens				DTOL	sample_collected
Aspergillus versicolor				DTOL	sample_collected
Beauveria caledonica				DTOL	sample_collected
Sporothrix sp.				DTOL	sample_collected
Moristroma germanicum				DTOL	sample_collected
Absidia sp.				DTOL	sample_collected
Penicillium sp.				DTOL	sample_collected
Penicillium hoeksii				DTOL	sample_collected
Penicillium verhagenii				DTOL	sample_collected
Abortiporus biennis				DTOL	sample_collected
Sarocladium implicatum				DTOL	sample_collected
Coprinellus xanthothrix				DTOL	sample_collected
Botrytis sp.				DTOL	sample_collected
Trichoderma afroharzianum				DTOL	sample_collected
Syncephalastrum monosporum				DTOL	sample_collected
Moniliella sp.				DTOL	sample_collected
Paecilomyces sp.				DTOL	sample_collected
Absidia caerulea				DTOL	sample_collected
Myceliophthora lutea				DTOL	sample_collected
Chaetomella raphigera				DTOL	sample_collected
Allantophomopsiella pseudotsugae				DTOL	sample_collected
Godronia cassandrae				DTOL	sample_collected
Godronia cassandrae				DTOL	sample_collected
Podospora sp.				DTOL	sample_collected
Cladosporium sp.				DTOL	sample_collected
Mucor sp.				DTOL	sample_collected
Bloxamia sp.				DTOL	sample_collected
Coniochaeta acaciae				DTOL	sample_collected
Pilidium lythri				DTOL	sample_collected
Trichophaea abundans				DTOL	sample_collected
Leptosphaeria biglobosa				DTOL	sample_collected
Sordaria fimicola				DTOL	sample_collected
Cadophora malorum				DTOL	sample_collected
Immersiporthe knoxdaviesiana				DTOL	sample_collected
Nigrosabulum globosum				DTOL	sample_collected
Gibellulopsis nigrescens				DTOL	sample_collected
Alternaria scirpicola				DTOL	sample_collected
Filosporella fistucella				DTOL	sample_collected
Mortierella alpina				DTOL	sample_collected
Aspergillus amstelodami				DTOL	sample_collected
Heteroconium triticicola				DTOL	sample_collected
Monascus purpureus				DTOL	sample_collected
Seimatosporium sp.				DTOL	sample_collected
Gelasinospora sp.				DTOL	sample_collected
Auxarthron zuffianum				DTOL	sample_collected
Colletotrichum coccodes				DTOL	sample_collected
Haplographium delicatum				DTOL	sample_collected
Chlorophyllum rachodes				DTOL	sample_collected
Xanthoria elegans				DTOL	sample_collected
Xanthoparmelia loxodes				DTOL	sample_collected
Usnea cornuta				DTOL	sample_collected
Thelotrema lepadinum				DTOL	sample_collected
Stereocaulon vesuvianum				DTOL	sample_collected
Sphaerophorus globosus				DTOL	sample_collected
Seuratia millardetii				DTOL	sample_collected
Ricasolia virens				DTOL	sample_collected
Rhizocarpon geographicum				DTOL	sample_collected
Protoblastenia rupestris				DTOL	sample_collected
Pertusaria corallina				DTOL	sample_collected
Pertusaria albescens				DTOL	sample_collected
Peltigera praetextata				DTOL	sample_collected
Pectenia atlantica				DTOL	sample_collected
Paradendryphiella salina				DTOL	sample_collected
Pannaria conoplea				DTOL	sample_collected
Ophioparma ventosa				DTOL	sample_collected
Lobaria virens				DTOL	sample_collected
Lobaria pulmonaria				DTOL	sample_collected
Lichina pygmaea				DTOL	sample_collected
Lichina confinis				DTOL	sample_collected
Leptogium hibernicum				DTOL	sample_collected
Lecanora sulphurea				DTOL	sample_collected
Lecanactis abietina				DTOL	sample_collected
Icmadophila ericetorum				DTOL	sample_collected
Hypotrachyna taylorensis				DTOL	sample_collected
Ephebe lanata				DTOL	sample_collected
Cladonia squamosa				DTOL	sample_collected
Cladonia ramulosa				DTOL	sample_collected
Caloplaca marina				DTOL	sample_collected
Aspicilia laevata				DTOL	sample_collected
Arthopyrenia analepta				DTOL	sample_collected
Arthonia radiata				DTOL	sample_collected
Anaptychia runcinata				DTOL	sample_collected
Umbilicaria torrefacta				DTOL	sample_collected
Sticta sylvatica				DTOL	sample_collected
Platismatia glauca				DTOL	sample_collected
Nephroma laevigatum				DTOL	sample_collected
Metschnikowia zobellii				DTOL	sample_collected
Pleurotus eryngii				DTOL	sample_collected
Ceratocystis paradoxa				DTOL	sample_collected
Chaetomium bostrychodes				DTOL	sample_collected
Chlamydomyces palmarum				DTOL	sample_collected
Sporobolomyces roseus				DTOL	sample_collected
Loramyces juncicola				DTOL	sample_collected
Melanopsamma pomiformis				DTOL	sample_collected
Monochaetia saccardoi				DTOL	sample_collected
Didymosphaeria igniaria				DTOL	sample_collected
Didymella lycopersici				DTOL	sample_collected
Sphaerostilbella aureonitens				DTOL	sample_collected
Venturia pyrina				DTOL	sample_collected
Mucor mucedo				DTOL	sample_collected
Rhizomucor miehei				DTOL	sample_collected
Botryosphaeria quercuum				DTOL	sample_collected
Umbelopsis isabellina				DTOL	sample_collected
Galactomyces reessii				DTOL	sample_collected
Anthostomella formosa				DTOL	sample_collected
Neolentinus lepideus				DTOL	sample_collected
Phylloporia ribis				DTOL	sample_collected
Xylobolus frustulatus				DTOL	sample_collected
Truncatella angustata				DTOL	sample_collected
Phycomyces nitens				DTOL	sample_collected
Periconia macrospinosa				DTOL	sample_collected
Thysanophora penicillioides				DTOL	sample_collected
Coprinus cinereus				DTOL	sample_collected
Peziza ostracoderma				DTOL	sample_collected
Thielavia sepedonium				DTOL	sample_collected
Rosellinia aquila				DTOL	sample_collected
Monographella nivalis				DTOL	sample_collected
Microascus manginii				DTOL	sample_collected
Columnosphaeria fagi				DTOL	sample_collected
Absidia parricida				DTOL	sample_collected
Phacidium lacerum				DTOL	sample_collected
Valsa ambiens				DTOL	sample_collected
Spiniger meineckellus				DTOL	sample_collected
Stagonospora paludosa				DTOL	sample_collected
Pyricularia juncicola				DTOL	sample_collected
Aporothielavia leptoderma				DTOL	sample_collected
Helicodendron paradoxum				DTOL	sample_collected
Amylostereum chailletii				DTOL	sample_collected
Chondrostereum purpureum				DTOL	sample_collected
