SPECIES_IF_SF	GENUS_IF_SF	FAMILY_IF_SF	ORDER_IF_SF	sample_collected	sequencing_status
Phaeoclavulina alboapiculata	Milesina			DTOL	sample_collected
Inocybe posterula	Rosellinia			DTOL	sample_collected
Laccaria laccata	Olla			DTOL	sample_collected
Singerocybe phaeophthalma	Coprinus			DTOL	sample_collected
Gloeophyllum sepiarium	Diatrype			DTOL	sample_collected
Calonarius elegantissimus	Lophodermium			DTOL	sample_collected
Cortinarius elegantissimus	Camarosporium			DTOL	sample_collected
Cortinarius bergeronii	Entyloma			DTOL	sample_collected
Phlegmacium amoenolens	Uromyces			DTOL	sample_collected
Cortinarius amoenolens	Calloria			DTOL	sample_collected
Cortinarius puniceus	Chaetosphaerella			DTOL	sample_collected
Russula faginea	Ascodichaena			DTOL	sample_collected
Russula olivacea	Phyllosticta			DTOL	sample_collected
Lycoperdon excipuliforme	Diaporthopsis			DTOL	sample_collected
Lycoperdon excipuliforme	Lophiostoma			DTOL	sample_collected
Amanita vaginata	Chaetosphaeria			DTOL	sample_collected
Inocybe fraudans	Nemania			DTOL	sample_collected
Inocybe hirtella	Erysiphe			DTOL	sample_collected
Calonarius splendens	Melanomma			DTOL	sample_collected
Amanita simulans	Spermosporina			DTOL	sample_collected
Cortinarius vesterholtii	Pseudonectria			DTOL	sample_collected
Calonarius cisticola	Puccinia			DTOL	sample_collected
Cortinarius cisticola	Rich			DTOL	sample_collected
Inocybe fuscescentipes	Fuscoporia			DTOL	sample_collected
Ramariopsis corniculata	Fomes			DTOL	sample_collected
Clavulinopsis corniculata	Monilinia			DTOL	sample_collected
Inocybe griseolilacina	Vuilleminia			DTOL	sample_collected
Inocybe griseolilacina	Rhizodiscina			DTOL	sample_collected
Hygrophorus discoxanthus	Dacrymyces			DTOL	sample_collected
Xylaria hypoxylon	Polypore			DTOL	sample_collected
Macrocystidia cucumis	Calycina			DTOL	sample_collected
Gymnopus villosipes	Nodulisporium			DTOL	sample_collected
Ramariopsis tenuiramosa	Vialaea			DTOL	sample_collected
Hemimycena cucullata	Lichenopeltella			DTOL	sample_collected
Porpolomopsis calyptriformis	Lasiosphaeris			DTOL	sample_collected
Hygrocybe calyptriformis	Botryosphaeria			DTOL	sample_collected
Inocybe obscuroides	Parasola			DTOL	sample_collected
Inocybe cincinnata	Bactridium			DTOL	sample_collected
Russula pseudointegra	Hysterium			DTOL	sample_collected
Clavaria fumosa	Corynespora			DTOL	sample_collected
Clavaria fumosa	Sidera			DTOL	sample_collected
Trichoglossum hirsutum	Claussenomyces			DTOL	sample_collected
Paxillus obscurisporus	Dacrymyete			DTOL	sample_collected
Microglossum olivaceum	Stictis			DTOL	sample_collected
Sclerencoelia fraxinicola	Hyalorbilia			DTOL	sample_collected
Aleuria congrex	Asterostroma			DTOL	sample_collected
Cortinarius hinnuleoarmillatus	Lasiosphaeria			DTOL	sample_collected
Hygrophoropsis macrospora	Achroomyces			DTOL	sample_collected
Cantharellula umbonata	Fusarium			DTOL	sample_collected
Russula gracillima	Episphaeria			DTOL	sample_collected
Lactarius lacunarum	Leptotrochila cerastiorum			DTOL	sample_collected
Amanita fulvoides	Hyponectria			DTOL	sample_collected
Amanita battarrae	Peniophorella			DTOL	sample_collected
Russula farinipes	Amylostereum			DTOL	sample_collected
Mycena amicta	Thelonectria			DTOL	sample_collected
Ripartites tricholoma	Cryptosporella			DTOL	sample_collected
Inocybe asterospora	Tubeufia			DTOL	sample_collected
Inocybe petiginosa	Neonectria			DTOL	sample_collected
Lactarius britannicus	Xenasma			DTOL	sample_collected
Entoloma serrulatum	Bionectria			DTOL	sample_collected
Mycena vulgaris	Stypella			DTOL	sample_collected
Hygrocybe coccinea	Biscogniauxia			DTOL	sample_collected
Hygrocybe punicea	Sistotrema			DTOL	sample_collected
Gliophorus irrigatus	Bertia			DTOL	sample_collected
Inocybe grammopodia	Propolis			DTOL	sample_collected
Ramariopsis cf. subtilis	Dothiora			DTOL	sample_collected
Imleria badia	Bjerkandera			DTOL	sample_collected
Hygrophorus lucorum	Resinicium			DTOL	sample_collected
Entoloma atromadidum	Hypomyces			DTOL	sample_collected
Entoloma incanum	Akanthomyces			DTOL	sample_collected
Lactarius evosmus	Alternaria			DTOL	sample_collected
Tricholoma hemisulphureum	Aureobasidium			DTOL	sample_collected
Cortinarius castaneus	Boeremia			DTOL	sample_collected
Cortinarius subcoronatus	Cadophora			DTOL	sample_collected
