	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
0	Abeillia abeillei		Emerald-chinned Hummingbird	Trochilidae		B10K	B10K	B10K		in_progress	B10K		
12	Abroscopus albogularis		Rufous-faced Warbler	Scotocercidae							B10K		
13	Abroscopus schisticeps		Black-faced Warbler	Scotocercidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
14	Abroscopus superciliaris		Yellow-bellied Warbler	Scotocercidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
15	Aburria aburri		Wattled Guan	Cracidae							B10K		
16	Acanthagenys rufogularis		Spiny-cheeked Honeyeater	Meliphagidae							B10K		
17	Acanthis flammea		Common Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
18	Acanthis flammea		Common Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
19	Acanthis hornemanni		Arctic Redpoll	Fringillidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
20	Acanthis johannis		Warsangli Linnet	Fringillidae							B10K		
22	Acanthisitta chloris		Rifleman	Acanthisittidae	Phase Order	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
23	Acanthiza apicalis		Inland Thornbill	Acanthizidae							B10K		
24	Acanthiza chrysorrhoa		Yellow-rumped Thornbill	Acanthizidae							B10K		
25	Acanthiza cinerea		Grey Thornbill	Acanthizidae							B10K		
26	Acanthiza ewingii		Tasmanian Thornbill	Acanthizidae							B10K		
27	Acanthiza inornata		Western Thornbill	Acanthizidae							B10K		
28	Acanthiza iredalei		Slender-billed Thornbill	Acanthizidae							B10K		
29	Acanthiza katherina		Mountain Thornbill	Acanthizidae							B10K		
30	Acanthiza lineata		Striated Thornbill	Acanthizidae							B10K		
31	Acanthiza murina		Papuan Thornbill	Acanthizidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
32	Acanthiza nana		Yellow Thornbill	Acanthizidae							B10K		
33	Acanthiza pusilla		Brown Thornbill	Acanthizidae							B10K		
34	Acanthiza reguloides		Buff-rumped Thornbill	Acanthizidae							B10K		
35	Acanthiza robustirostris		Slaty-backed Thornbill	Acanthizidae							B10K		
36	Acanthiza uropygialis		Chestnut-rumped Thornbill	Acanthizidae							B10K		
38	Acanthorhynchus superciliosus		Western Spinebill	Meliphagidae		B10K	B10K	B10K		in_progress	B10K		
39	Acanthorhynchus tenuirostris		Eastern Spinebill	Meliphagidae							B10K		
40	Acanthornis magna		Scrubtit	Acanthizidae							B10K		
41	Accipiter albogularis		Pied Goshawk	Accipitridae							B10K		
42	Accipiter badius		Shikra	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
43	Accipiter bicolor		Bicolored Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
44	Accipiter brachyurus		New Britain Sparrowhawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
45	Accipiter brevipes		Levant Sparrowhawk	Accipitridae							B10K		
46	Accipiter butleri		Nicobar Sparrowhawk	Accipitridae							B10K		
47	Accipiter castanilius		Chestnut-flanked Sparrowhawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
48	Accipiter cirrocephalus		Collared Sparrowhawk	Accipitridae							B10K		
49	Accipiter collaris		Semicollared Hawk	Accipitridae							B10K		
50	Accipiter cooperii		Cooper's Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
51	Accipiter erythrauchen		Rufous-necked Sparrowhawk	Accipitridae							B10K		
52	Accipiter erythropus		Red-thighed Sparrowhawk	Accipitridae							B10K		
53	Accipiter fasciatus		Brown Goshawk	Accipitridae							B10K		
54	Accipiter francesiae		Frances's Sparrowhawk	Accipitridae		B10K				sample_collected	B10K		
55	Accipiter gentilis		Northern Goshawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
56	Accipiter gentilis		Northern Goshawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
57	Accipiter griseiceps		Sulawesi Goshawk	Accipitridae							B10K		
58	Accipiter gularis		Japanese Sparrowhawk	Accipitridae							B10K		
59	Accipiter gundlachi		Gundlach's Hawk	Accipitridae							B10K		
60	Accipiter haplochrous		White-bellied Goshawk	Accipitridae							B10K		
61	Accipiter henicogrammus		Moluccan Goshawk	Accipitridae							B10K		
62	Accipiter henstii		Henst's Goshawk	Accipitridae							B10K		
63	Accipiter hiogaster		Variable Goshawk	Accipitridae							B10K		
64	Accipiter imitator		Imitator Goshawk	Accipitridae							B10K		
65	Accipiter luteoschistaceus		Slaty-backed Sparrowhawk	Accipitridae							B10K		
66	Accipiter madagascariensis		Madagascar Sparrowhawk	Accipitridae		B10K				sample_collected	B10K		
67	Accipiter melanochlamys		Black-mantled Goshawk	Accipitridae							B10K		
68	Accipiter melanoleucus		Black Sparrowhawk	Accipitridae							B10K		
69	Accipiter meyerianus		Meyer's Goshawk	Accipitridae							B10K		
70	Accipiter minullus		Little Sparrowhawk	Accipitridae		B10K				sample_collected	B10K		
71	Accipiter nanus		Dwarf Sparrowhawk	Accipitridae							B10K		
72	Accipiter nisus		Eurasian Sparrowhawk	Accipitridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
73	Accipiter novaehollandiae		Gray Goshawk	Accipitridae							B10K		
74	Accipiter ovampensis		Ovambo Sparrowhawk	Accipitridae							B10K		
75	Accipiter poliocephalus		Grey-headed Goshawk	Accipitridae							B10K		
76	Accipiter poliogaster		Gray-bellied Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
77	Accipiter princeps		New Britain Goshawk	Accipitridae							B10K		
78	Accipiter rhodogaster		Vinous-breasted Sparrowhawk	Accipitridae							B10K		
79	Accipiter rufitorques		Fiji Goshawk	Accipitridae							B10K		
80	Accipiter rufiventris		Rufous-breasted Sparrowhawk	Accipitridae							B10K		
81	Accipiter soloensis		Chinese Sparrowhawk	Accipitridae							B10K		
82	Accipiter striatus		Sharp-shinned Hawk	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
85	Accipiter trinotatus		Spot-tailed Goshawk	Accipitridae							B10K		
86	Accipiter trivirgatus		Crested Goshawk	Accipitridae							B10K		
87	Accipiter virgatus		Besra	Accipitridae	Phase Genus	B10K				sample_collected	B10K	B10K	
88	Aceros nipalensis		Rufous-necked Hornbill	Bucerotidae							B10K		
90	Acridotheres albocinctus		Collared Myna	Sturnidae							B10K		
91	Acridotheres burmannicus		Vinous-breasted Myna	Sturnidae							B10K		
92	Acridotheres cinereus		Pale-bellied Myna	Sturnidae							B10K		
93	Acridotheres cristatellus		Crested Myna	Sturnidae							B10K		
94	Acridotheres fuscus		Jungle Myna	Sturnidae							B10K		
95	Acridotheres ginginianus		Bank Myna	Sturnidae							B10K		
96	Acridotheres grandis		Great Myna	Sturnidae							B10K		
97	Acridotheres javanicus		Javan Myna	Sturnidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
98	Acridotheres melanopterus		Black-winged Myna	Sturnidae							B10K		
99	Acridotheres tristis		Common Myna	Sturnidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
100	Acritillas indica		Yellow-browed Bulbul	Pycnonotidae							B10K		
101	Acrobatornis fonsecai		Pink-legged Graveteiro	Furnariidae							B10K		
147	Acropternis orthonyx		Ocellated Tapaculo	Rhinocryptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
148	Acryllium vulturinum		Vulturine Guineafowl	Numididae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
149	Actenoides bougainvillei		Moustached Kingfisher	Alcedinidae							B10K		
150	Actenoides concretus		Rufous-collared Kingfisher	Alcedinidae		B10K	B10K	B10K		in_progress	B10K		
151	Actenoides hombroni		Blue-capped Kingfisher	Alcedinidae							B10K		
153	Actenoides monachus		Green-backed Kingfisher	Alcedinidae							B10K		
154	Actenoides princeps		Scaly Kingfisher	Alcedinidae							B10K		
155	Actinodura egertoni		Rusty-fronted Barwing	Leiothrichidae							B10K		
156	Actinodura ramsayi		Spectacled Barwing	Leiothrichidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
158	Actitis hypoleucos		Common Sandpiper	Scolopacidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
159	Actitis macularius		Spotted Sandpiper	Scolopacidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
160	Actophilornis africanus		African Jacana	Jacanidae		B10K				sample_collected	B10K		
162	Adelomyia melanogenys		Speckled Hummingbird	Trochilidae	Phase Genus						B10K	B10K	
163	Aechmophorus clarkii		Clark's Grebe	Podicipedidae							B10K		
164	Aechmophorus occidentalis		Western Grebe	Podicipedidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
165	Aegithalos caudatus		Long-tailed Tit	Aegithalidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
166	Aegithalos concinnus		Black-throated Tit	Aegithalidae	Phase Genus	B10K				sample_collected	B10K	B10K	
167	Aegithalos glaucogularis		Silver-throated Tit	Aegithalidae							B10K		
168	Aegithalos iouschistos		Black-browed Tit	Aegithalidae							B10K		
169	Aegithalos leucogenys		White-cheeked Tit	Aegithalidae							B10K		
170	Aegithalos niveogularis		White-throated Tit	Aegithalidae							B10K		
175	Aegolius acadicus		Northern Saw-whet Owl	Strigidae	Phase Genus	B10K				sample_collected	B10K	B10K	
176	Aegolius funereus		Tengmalm's Owl	Strigidae		B10K	B10K	B10K		in_progress	B10K		
177	Aegolius harrisii		Buff-fronted Owl	Strigidae							B10K		
180	Aegotheles albertisi		Arfak Owlet-nightjar	Aegothelidae							B10K		
181	Aegotheles archboldi		Archbold's Owlet-nightjar	Aegothelidae							B10K		
182	Aegotheles bennettii		Barred Owlet-nightjar	Aegothelidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
183	Aegotheles crinifrons		Moluccan Owlet-nightjar	Aegothelidae							B10K		
184	Aegotheles cristatus		Australian Owlet-nightjar	Aegothelidae	Phase Genus						B10K	B10K	
185	Aegotheles insignis		Feline Owlet-nightjar	Aegothelidae							B10K		
187	Aegotheles savesi		New Caledonian Owlet-nightjar	Aegothelidae							B10K		
188	Aegotheles tatei		Spangled Owlet-nightjar	Aegothelidae							B10K		
189	Aegotheles wallacii		Wallace's Owlet-nightjar	Aegothelidae							B10K		
190	Aegypius monachus		Cinereous Vulture	Accipitridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
191	Aepypodius arfakianus		Wattled Brush-turkey	Megapodiidae							B10K		
192	Aepypodius bruijnii		Bruijn's Brush-turkey	Megapodiidae							B10K		
194	Aerodramus bartschi		Mariana Swiftlet	Apodidae							B10K		
195	Aerodramus brevirostris		Himalayan Swiftlet	Apodidae							B10K		
196	Aerodramus elaphrus		Seychelles Swiftlet	Apodidae							B10K		
197	Aerodramus francicus		Mascarene Swiftlet	Apodidae							B10K		
198	Aerodramus fuciphagus		Edible-nest Swiftlet	Apodidae							B10K		
199	Aerodramus hirundinaceus		Mountain Swiftlet	Apodidae							B10K		
202	Aerodramus leucophaeus		Polynesian Swiftlet	Apodidae							B10K		
203	Aerodramus maximus		Black-nest Swiftlet	Apodidae							B10K		
204	Aerodramus mearnsi		Philippine Swiftlet	Apodidae							B10K		
206	Aerodramus ocistus		Marquesan Swiftlet	Apodidae							B10K		
208	Aerodramus papuensis		Papuan Swiftlet	Apodidae							B10K		
210	Aerodramus salangana		Mossy-nest Swiftlet	Apodidae							B10K		
211	Aerodramus spodiopygius		White-rumped Swiftlet	Apodidae							B10K		
212	Aerodramus terraereginae		Australian Swiftlet	Apodidae							B10K		
214	Aerodramus vanikorensis		Uniform Swiftlet	Apodidae							B10K		
215	Aerodramus whiteheadi		Whitehead's Swiftlet	Apodidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
219	Aethia cristatella		Crested Auklet	Alcidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
220	Aethia psittacula		Parakeet Auklet	Alcidae							B10K		
221	Aethia pusilla		Least Auklet	Alcidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
222	Aethia pygmaea		Whiskered Auklet	Alcidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
224	Aethopyga boltoni		Apo Sunbird	Nectariniidae							B10K		
225	Aethopyga christinae		Fork-tailed Sunbird	Nectariniidae							B10K		
227	Aethopyga duyvenbodei		Elegant Sunbird	Nectariniidae							B10K		
229	Aethopyga flagrans		Flaming Sunbird	Nectariniidae							B10K		
230	Aethopyga gouldiae		Mrs. Gould's Sunbird	Nectariniidae							B10K		
234	Aethopyga linaraborae		Lina's Sunbird	Nectariniidae							B10K		
237	Aethopyga nipalensis		Green-tailed Sunbird	Nectariniidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
238	Aethopyga primigenia		Grey-hooded Sunbird	Nectariniidae							B10K		
239	Aethopyga pulcherrima		Metallic-winged Sunbird	Nectariniidae							B10K		
240	Aethopyga saturata		Black-throated Sunbird	Nectariniidae							B10K		
241	Aethopyga shelleyi		Lovely Sunbird	Nectariniidae							B10K		
242	Aethopyga siparaja		Crimson Sunbird	Nectariniidae		B10K	B10K	B10K		in_progress	B10K		
243	Aethopyga temminckii		Temminck's Sunbird	Nectariniidae							B10K		
245	Afropavo congensis		Congo Peafowl	Phasianidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
246	Afrotis afra		Black Bustard	Otididae							B10K		
247	Afrotis afraoides		White-quilled Bustard	Otididae							B10K		
248	Agamia agami		Agami Heron	Ardeidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
249	Agapornis canus		Grey-headed Lovebird	Psittaculidae	Phase Genus	B10K				sample_collected	B10K	B10K	
250	Agapornis fischeri		Fischer's Lovebird	Psittaculidae	Phase Genus	B10K				sample_collected	B10K	B10K	
251	Agapornis lilianae		Nyasa Lovebird	Psittaculidae							B10K		
252	Agapornis nigrigenis		Black-cheeked Lovebird	Psittaculidae							B10K		
253	Agapornis personatus		Yellow-collared Lovebird	Psittaculidae	Phase Genus						B10K	B10K	
254	Agapornis pullarius		Red-headed Lovebird	Psittaculidae							B10K		
255	Agapornis roseicollis		Rosy-faced Lovebird	Psittaculidae	Phase Family	B10K	B10K	B10K		in_progress	B10K		B10K
256	Agapornis roseicollis		Rosy-faced Lovebird	Psittaculidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
257	Agapornis swindernianus		Black-collared Lovebird	Psittaculidae							B10K		
258	Agapornis taranta		Black-winged Lovebird	Psittaculidae							B10K		
259	Agelaioides badius	badius	Baywing Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
260	Agelaioides badius		Baywing Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
262	Agelaius humeralis		Tawny-shouldered Blackbird	Icteridae							B10K		
263	Agelaius phoeniceus		Red-winged Blackbird	Icteridae	Phase Family	B10K	B10K	B10K		in_progress	B10K		B10K
264	Agelaius phoeniceus		Red-winged Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
265	Agelaius tricolor		Tricolored Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
266	Agelaius xanthomus		Yellow-shouldered Blackbird	Icteridae							B10K		
267	Agelastes meleagrides		White-breasted Guineafowl	Numididae							B10K		
268	Agelastes niger		Black Guineafowl	Numididae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
269	Agelasticus cyanopus		Unicolored Blackbird	Icteridae							B10K		
271	Agelasticus xanthophthalmus		Pale-eyed Blackbird	Icteridae							B10K		
272	Aglaeactis aliciae		Purple-backed Sunbeam	Trochilidae							B10K		
273	Aglaeactis castelnaudii		White-tufted Sunbeam	Trochilidae	Phase Genus						B10K	B10K	
274	Aglaeactis cupripennis		Shining Sunbeam	Trochilidae							B10K		
275	Aglaeactis pamela		Black-hooded Sunbeam	Trochilidae							B10K		
276	Aglaiocercus berlepschi		Venezuelan Sylph	Trochilidae							B10K		
277	Aglaiocercus coelestis		Violet-tailed Sylph	Trochilidae							B10K		
278	Aglaiocercus kingii		Long-tailed Sylph	Trochilidae	Phase Genus						B10K	B10K	
280	Agriornis albicauda		White-tailed Shrike Tyrant	Tyrannidae							B10K		
281	Agriornis lividus		Great Shrike Tyrant	Tyrannidae							B10K		
284	Agriornis murinus		Lesser Shrike Tyrant	Tyrannidae							B10K		
286	Agropsar sturninus		Purple-backed Starling	Sturnidae							B10K		
287	Ailuroedus buccoides		White-eared Catbird	Ptilonorhynchidae							B10K		
288	Ailuroedus crassirostris		Green Catbird	Ptilonorhynchidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
289	Aimophila notosticta		Oaxaca Sparrow	Passerellidae							B10K		
290	Aimophila rufescens		Rusty Sparrow	Passerellidae							B10K		
291	Aimophila ruficeps		Rufous-crowned Sparrow	Passerellidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
292	Aix galericulata		Mandarin Duck	Anatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
293	Aix sponsa		Wood Duck	Anatidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
296	Akialoa obscura		Lesser Akialoa	Fringillidae							B10K		
298	Akletos goeldii		Goeldi's Antbird	Thamnophilidae							B10K		
299	Akletos melanoceps		White-shouldered Antbird	Thamnophilidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
300	Alaemon alaudipes		Greater Hoopoe Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
302	Alauda arvensis		Eurasian Sky Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
303	Alauda arvensis		Eurasian Sky Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
304	Alauda arvensis		Eurasian Sky Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
305	Alauda arvensis		Eurasian Sky Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
306	Alauda gulgula		Oriental Sky Lark	Alaudidae							B10K		
307	Alauda leucoptera		White-winged Lark	Alaudidae							B10K		
308	Alauda razae		Raso Island Lark	Alaudidae							B10K		
309	Alaudala cheleensis		Asian Short-toed Lark	Alaudidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
310	Alaudala raytal		Sand Lark	Alaudidae							B10K		
313	Alca torda		Razorbill	Alcidae	Phase Family	B10K	B10K	B10K		in_progress	B10K		B10K
314	Alcedo atthis		Common Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
315	Alcedo atthis		Common Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
316	Alcedo coerulescens		Cerulean Kingfisher	Alcedinidae							B10K		
317	Alcedo euryzona		Blue-banded Kingfisher	Alcedinidae							B10K		
318	Alcedo hercules		Blyth's Kingfisher	Alcedinidae							B10K		
319	Alcedo meninting		Blue-eared Kingfisher	Alcedinidae							B10K		
320	Alcedo quadribrachys		Shining-blue Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
321	Alcedo semitorquata		Half-collared Kingfisher	Alcedinidae		B10K				sample_collected	B10K		
322	Alcippe brunneicauda		Brown Nun Babbler	Leiothrichidae							B10K		
323	Alcippe grotei		Black-browed Nun Babbler	Leiothrichidae							B10K		
324	Alcippe morrisonia		Grey-cheeked Nun Babbler	Leiothrichidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
325	Alcippe nipalensis		Nepal Nun Babbler	Leiothrichidae							B10K		
326	Alcippe peracensis		Mountain Nun Babbler	Leiothrichidae							B10K		
327	Alcippe poioicephala		Brown-cheeked Nun Babbler	Leiothrichidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
328	Alcippe pyrrhoptera		Javan Nun Babbler	Leiothrichidae							B10K		
329	Aleadryas rufinucha		Rufous-naped Bellbird	Oreoicidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
330	Alectoris barbara		Barbary Partridge	Phasianidae							B10K		
331	Alectoris chukar		Chukar Partridge	Phasianidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
332	Alectoris graeca		Rock Partridge	Phasianidae							B10K		
333	Alectoris magna		Przevalski's Partridge	Phasianidae							B10K		
334	Alectoris melanocephala		Arabian Partridge	Phasianidae							B10K		
335	Alectoris philbyi		Philby's Partridge	Phasianidae							B10K		
336	Alectoris rufa		Red-legged Partridge	Phasianidae		B10K	B10K	B10K		in_progress	B10K		
337	Alectroenas madagascariensis		Madagascar Blue Pigeon	Columbidae							B10K		
340	Alectroenas sganzini		Comoro Blue Pigeon	Columbidae							B10K		
341	Alectrurus risora		Strange-tailed Tyrant	Tyrannidae							B10K		
342	Alectrurus tricolor		Cock-tailed Tyrant	Tyrannidae							B10K		
343	Alectura lathami		Australian Brush-turkey	Megapodiidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
344	Alectura lathami		Australian Brush-turkey	Megapodiidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
345	Alethe castanea		Fire-crested Alethe	Muscicapidae							B10K		
347	Alipiopsitta xanthops		Yellow-faced Parrot	Psittacidae							B10K		
348	Alisterus amboinensis	amboinensis	Moluccan King Parrot	Psittaculidae	Phase Genus	B10K				sample_collected	B10K	B10K	
349	Alisterus chloropterus		Papuan King Parrot	Psittaculidae							B10K		
350	Alisterus scapularis		Australian King Parrot	Psittaculidae	Phase Genus	B10K				sample_collected	B10K	B10K	
351	Alle alle		Little Auk	Alcidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
352	Allenia fusca		Scaly-breasted Thrasher	Mimidae		B10K	B10K	B10K		in_progress	B10K		
353	Alopecoenas beccarii		Bronze Ground Dove	Columbidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
356	Alopecoenas salamonis		Thick-billed Ground Dove	Columbidae							B10K		
364	Alophoixus bres		Grey-cheeked Bulbul	Pycnonotidae							B10K		
365	Alophoixus finschii		Finsch's Bulbul	Pycnonotidae							B10K		
366	Alophoixus flaveolus		White-throated Bulbul	Pycnonotidae							B10K		
367	Alophoixus frater		Palawan Bulbul	Pycnonotidae							B10K		
368	Alophoixus ochraceus		Ochraceous Bulbul	Pycnonotidae							B10K		
369	Alophoixus pallidus		Puff-throated Bulbul	Pycnonotidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
370	Alophoixus phaeocephalus		Yellow-bellied Bulbul	Pycnonotidae							B10K		
371	Alopochelidon fucata		Tawny-headed Swallow	Hirundinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
372	Alopochen aegyptiaca		Egyptian Goose	Anatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
373	Amadina erythrocephala		Red-headed Finch	Estrildidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
374	Amadina fasciata		Cut-throat Finch	Estrildidae							B10K		
375	Amalocichla incerta		Lesser Ground Robin	Petroicidae							B10K		
376	Amalocichla sclateriana		Greater Ground Robin	Petroicidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
377	Amandava amandava		Red Avadavat	Estrildidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
378	Amandava formosa		Green Avadavat	Estrildidae							B10K		
379	Amandava subflava		Zebra Waxbill	Estrildidae							B10K		
386	Amaurornis moluccana		Rufous-tailed Bush-hen	Rallidae							B10K		
387	Amaurornis olivacea		Plain Bush-hen	Rallidae							B10K		
388	Amaurornis phoenicurus		White-breasted Waterhen	Rallidae							B10K		
392	Amazilia amabilis		Blue-chested Hummingbird	Trochilidae	Phase Genus	B10K				sample_collected	B10K	B10K	
393	Amazilia amazilia		Amazilia Hummingbird	Trochilidae							B10K		
395	Amazilia boucardi		Mangrove Hummingbird	Trochilidae							B10K		
396	Amazilia brevirostris		White-chested Emerald	Trochilidae	Phase Genus	B10K				sample_collected	B10K	B10K	
397	Amazilia candida		White-bellied Emerald	Trochilidae							B10K		
398	Amazilia castaneiventris		Chestnut-bellied Hummingbird	Trochilidae							B10K		
399	Amazilia chionogaster		White-bellied Hummingbird	Trochilidae							B10K		
400	Amazilia cyanifrons		Indigo-capped Hummingbird	Trochilidae							B10K		
401	Amazilia cyanocephala		Azure-crowned Hummingbird	Trochilidae							B10K		
402	Amazilia cyanura		Blue-tailed Hummingbird	Trochilidae							B10K		
403	Amazilia decora		Charming Hummingbird	Trochilidae							B10K		
404	Amazilia edward		Snowy-breasted Hummingbird	Trochilidae							B10K		
406	Amazilia franciae		Andean Emerald	Trochilidae							B10K		
407	Amazilia lactea		Sapphire-spangled Emerald	Trochilidae							B10K		
408	Amazilia leucogaster		Plain-bellied Emerald	Trochilidae							B10K		
409	Amazilia luciae		Honduran Emerald	Trochilidae							B10K		
410	Amazilia rosenbergi		Purple-chested Hummingbird	Trochilidae							B10K		
411	Amazilia rutila		Cinnamon Hummingbird	Trochilidae							B10K		
412	Amazilia saucerottei		Steely-vented Hummingbird	Trochilidae							B10K		
413	Amazilia tobaci		Copper-rumped Hummingbird	Trochilidae							B10K		
414	Amazilia tzacatl		Rufous-tailed Hummingbird	Trochilidae							B10K		
415	Amazilia versicolor		Versicolored Emerald	Trochilidae							B10K		
416	Amazilia violiceps		Violet-crowned Hummingbird	Trochilidae							B10K		
417	Amazilia viridicauda		Green-and-white Hummingbird	Trochilidae							B10K		
418	Amazilia viridifrons		Green-fronted Hummingbird	Trochilidae							B10K		
420	Amazilia yucatanensis		Buff-bellied Hummingbird	Trochilidae							B10K		
421	Amazona aestiva		Turquoise-fronted Parrot	Psittacidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
422	Amazona agilis		Black-billed Parrot	Psittacidae							B10K		
423	Amazona albifrons		White-fronted Parrot	Psittacidae	Phase Genus						B10K	B10K	
425	Amazona arausiaca		Red-necked Parrot	Psittacidae							B10K		
426	Amazona auropalliata		Yellow-naped Parrot	Psittacidae							B10K		
427	Amazona autumnalis		Red-lored Parrot	Psittacidae	Phase Genus						B10K	B10K	
428	Amazona barbadensis		Yellow-shouldered Parrot	Psittacidae	Phase Genus						B10K	B10K	
429	Amazona brasiliensis		Red-tailed Parrot	Psittacidae							B10K		
430	Amazona collaria		Yellow-billed Parrot	Psittacidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
431	Amazona dufresniana		Blue-cheeked Parrot	Psittacidae	Phase Genus	B10K				sample_collected	B10K	B10K	
432	Amazona farinosa		Mealy Parrot	Psittacidae	Phase Genus	B10K				sample_collected	B10K	B10K	
433	Amazona festiva		Festive Parrot	Psittacidae							B10K		
434	Amazona finschi		Lilac-crowned Parrot	Psittacidae							B10K		
