	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
10283	Vireolanius melitophrys		Chestnut-sided Shrike Vireo	Vireonidae							B10K		
10284	Vireolanius pulchellus		Green Shrike Vireo	Vireonidae							B10K		
10286	Volatinia jacarina		Blue-black Grassquit	Thraupidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10287	Vultur gryphus		Andean Condor	Cathartidae	Phase Genus	B10K				sample_collected	B10K	B10K	
10288	Wetmorethraupis sterrhopteron		Orange-throated Tanager	Thraupidae							B10K		
10289	Willisornis poecilinotus		Scale-backed Antbird	Thamnophilidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10290	Willisornis poecilinotus		Scale-backed Antbird	Thamnophilidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10291	Willisornis vidua		Xingu Scale-backed Antbird	Thamnophilidae							B10K		
10292	Xanthocephalus xanthocephalus		Yellow-headed Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10293	Xanthomixis apperti		Appert's Tetraka	Bernieridae							B10K		
10294	Xanthomixis cinereiceps		Grey-crowned Tetraka	Bernieridae							B10K		
10296	Xanthomixis zosterops		Short-billed Tetraka	Bernieridae							B10K		
10297	Xanthopsar flavus		Saffron-cowled Blackbird	Icteridae							B10K		
10298	Xanthotis flaviventer		Tawny-breasted Honeyeater	Meliphagidae							B10K		
10299	Xanthotis macleayanus		Macleay's Honeyeater	Meliphagidae							B10K		
10300	Xanthotis polygrammus		Spotted Honeyeater	Meliphagidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10301	Xanthotis provocator		Kadavu Honeyeater	Meliphagidae							B10K		
10302	Xema sabini		Sabine's Gull	Laridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10303	Xenerpestes minlosi		Double-banded Graytail	Furnariidae							B10K		
10304	Xenerpestes singularis		Equatorial Graytail	Furnariidae							B10K		
10305	Xenicus gilviventris		Alpine Rockwren	Acanthisittidae							B10K		
10306	Xenicus longipes		Bushwren	Acanthisittidae							B10K		
10308	Xenodacnis parina		Tit-like Dacnis	Thraupidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10309	Xenoglaux loweryi		Long-whiskered Owlet	Strigidae							B10K		
