institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:9866262	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866263	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Formicidae	Formica	fusca	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866264	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Formicidae	Formica	fusca	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9865924	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	constrictus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866227	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Vespidae	Dolichovespula	media	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866230	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Staphylinidae	Scaphidium	quadrimaculatum	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866232	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Lygaeidae	Megalonotus	chiragra	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866235	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Lampyridae	Lampyris	noctiluca	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9865923	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Nitidulidae	Meligethes	aeneus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9420254	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Sphecidae	Podalonia	hirsuta	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528526	80% ethanol	Arthropoda	Insecta	Coleoptera	Leiodidae	Catops	nigricans	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528532	Dry frozen (-80°C)	Arthropoda	Insecta	Diplura				2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9420256	Dry frozen (-80°C)	Arthropoda	Insecta	Hemiptera	Stenocephalidae	Dicranocephalus	agilis	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9414857	80% ethanol	Platyhelminthes	Turbellaria	Tricladida	Geoplanidae	Australoplana	sanguinea	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9414862	80% ethanol	Platyhelminthes	Turbellaria	Tricladida	Geoplanidae	Australoplana	sanguinea	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9505176	80% ethanol	Platyhelminthes		Tricladida	Geoplanidae	Caenoplana	variegata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9505175	80% ethanol	Platyhelminthes		Tricladida	Geoplanidae	Caenoplana	variegata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9414860	70% ethanol	Platyhelminthes	Turbellaria	Tricladida	Geoplanidae	Australoplana	sanguinea	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866256	80% ethanol	Arthropoda	Malacostraca	Isopoda	Porcellionidae	Porcellio	scaber	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9777161	80% ethanol	Arthropoda	Malacostraca	Isopoda	Porcellionidae	Porcellio	scaber	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866209	80% ethanol	Arthropoda	Malacostraca	Isopoda	Philosciidae	Philoscia	muscorum	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866206	80% ethanol	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	vulgare	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866205	80% ethanol	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	vulgare	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9866204	80% ethanol	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	vulgare	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473844	Dry frozen (-80°C)	Bryozoa	Gymnolaemata	Cheilostomata		Celleporella	hyalina	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9588998	100% ethanol	Bryozoa				Membranipora	membranacea	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9588999	100% ethanol	Bryozoa				Membranipora	membranacea	2021	sample_collected	DTOL	NHM
