superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Columbea	Phoenicopteriformes	Phoenicopterus ruber	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Columbea	Podicipediformes	Podiceps cristatus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Palaeognathae	Tinamiformes	Tinamus guttatus				Chordata	VGP						
Palaeognathae	Casuariiformes	Dromaius novaehollandiae	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Palaeognathae	Apterygiformes	Apteryx australis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Palaeognathae	Rheiformes	Rhea pennata	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Testudines, Cryptodira	Emydidae	Malaclemys terrapin		VGP		Chordata	VGP						
		Malaclemys terrapin				Chordata	VGP						
Testudines, Cryptodira	Testudinidae	Gopherus flavomarginatus		VGP		Chordata	VGP						
		Gopherus flavomarginatus				Chordata	VGP						
Anura	Neobatrachia > Ranoidea > Microhylidae	Gastrophryne carolinensis	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
		Gastrophryne carolinensis		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Polypteriformes	Erpetoichthys calabaricus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Acipenseriformes	Acipenser ruthenus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Acipenseriformes	Acipenser ruthenus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Acipenseriformes	Acipenser naccarii		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Amiiformes	Amia calva				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Lepisosteiformes	Lepisosteus oculatus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Elopiformes	Megalops cyprinoides	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Albuliformes	Albula vulpes				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Notacanthiformes	Notacanthus chemnitzii				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Anguilliformes	Anguilla anguilla	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Hiodontiformes	Hiodon tergisus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Osteoglossiformes	Scleropages formosus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Clupeiformes	Denticeps clupeoides	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Clupeiformes	Alosa sapidissima		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Alepocephaliformes	Xenodermichthys copei				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Gonorynchiformes	Chanos chanos	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Gymnotiformes	Electrophorus electricus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Lepidogalaxiiformes	Lepidogalaxias salamandroides				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Argentiniformes	Nansenia antarctica	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Galaxiiformes	Aplochiton taeniatus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Esociformes	Esox lucius	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Salmoniformes	Salmo trutta	open	Sanger 25G		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Ateleopodiformes	Guentherus altivelis				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Aulopiformes	Notolepis coatsi	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Myctophiformes	Electrona antarctica	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Lampridiformes	Lampris incognitus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Percopsiformes	Speoplatyrhinus poulsoni				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Zeiformes	Zeus faber	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Stylephoriformes	Stylephorus chordatus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Gadiformes	Gadus morhua	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Polymixiiformes	Polymixia lowei				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Beryciformes	Poromitra crassiceps	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Holocentriformes	Myripristis murdjan	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Batrachoidiformes	Thalassophryne amazonica	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Syngnathiformes	Syngnathus acus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Synbranchiformes	Mastacembelus armatus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
