Species	Phylum	Class	Order	Family	Genus	Status	project
Botrydiopsis arhiza	Stramenopiles/Ochrophyta	Xanthophyceae	Mischococcales	Botrydiopsidaceae	Botrydiopsis	sample_collected	DTOL
Dictyochloris fragrans	Chlorophyta	Chlorophyceae	Sphaeropleales	Dictyochloridaceae	Dictyochloris	sample_collected	DTOL
Dictyococcus varians	Chlorophyta	Chlorophyceae	Sphaeropleales	Dictyococcaceae	Dictyococcus	sample_collected	DTOL
Hartmannella cantabrigiensis	Amoebozoa	Tubulinea	Euamoebida	Hartmannellidae	Hartmannella	sample_collected	DTOL
Chaetopeltis orbicularis	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidaceae	Chaetopeltis	sample_collected	DTOL
Chaetophora lobata	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Chaetophora	sample_collected	DTOL
Carteria incisa	Chlorophyta	Chlorophyceae	Chlamydomonadales		Carteria	sample_collected	DTOL
Ciliophrys infusionum	Stramenopiles	Dictyochophyceae	Pedinellales		Ciliophrys	sample_collected	DTOL
Cylindrocapsa involuta	Chlorophyta	Chlorophyceae	Chlamydomonadales		Cylindrocapsa	sample_collected	DTOL
Lingulodinium polyedra	Alveolata/Dinophyta	Dinophyceae	Gonyaulacales		Lingulodinium	sample_collected	DTOL
Stigeoclonium farctum	Chlorophyta	Chlorophyceae	Chaetophorales		Stigeoclonium	sample_collected	DTOL
Stigeoclonium tenue	Chlorophyta	Chlorophyceae	Chaetophorales		Stigeoclonium	sample_collected	DTOL
Oedogonium cardiacum	Chlorophyta	Chlorophyceae	Oedogoniales		Oedogonium	sample_collected	DTOL
Pseudoparamoeba pagei	Amoebozoa	Discosea	Dactylopodida	Vexilliferidae	Pseudoparamoeba	sample_collected	DTOL
Vexillifera minutissima	Amoebozoa	Discosea	Dactylopodida	Vexilliferidae	Vexillifera	sample_collected	DTOL
