scientific_name	tax_id	long_list
Apiculatamorpha spiralis	2795268	ASG
Apiculatamorpha spiralis	2795268	ASG
Diplonema japonicum	2508216	ASG
Durinskia capensis	400755	ASG
Durinskia kwazulunatalensis	2038323	ASG
Paramoeba atlantica	1077153	ASG
Paramoeba invadens	1321612	ASG
Paramoeba pemaquidensis	180228	ASG
Rhynchopus euleeides	630703	ASG
Dinothrix rugata		ASG
Diplonema aggregatum		ASG
Kryptoperidinium triquetrum		ASG
Alatina morandinii	2579186	ASG
Beroe abyssicola	320166	ASG
Beroe mitrata	10200	ASG
Catostylus mosaicus	237413	ASG
Cephea cephea	880218	ASG
Colobonema sericeum	645382	ASG
Cotylorhiza tuberculata	323337	ASG
Crossota rufobrunnea	168729	ASG
Linuche aquila	880232	ASG
Linuche aquila	880232	ASG
Marivagia stellata	1053277	ASG
Mastigias papua	596313	ASG
Millepora alcicornis	544493	ASG
Millepora alcicornis	544493	ASG
Pelagia noctiluca	400838	ASG
Periphylla periphylla	880221	ASG
Phyllorhiza punctata	493932	ASG
Phyllorhiza punctata	493932	ASG
Praesagittifera naikaiensis	2602965	ASG
Praya dubia	316184	ASG
Pyrosoma godeauxi	569438	ASG
Solmissus incisa	515654	ASG
Versuriga anadyomene	880245	ASG
Pyrosoma atlanticum	76845	ASG
Symsagittifera roscoffensis	84072	ASG
Wuvula ochracea		ASG
Farrea occa	97977	ASG
Agelas oroides	72715	ASG
Amphimedon queenslandica	400682	ASG
Aphrocallistes beatrix	398365	ASG
Aphrocallistes vastus	83887	ASG
Aplysina aerophoba	289389	ASG
Aplysina cavernicola	121477	ASG
Carteriospongia foliascens	593584	ASG
Chondrilla caribensis	1336846	ASG
Chondrosia reniformis	68574	ASG
Cinachyrella alloclada	666329	ASG
Cliona delitrix	283504	ASG
Cliona orientalis	281731	ASG
Cliona viridis	76786	ASG
Coelocarteria singaporensis	281036	ASG
Corticium candelabrum	121492	ASG
Crambe crambe	3722	ASG
Cymbastela concentrica	484451	ASG
Dysidea avara	196820	ASG
Eunapius fragilis	91661	ASG
Geodia parva	1390724	ASG
Halichondria panicea	6063	ASG
Haliclona cinerea	178541	ASG
Haliclona simulans	492524	ASG
Halisarca caerulea	858189	ASG
Ianthella basta	375146	ASG
Ircinia oros	1141585	ASG
Ircinia ramosa	281041	ASG
Ircinia strobilina	467775	ASG
Ircinia variabilis	468559	ASG
Lendenfeldia chondrodes	279623	ASG
Lycopodina hypogea	2491183	ASG
Oopsacas minuta	111878	ASG
Oscarella lobularis	121494	ASG
Oscarella pearsei	1940113	ASG
Pachymatisma johnstonia	77183	ASG
Phorbas fictitius	748450	ASG
Pione vastifica	458513	ASG
Rhabdastrella globostellata	473528	ASG
Rhopaloeides odorabile	476028	ASG
Sarcotragus spinosulus	1088795	ASG
Spongia officinalis	252964	ASG
Spongilla lacustris	6055	ASG
Stryphnus fortis	1006811	ASG
Stylissa flabelliformis	237128	ASG
Sycon ciliatum	27933	ASG
Sycon coactum	1009717	ASG
Tethya citrina	460386	ASG
Tethya minuta	463342	ASG
Tethya seychellensis	463343	ASG
Theonella swinhoei	37505	ASG
Vazella pourtalesii	2710537	ASG
Xestospongia bergquistia	1088918	ASG
Chondrilla nucula	220712	ASG
Cliona varians	297654	ASG
Petrosia ficiformis	68564	ASG
Asconema setubalense		ASG
Haliclona indistincta		ASG
Haliclona viscosa		ASG
Pheronema carpenteri		ASG
Schaudinnia rosea		ASG
Coleps hirtus	60000	ASG
Coleps hirtus	60000	ASG
Euplotes aediculatus	5940	ASG
Euplotes daidaleos	471435	ASG
Euplotes magnicirratus	151034	ASG
Euplotes woodruffi	5942	ASG
Heterometopus palaeformis	5965	ASG
Histiobalantium natans	552361	ASG
Maristentor dinoferus	244810	ASG
Metopus contortus	2661169	ASG
Paramecium bursaria	74790	ASG
Paramecium bursaria	74790	ASG
Paramecium bursaria	74790	ASG
Paramecium bursaria	74790	ASG
Paramecium bursaria	74790	ASG
Paramecium bursaria	74790	ASG
Paramecium bursaria	74790	ASG
Paramecium chlorelligerum	1201934	ASG
Paramecium nephridiatum	109353	ASG
Paramuricea clavata	317549	ASG
Pseudoblepharisma tenue	2528046	ASG
Pseudoblepharisma tenue	2528046	ASG
Spirostomum semivirescens	1540144	ASG
Stentor polymorphus		ASG
Stentor roeselii		ASG
Stentor multiformis	710222	ASG
Strombidium purpureum	60006	ASG
Tetrahymena utriculariae	2486642	ASG
Tropidoatractus ariella	2213237	ASG
Tropidoatractus levanderi	2213235	ASG
Zoothamnium ignavum	1906146	ASG
Zoothamnium niveum	404942	ASG
Zoothamnium pelagicum	404947	ASG
Acropora cervicornis	6130	ASG
Loxodes rostrum		ASG
Avrainvillea nigricans	381413	ASG
Cladocopium infistulum	2752393	ASG
Penicillus capitatus	170435	ASG
Symbiodinium microadriaticum	2951	ASG
Acropora cervicornis	6130	ASG
Aliger gigas	291982	ASG
Antillogorgia bipinnata	1499518	ASG
Briareum asbestinum	86543	ASG
Cassiopea frondosa	237412	ASG
Cassiopea xamachana	12993	ASG
Chondrilla nucula	220712	ASG
Cliona varians	297654	ASG
Condylactis gigantea	47073	ASG
Convolutriloba macropyga	536237	ASG
Corculum cardissa	80824	ASG
Costasiella ocellifera	380564	ASG
Didemnum molle	322843	ASG
Diplosoma virens	322858	ASG
Elysia chlorotica	188477	ASG
Elysia crispata	231223	ASG
Elysia timida	154625	ASG
Eunapius fragilis	91661	ASG
Eunicea clavigera	287901	ASG
Eunicea knighti	204324	ASG
Eutreptiella sp. 'Long Island Sound 2002'	1298769	ASG
Fragum erugatum	561456	ASG
Fragum fragum	80821	ASG
Fragum sueziense	561460	ASG
Fragum unedo	80822	ASG
Gorgonia ventalina	204384	ASG
Hemiaulus hauckii	426650	ASG
Hippopus hippopus	80818	ASG
Hydra viridissima	6082	ASG
Lissoclinum verrilli	1292098	ASG
Meandrina meandrites	51056	ASG
Millepora alcicornis	544493	ASG
Muricea laxa	287906	ASG
Orbicella annularis	48500	ASG
Orbicella faveolata	48498	ASG
Palythoa caribaeorum	134933	ASG
Palythoa grandis	862612	ASG
Pararotalia calcariformata	1702111	ASG
Petrosia ficiformis	68564	ASG
Porites divaricata	262287	ASG
Prorocentrum donghaiense	257771	ASG
Pterogorgia guadalupensis	1607761	ASG
Pyrosoma atlanticum	76845	ASG
Rhodactis osculifera	2751898	ASG
Ricordea florida	165100	ASG
Stephanocoenia intersepta	504342	ASG
Stichodactyla haddoni	475174	ASG
Symsagittifera roscoffensis	84072	ASG
Tetraselmis convolutae	34154	ASG
Tridacna crocea	80833	ASG
Tridacna derasa	80831	ASG
Tridacna gigas	80829	ASG
Trididemnum clinides	641091	ASG
Trididemnum miniatum	1128088	ASG
Trididemnum nubilum	644239	ASG
Trididemnum solidum	1079459	ASG
Xestospongia muta	178552	ASG
Zoanthus pulchellus	504656	ASG
Diacarnus erythraeanus	879318	ASG
Alvinella caudata	36105	ASG
Alvinella pompejana	6376	ASG
Amphiduros pacificus	1209993	ASG
Branchinotogluma sandersi	1210404	ASG
Escarpia laminata	27912	ASG
Escarpia spicata	53617	ASG
Hesiolyra bergi	359165	ASG
Hesiospina vestimentifera	1209996	ASG
Inanidrilus leukodermatus	77720	ASG
Lamellibrachia barhami	53613	ASG
Lamellibrachia donwalshi	2282860	ASG
Laminatubus paulbrooksi	2736421	ASG
Naineris dendritica	273009	ASG
Nautalvinella pandorae	357345	ASG
Nerilla antennata	47108	ASG
Oasisia alvinae	53619	ASG
Olavius algarvensis	188229	ASG
Olavius tantulus	77735	ASG
Oligobrachia haakonmosbiensis	468924	ASG
Osedax frankpressi	283776	ASG
Osedax roseus	475203	ASG
Osedax talkovici	2175333	ASG
Paraescarpia echinospica	2080241	ASG
Paralvinella palmiformis	53620	ASG
Ridgeia piscesae	27915	ASG
Riftia pachyptila	6426	ASG
Sabellastarte japonica	6368	ASG
Salmacina tribranchiata	398486	ASG
Tubificoides benedii	188241	ASG
Aeolidia papillosa	195873	ASG
Aeolidiella glauca	1903821	ASG
Archivesica puertodeseadoi	2751826	ASG
Atrina vexillum	907449	ASG
Bactronophorus thoracites	2663719	ASG
Berghia stephanieae	1287507	ASG
Cerastoderma edule	55710	ASG
Coryphellina exoptata	1154719	ASG
Cuthona nana	219662	ASG
Cuthonella concinna	763118	ASG
Edmundsella pedata	76183	ASG
Embletonia pulchra	2483388	ASG
Eubranchus exiguus	76182	ASG
Facelina auriculata	219664	ASG
Facelina bostoniensis	219665	ASG
Fjordia lineata	71485	ASG
Gigantopelta chessoia	1735271	ASG
Hermaea bifida	749958	ASG
Laevistrombus canarium	2781991	ASG
Lepidochitona cinerea	256056	ASG
Littorina saxatilis	31220	ASG
Loripes lucinalis	244479	ASG
Lucinoma borealis	244482	ASG
Nierstraszella lineata	515354	ASG
Patella vulgata	6465	ASG
Phyllodesmium briareum	219671	ASG
Pinna rudis	1380992	ASG
Placida dendritica	71497	ASG
Potamopyrgus antipodarum	145637	ASG
Pteraeolidia ianthina	929462	ASG
Theodoxus fluviatilis	120472	ASG
Thyasira flexuosa	244496	ASG
Trinchesia cuanensis	2577043	ASG
Turtonia minuta	345469	ASG
