"lfd. Nr","Überfamilie","Familie","Unterfamilie","Tribus","Subtribus","Gattung","Art","Autoren","Trivialnamen (meist deutsche Namen)","KR-Nr.","GUID","Anmer-kung zum Artstatus","zu löschen!","Änderungs-Datum","Kommentar Änderung gegenüber Version 1 vom 4. Februar 2017","Anmerkung Faunistik Europa","Vorkommen in Europa sensu Fauna Europaea","Vorkommen in Europa i.w.S.","D","CH","A","Hinweis auf eingeschränkte Verbreitung","Anzahl Länder mit Nachweisen","Lebendbild","Diagnosebild"
"2","Micropterigoidea","Micropterigidae","","","","Micropterix","allionella","(Fabricius, 1794)","Bergwiesen-Urfalter","5","0e15d720-61f2-4154-b47f-15bb1bb2ff05","","","","","D-CH-A","etabliert","etabliert","D","C","A","","11","Ja","Ja"
"4","Micropterigoidea","Micropterigidae","","","","Micropterix","aruncella","(Scopoli, 1763)","","7","b3f1a10c-1580-44e1-80dc-adeff761e14b","","","","","D-CH-A","etabliert","etabliert","D","C","A","","35","Ja","Ja"
"5","Micropterigoidea","Micropterigidae","","","","Micropterix","aureatella","(Scopoli, 1763)","","8","605776b1-31ef-4f48-9fa9-40e1515cc22a","","","","","D-CH-A","etabliert","etabliert","D","C","A","","29","Ja","Ja"
"6","Micropterigoidea","Micropterigidae","","","","Micropterix","aureoviridella","(Höfner, 1898)","","9","ef81859a-3263-4513-ae73-92e468b2d01d","","","","","D-CH-A","etabliert","etabliert","D","C","A","","11","Ja","Ja"
"7","Micropterigoidea","Micropterigidae","","","","Micropterix","calthella","(Linnaeus, 1761)","","10","0036ef4f-5a2d-4db7-9b22-9eeb2e6c518e","","","06.01.2019 und 20.03.2021","1761 ==> [1760]; und wieder zurück:  [1760] ==> 1761","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"14","Micropterigoidea","Micropterigidae","","","","Micropterix","erctella","Walsingham, 1919","","15","b8aab7fe-2bd4-4d53-8d16-f0a884b28819","","","","","","etabliert","etabliert","","","","nur Sizilien","1","",""
"15","Micropterigoidea","Micropterigidae","","","","Micropterix","facetella","Zeller, 1850","","16","04a0d6ff-ce9f-49d9-b512-1a8411c8d4f6","","","","","","etabliert","etabliert","","","","nur Balkan erweitert","2","Ja","Ja"
"19","Micropterigoidea","Micropterigidae","","","","Micropterix","hartigi","Heath, 1981","","20","f9e88b48-ec6c-445b-8f5e-a1eb2a8f3834","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"28","Micropterigoidea","Micropterigidae","","","","Micropterix","klimeschi","Heath, 1973","","00026a","3ad94f89-c7f2-4373-9ffd-c0925e550a08","","","","","","etabliert","etabliert","","","","nur Dodekanische Inseln","1","","Ja"
"30","Micropterigoidea","Micropterigidae","","","","Micropterix","mansuetella","Zeller, 1844","Riedgras-Urfalter","28","a2bae88e-262c-41f7-bb22-6cd0cc130b89","","","","","D-CH-A","etabliert","etabliert","D","C","A","","23","Ja","Ja"
"36","Micropterigoidea","Micropterigidae","","","","Micropterix","myrtetella","Zeller, 1850","","31","8d5af626-9d2c-4ddd-a2f2-fd089843403d","","","","","D-CH-A","etabliert","etabliert","","","A","","12","Ja","Ja"
"37","Micropterigoidea","Micropterigidae","","","","Micropterix","osthelderi","Heath, 1975","Osthelders Urfalter","32","ae0dbe18-426f-4f9f-9033-d9f0d0447b25","","","","","D-CH-A","etabliert","etabliert","D","C","A","","11","Ja","Ja"
"39","Micropterigoidea","Micropterigidae","","","","Micropterix","rablensis","Zeller, 1868","","34","9b645d30-27a7-4b2d-a9ff-4fc53389e5d6","","","","","D-CH-A","etabliert","etabliert","","","A","","4","Ja","Ja"
"41","Micropterigoidea","Micropterigidae","","","","Micropterix","rothenbachii","Frey, 1856","","35","44a8226c-4972-4d6d-8621-a23dfbbd8210","","","","","D-CH-A","etabliert","etabliert","D","C","A","","8","Ja","Ja"
"43","Micropterigoidea","Micropterigidae","","","","Micropterix","schaefferi","Heath, 1975","","36","79d55290-9e1a-4876-b9a0-441e82a6fa84","","","","","D-CH-A","etabliert","etabliert","D","C","A","","18","Ja","Ja"
"44","Micropterigoidea","Micropterigidae","","","","Micropterix","sicanella","Zeller, 1847","","37","439a899e-e8b5-439f-924f-b154d7a78c23","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","3","Ja","Ja"
"45","Micropterigoidea","Micropterigidae","","","","Micropterix","tunbergella","(Fabricius, 1787)","","38","bda0af3d-f06f-440c-bc1c-0bfa5e9030e1","","","","","D-CH-A","etabliert","etabliert","D","C","A","","27","Ja","Ja"
"51","Micropterigoidea","Micropterigidae","","","","Micropterix","vulturensis","Heath, 1981","","42","15ade197-ca22-4db2-b49f-b08634f74afc","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"52","Micropterigoidea","Micropterigidae","","","","Micropterix","wockei","Staudinger, 1870","","43","bc0418c5-8227-425c-8963-e05c1514d634","","","18.12.2017 und 08.06.2019","Änderung Jahreszahl: 1870 ==> 1871; und wieder zurück: 1871 ==> 1870","","etabliert","etabliert","","","","nur Griechenland (inkl. Inseln)","2","","Ja"
"53","Micropterigoidea","Micropterigidae","","","","Micropterix","zangheriella","Heath, 1963","","44","29afdd34-109e-4cac-8333-3081f09ec082","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"55","Eriocranioidea","Eriocraniidae","","","","Dyseriocrania","subpurpurella","(Haworth, 1828)","","48","ea275c77-3d3a-4418-98f4-b047bdbbdc4e","","","","","D-CH-A","etabliert","etabliert","D","C","A","","36","Ja","Ja"
"56","Eriocranioidea","Eriocraniidae","","","","Paracrania","chrysolepidella","(Zeller, 1851)","Hainbuchen-Trugfalter","49","b913a25e-a2d0-4548-a78a-dc69e9592e33","","","","","D-CH-A","etabliert","etabliert","D","C","A","","21","Ja","Ja"
"57","Eriocranioidea","Eriocraniidae","","","","Heringocrania","unimaculella","(Zetterstedt, 1839)","","50","46a4e0dd-b427-4e7e-881d-b0c97a1775c9","","","","","D-CH-A","etabliert","etabliert","D","C","A","","22","Ja","Ja"
"58","Eriocranioidea","Eriocraniidae","","","","Eriocrania","sparrmannella","(Bosc, 1791)","Sparrmanns Trugfalter","51","9541d890-88c4-4c77-b596-12b86899794b","","","","","D-CH-A","etabliert","etabliert","D","C","A","","24","Ja","Ja"
"59","Eriocranioidea","Eriocraniidae","","","","Eriocrania","salopiella","(Stainton, 1854)","","52","957a0252-6620-4ff1-b4bf-96456077350c","","","","","D-CH-A","etabliert","etabliert","D","","A","","17","Ja","Ja"
"60","Eriocranioidea","Eriocraniidae","","","","Eriocrania","cicatricella","(Zetterstedt, 1839)","","53","62408b60-b3a2-45b9-bc56-f3d2f8a9cdad","","","","","D-CH-A","etabliert","etabliert","D","C","A","","27","Ja","Ja"
"62","Eriocranioidea","Eriocraniidae","","","","Eriocrania","sangii","(Wood, 1891)","","55","04b57870-e6ba-4771-ac91-ff656da4eea4","","","","","D-CH-A","etabliert","etabliert","D","C","A","","22","Ja","Ja"
"63","Eriocranioidea","Eriocraniidae","","","","Eriocrania","semipurpurella","(Stephens, 1834)","","56","6f97ecd7-da59-4f7f-9f91-c13bf7590d00","","","12/05/2019","Änderung Jahreszahl: 1835 ==> 1834","D-CH-A","etabliert","etabliert","D","C","A","","26","Ja","Ja"
"65","Hepialoidea","Hepialidae","","","","Gazoryctra","ganna","(Hübner, [1804])","Hübners Alpen-Wurzelbohrer","60","b1365a19-be57-4165-88ec-c0f9ae4b1f5f","","","","","D-CH-A","etabliert","etabliert","D","C","A","","8","Ja","Ja"
"66","Hepialoidea","Hepialidae","","","","Gazoryctra","fuscoargenteus","(Bang-Haas, 1927)","","61","48fbe920-82a2-4659-9a17-b96a3bb3113e","","zu löschen!","26/05/2021","Synonym zu Gazoryctra uralensis","","[-]","[-]","","","","","","[-]","[-]"
"68","Hepialoidea","Hepialidae","","","","Triodia","sylvina","(Linnaeus, 1761)","Ampfer-Wurzelbohrer","63","3c1e2480-29dc-4bad-8d90-ced4fb347ed2","","","06.01.2019 und 20.03.2021","1761 ==> [1760]; und wieder zurück:  [1760] ==> 1761","D-CH-A","etabliert","etabliert","D","C","A","","43","Ja","Ja"
"69","Hepialoidea","Hepialidae","","","","Triodia","adriaticus","(Osthelder, 1931)","Adriatischer Wurzelbohrer","64","bb1af019-ca73-4015-9e16-2ebbcfd3fcda","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","5","Ja","Ja"
"71","Hepialoidea","Hepialidae","","","","Korscheltellus","fusconebulosa","(de Geer, 1778)","Adlerfarn-Wurzelbohrer","69","dcfd3b25-ebbc-4044-b186-573e7163b550","","","","","D-CH-A","etabliert","etabliert","D","C","A","","32","Ja","Ja"
"73","Hepialoidea","Hepialidae","","","","Korscheltellus","lupulina","(Linnaeus, 1758)","Kleiner Hopfen-Wurzelbohrer","67","8fa6c64e-be56-4ffc-94b6-498af2597ec7","","","","","D-CH-A","etabliert","etabliert","D","C","A","","39","Ja","Ja"
"74","Hepialoidea","Hepialidae","","","","Pharmacis","carna","([Denis & Schiffermüller], 1775)","Espers Alpen-Wurzelbohrer, Schwärzlicher Wurzelbohrer","70","2b89e986-2c14-45c8-b308-98af250301cd","","","","","D-CH-A","etabliert","etabliert","D","C","A","","12","Ja","Ja"
"75","Hepialoidea","Hepialidae","","","","Pharmacis","claudiae","Kristal & Hirneisen, 1994","","73","84a0ab47-6b77-4bff-8061-8464ff98b15c","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"76","Hepialoidea","Hepialidae","","","","Pharmacis","anselminae","(Teobaldelli, 1977)","","74","5ec52272-d30e-4df2-a4c9-1c3b747ac419","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"77","Hepialoidea","Hepialidae","","","","Pharmacis","bertrandi","(Le Cerf, 1936)","","72","745fcfc4-dc09-49d5-a827-f80153306646","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","","Ja"
"81","Hepialoidea","Hepialidae","","","","Phymatopus","hecta","(Linnaeus, 1758)","Heidekraut-Wurzelbohrer","78","19a00a39-6bd3-47dc-b65c-f0877f85f57b","","","","","D-CH-A","etabliert","etabliert","D","C","A","","33","Ja","Ja"
"82","Hepialoidea","Hepialidae","","","","Hepialus","humuli","(Linnaeus, 1758)","Großer Hopfen-Wurzelbohrer","80","a069c41c-cbc2-4a70-83fe-fa3503359346","","","","","D-CH-A","etabliert","etabliert","D","C","A","","35","Ja","Ja"
"85","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Enteucha","acetosae","(Stainton, 1854)","Ampfer-Zwergminierfalter","86","defcccb7-fd00-41db-be57-65868c1a5a52","","","","","D-CH-A","etabliert","etabliert","D","C","A","","19","Ja","Ja"
"86","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Simplimorpha","promissa","(Staudinger, 1871)","","84","b9cf6b8d-5629-486f-90ca-83464885a87c","","","","","D-CH-A","etabliert","etabliert","","","A","","20","Ja",""
"87","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","freyella","(Heyden, 1858)","Winden-Zwergminierfalter","92","7605c8c9-adcd-42b4-bffd-601b79ea64e5","","","","","D-CH-A","etabliert","etabliert","D","C","A","","24","","Ja"
"88","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","prunetorum","(Stainton, 1855)","","103","ffc760ad-0de3-431d-9fe7-f7a1d8dfba7b","","","","","D-CH-A","etabliert","etabliert","D","C","A","","28","Ja","Ja"
"89","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","diniensis","(Klimesch, 1975)","","93","1f3f91d0-aadb-40e2-807c-7efe1b9e3757","","","","","","etabliert","etabliert","","","","nur Frankreich","1","",""
"90","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","aceris","(Frey, 1857)","","104","d7370dec-2a8a-40b5-882d-c461c3e479c6","","","","","D-CH-A","etabliert","etabliert","D","C","A","","33","Ja","Ja"
"91","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","ulmivora","(Fologne, 1860)","","113","f86aae78-0be5-45d4-87f2-cf0a7d3ee899","","","","","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"92","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","ulmiphaga","(Preissecker, 1942)","","114","549cfa2e-78b4-41f2-87eb-5f1553337f70","","","","","D-CH-A","etabliert","etabliert","","","A","","10","","Ja"
"94","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","viscerella","(Stainton, 1853)","","116","7e224751-f0cd-4206-bcf8-1c9c4c59e00d","","","","","D-CH-A","etabliert","etabliert","D","C","A","","23","","Ja"
"97","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","naturnella","(Klimesch, 1936)","","88","a3217e23-da65-4385-940a-c615edaeb9bd","","","","","D-CH-A","etabliert","etabliert","D","C","A","","10","Ja","Ja"
"98","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","tiliae","(Frey, 1856)","","95","5e01d199-6c53-4aa3-bd67-b45fad794222","","","","","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"99","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","betulicola","(Stainton, 1856)","","96","28185376-1139-45a6-b526-99e5b4c0891f","","","","","D-CH-A","etabliert","etabliert","D","C","A","","25","Ja","Ja"
"100","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","nivenburgensis","(Preissecker, 1942)","","97","186939b2-cde2-44f9-9a4d-21d92e0eaeaa","","","","","D-CH-A","etabliert","etabliert","D","","A","","16","","Ja"
"102","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","sakhalinella","Puplesis, 1984","","98","a585204f-ef15-49ab-9187-6ea9ad09c5cf","","","","","D-CH-A","etabliert","etabliert","D","C","A","","22","Ja","Ja"
"103","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","luteella","(Stainton, 1857)","","99","54e66e86-1d35-46e3-8da8-70682ebeb051","","","","","D-CH-A","etabliert","etabliert","D","C","A","","26","Ja","Ja"
"104","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","glutinosae","(Stainton, 1858)","","100","5d7f9374-d726-49af-b73b-07072805ec8d","","","","","D-CH-A","etabliert","etabliert","D","C","A","","32","Ja","Ja"
"105","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","alnetella","(Stainton, 1856)","","101","697cb0ea-0daa-40c4-bbb7-6feda8940947","","","","","D-CH-A","etabliert","etabliert","D","C","A","","31","Ja",""
"106","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","microtheriella","(Stainton, 1854)","","102","9252f47f-6a52-4d26-80d9-315947acd294","","","","","D-CH-A","etabliert","etabliert","D","C","A","","35","Ja","Ja"
"107","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","xystodes","(Meyrick, 1916)","","[non-KR]","7d7ec631-c52e-4777-90c5-992c10e48d18","","","","","Kanaren","etabliert: nur Kanaren/ Madeira/ Azoren","etabliert: nur Kanaren/ Madeira/ Azoren","","","","nur Kanaren","1","",""
"111","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","catharticella","(Stainton, 1853)","Weißfleckiger Kreuzdorn-Zwergminierfalter","109","669082dd-fcef-4a11-88f6-3e1fe6e3cd0d","","","","","D-CH-A","etabliert","etabliert","D","C","A","","27","Ja","Ja"
"114","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","sanguisorbae","(Wocke, 1865)","Wiesenknopf-Zwergminierfalter","117","051b6744-f6f2-44bd-a2bc-8e06b018d739","","","","","D-CH-A","etabliert","etabliert","D","C","A","","8","","Ja"
"115","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","thuringiaca","(Petry, 1904)","","118","7a79d4dc-b195-492c-8792-a74aeb3579c4","","","","","D-CH-A","etabliert","etabliert","D","C","A","","15","","Ja"
"116","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","rolandi","van Nieukerken, 1990","","119","55342952-76dc-43e4-8277-41c0bb40b436","","","","","D-CH-A","etabliert","etabliert","D","C","A","","18","","Ja"
"118","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","muricatella","(Klimesch, 1978)","","00185f","5e5b65ba-e24e-405d-ae36-c015a545e666","","","","","","etabliert","etabliert","","","","nur Griechenland","1","",""
"119","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","lapponica","(Wocke, 1862)","Nordischer Birken-Zwergminierfalter","89","0529f769-32c6-4415-beca-08974cf076bd","","","","","D-CH-A","etabliert","etabliert","D","C","A","","26","","Ja"
"120","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","confusella","(Wood & Walsingham, 1894)","","90","e5d777e8-9a4e-46b7-af58-a3e171d5e3de","","","","","D-CH-A","etabliert","etabliert","D","C","A","","25","Ja","Ja"
"121","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","malella","(Stainton, 1854)","","105","ca4d386f-024b-49a9-806d-25a5d7f00897","","","","","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"122","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","salicis","(Stainton, 1854)","","139","962dd777-97c9-4e75-b845-341da791daf7","","","","","D-CH-A","etabliert","etabliert","D","C","A","","33","Ja","Ja"
"123","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","arbusculae","(Klimesch, 1952)","","00139a","acdf81ff-3b2b-4e8c-9bae-9cee3b1bcfa5","","","02.05.2021 und 02.01.2023","D-Fähnchen gehisst; Jahr korrigiert: 1951 ==> 1952","D-CH-A","etabliert","etabliert","D","","A","","8","",""
"124","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","vimineticola","(Frey, 1856)","Lavendelweiden-Zwergminierfalter","140","d987166b-8529-4a7a-b715-190c5d91e770","","","","","D-CH-A","etabliert","etabliert","D","C","A","","10","","Ja"
"125","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","myrtillella","(Stainton, 1857)","","141","b727d187-8ff5-4d44-8e2d-c9e2c3cb931d","","","","","D-CH-A","etabliert","etabliert","D","C","A","","22","Ja","Ja"
"126","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","zelleriella","(Snellen, 1875)","","142","a1c0097f-4773-4185-bdef-666712342107","","","","","D-CH-A","etabliert","etabliert","D","","","","16","","Ja"
"127","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","benanderella","(Wolff, 1955)","","143","5a65c7d5-f08a-4f20-a61b-1e30ed19fe59","","","","","","etabliert","etabliert","","","","","10","","Ja"
"128","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","obliquella","(Heinemann, 1862)","","144","58734cee-1ce9-4e44-b36f-7743ccf29ead","","","","","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"130","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","trimaculella","(Haworth, 1828)","","146","475f7ef5-652c-4134-9df9-c688422d3fa9","","","","","D-CH-A","etabliert","etabliert","D","C","A","","34","Ja","Ja"
"131","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","assimilella","(Zeller, 1848)","","147","bf74a807-7c74-4bd9-85ba-e2179d5a2f70","","","","","D-CH-A","etabliert","etabliert","D","C","A","","28","Ja","Ja"
"132","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","anomalella","(Goeze, 1783)","","110","137b06da-33d6-4cee-b4e5-e49fb7b0ddd8","","","","","D-CH-A","etabliert","etabliert","D","C","A","","31","Ja","Ja"
"133","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","spinosissimae","(Waters, 1928)","","111","f2f3fe0e-ce73-48a3-8008-04b73cad4ace","","","","","","etabliert","etabliert","","","","","3","",""
"134","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","centifoliella","(Zeller, 1848)","","112","09992a45-e9c3-462a-bf6c-b49f2287496f","","","","","D-CH-A","etabliert","etabliert","D","C","A","","27","Ja","Ja"
"135","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","paradoxa","(Frey, 1858)","","120","a2f874c6-6abe-416d-8cc8-4a2e47ff54fb","","","","","D-CH-A","etabliert","etabliert","D","C","A","","24","","Ja"
"136","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","juryi","Puplesis, 1991","","121","79035d8b-25af-4bc0-ba91-b28711b5002a","","zu löschen!","19/01/2021","Synonym zu Stigmella paradoxa","","[-]","[-]","","","","","","[-]","[-]"
"137","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","inopinata","Laštůvka & Laštůvka, 1991","","122","bb602a7d-2c04-4d00-856c-770905cd48d1","","","","","","etabliert","etabliert","","","","","2","","Ja"
"138","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","hybnerella","(Hübner, 1796)","","134","868eccf3-44b1-4e86-be4f-46c3e39e7834","","","08/10/2019","(HÜBNER, [1813]) ==> (HÜBNER, 1796)","D-CH-A","etabliert","etabliert","D","C","A","","31","Ja","Ja"
"139","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","mespilicola","(Frey, 1856)","","135","d94399e4-c23e-42b3-b960-7ab93e6b9e4c","","","","","D-CH-A","etabliert","etabliert","D","C","A","","14","Ja","Ja"
"140","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","irregularis","Puplesis, 1994","","91","f13f0411-541b-4b97-8119-fdaa96c27456","","","","","","etabliert","etabliert","","","","","6","",""
"142","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","incognitella","(Herrich-Schäffer, [1855])","","165","97d4a7a2-4b0b-4bb4-9684-16f8f875a240","","","","","D-CH-A","etabliert","etabliert","D","C","A","","30","Ja","Ja"
"143","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","perpygmaeella","(Doubleday, 1859)","","166","25d28ae4-52d3-40ed-b41b-b0b8b429e08c","","","","","D-CH-A","etabliert","etabliert","D","C","A","","28","Ja",""
"145","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","torminalis","(Wood, 1890)","Elsbeeren-Zwergminierfalter","123","a6ac2d62-5632-441b-a82f-6e134d85c687","","","","","D-CH-A","etabliert","etabliert","D","C","","","7","",""
"147","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","regiella","(Herrich-Schäffer, [1855])","","125","2698a2c2-00d2-4b6a-b509-dea70144acdb","","","","","D-CH-A","etabliert","etabliert","D","C","A","","19","Ja","Ja"
"148","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","crataegella","(Klimesch, 1936)","","126","f6b5f3dc-c364-4d72-8138-ecce18675f7c","","","","","D-CH-A","etabliert","etabliert","D","C","A","","27","Ja","Ja"
"150","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","magdalenae","(Klimesch, 1950)","","128","b5e673e8-ae6b-4477-b58b-2c27b94337e8","","","","","D-CH-A","etabliert","etabliert","D","C","A","","24","Ja","Ja"
"151","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","nylandriella","(Tengström, 1848)","","129","b8b98066-215e-4224-94f6-085496f351c5","","","","","D-CH-A","etabliert","etabliert","D","C","A","","28","","Ja"
"152","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","oxyacanthella","(Stainton, 1854)","","130","a5c9e6fe-2ce8-4d46-8a59-c081803b70fd","","","","","D-CH-A","etabliert","etabliert","D","C","A","","28","Ja","Ja"
"153","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","pyri","(Glitz, 1865)","","131","48ad4a18-01f8-4b85-8c76-0719d491de19","","","","","D-CH-A","etabliert","etabliert","D","C","A","","20","Ja","Ja"
"154","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","minusculella","(Herrich-Schäffer, [1855])","","132","b71137cb-a293-446c-a5de-57ea54ad3bfe","","","","","D-CH-A","etabliert","etabliert","D","C","A","","27","Ja","Ja"
"155","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","desperatella","(Frey, 1856)","","133","5e59c072-04d5-402a-ba32-fcce053da2f5","","","","","D-CH-A","etabliert","etabliert","D","C","A","","17","Ja","Ja"
"156","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","stettinensis","(Heinemann, 1871)","","00185h","f11e5cd3-fcbe-45c8-a1a8-b8d529d3de3c","","","19/09/2017","D-Fähnchen ergänzt","D-CH-A","etabliert","etabliert","D","","","","9","Ja",""
"158","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","speciosa","(Frey, 1858)","","170","dbedc81b-2aba-472f-8299-02eb5ce770b7","","","","","D-CH-A","etabliert","etabliert","D","C","A","","25","Ja","Ja"
"159","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","lonicerarum","(Frey, 1857)","","172","18fe702a-da99-4ed6-a88c-7f37270015ab","","","","","D-CH-A","etabliert","etabliert","D","C","A","","18","","Ja"
"160","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","aurella","(Fabricius, 1775)","","152","f2a22ceb-a205-4c50-94fc-eab0e0361ece","","","","","D-CH-A","etabliert","etabliert","D","C","A","","31","Ja","Ja"
"161","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","auromarginella","(Richardson, 1890)","","153","9228b1c6-488b-488e-b778-a1df445cd229","","","","","","etabliert","etabliert","","","","","9","","Ja"
"162","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","splendidissimella","(Herrich-Schäffer, [1855])","","154","5f7f88c2-76b0-407c-9275-23c009f473f8","","","","","D-CH-A","etabliert","etabliert","D","C","A","","29","Ja","Ja"
"163","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","pretiosa","(Heinemann, 1862)","","155","a3c929a8-29a5-47cc-b133-412c1558a503","","","","","D-CH-A","etabliert","etabliert","D","C","A","","18","","Ja"
"165","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","aeneofasciella","(Herrich-Schäffer, [1855])","","157","7cdb6650-a9f6-4576-a48e-26d0766d2013","","","","","D-CH-A","etabliert","etabliert","D","C","A","","23","Ja","Ja"
"166","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","tormentillella","(Herrich-Schäffer, 1860)","","158","595183d3-e3a6-4c49-8a08-b6de01d6326e","","","","","D-CH-A","etabliert","etabliert","D","","A","","9","","Ja"
"168","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","dryadella","(Hofmann, 1868)","Alpen-Zwergminierfalter","160","cf926cd2-eddc-4707-aa0a-287680dd69ab","","","","","D-CH-A","etabliert","etabliert","D","C","A","","14","","Ja"
