Family	Genus	Species	NCBI name (if different)	Status	2020	lowest_priority	RBGE_2021	RBGK_2021	RBGE_2022	RBGK_2022	sample_collected	other_priority	family_representative	long_list
Woodsiaceae	Woodsia	alpina		dtol_other_priority	yes						DTOL	DTOL		DTOL
Woodsiaceae	Woodsia	ilvensis		dtol_family_representative	yes						DTOL		DTOL	DTOL
Adoxaceae	Adoxa	moschatellina		dtol				yes			DTOL			DTOL
Adoxaceae	Sambucus	ebulus		dtol						yes	DTOL			DTOL
Adoxaceae	Sambucus	nigra		dtol_other_priority	yes						DTOL	DTOL		DTOL
Adoxaceae	Viburnum	lantana		dtol_family_representative				yes			DTOL		DTOL	DTOL
Adoxaceae	Viburnum	opulus		dtol										DTOL
Aizoaceae	Carpobrotus	edulis		dtol_other_priority						yes	DTOL	DTOL		DTOL
Aizoaceae	Disphyma	crassifolium		dtol_family_representative						yes	DTOL		DTOL	DTOL
Alismataceae	Alisma	gramineum		dtol										DTOL
Alismataceae	Alisma	lanceolatum		dtol										DTOL
Alismataceae	Alisma	plantago-aquatica		dtol_family_representative				yes			DTOL		DTOL	DTOL
Alismataceae	Baldellia	ranunculoides		dtol						yes	DTOL			DTOL
Alismataceae	Damasonium	alisma		dtol										DTOL
Alismataceae	Luronium	natans		dtol										DTOL
Alismataceae	Sagittaria	latifolia		dtol										DTOL
Alismataceae	Sagittaria	sagittifolia		dtol										DTOL
Amaranthaceae	Atriplex	glabriuscula		dtol				yes			DTOL			DTOL
Amaranthaceae	Atriplex	laciniata		dtol			yes				DTOL			DTOL
Amaranthaceae	Atriplex	littoralis		dtol			yes				DTOL			DTOL
Amaranthaceae	Atriplex	longipes		dtol										DTOL
Amaranthaceae	Atriplex	patula		dtol										DTOL
Amaranthaceae	Atriplex	pedunculata		dtol										DTOL
Amaranthaceae	Atriplex	portulacoides		dtol				yes			DTOL			DTOL
Amaranthaceae	Atriplex	praecox		dtol_family_representative			yes				DTOL		DTOL	DTOL
Amaranthaceae	Atriplex	prostrata		dtol										DTOL
Amaranthaceae	Blitum	bonus-henricus		dtol						yes	DTOL			DTOL
Amaranthaceae	Chenopodiastrum	hybridum		dtol										DTOL
Amaranthaceae	Chenopodiastrum	murale		dtol										DTOL
Amaranthaceae	Chenopodium	album		dtol				yes			DTOL			DTOL
Amaranthaceae	Chenopodium	ficifolium		dtol										DTOL
Amaranthaceae	Chenopodium	vulvaria		dtol										DTOL
Amaranthaceae	Lipandra	polysperma		dtol										DTOL
Amaranthaceae	Oxybasis	chenopodioides		dtol										DTOL
Amaranthaceae	Oxybasis	glauca		dtol										DTOL
Amaranthaceae	Oxybasis	rubra		dtol										DTOL
Amaranthaceae	Oxybasis	urbica		dtol										DTOL
Amaranthaceae	Salicornia	dolichostachya		dtol										DTOL
Amaranthaceae	Salicornia	emerici		dtol										DTOL
Amaranthaceae	Salicornia	europaea		dtol										DTOL
Amaranthaceae	Salicornia	fragilis		dtol										DTOL
Amaranthaceae	Salicornia	nitens		dtol										DTOL
Amaranthaceae	Salicornia	obscura		dtol_other_priority								DTOL		DTOL
Amaranthaceae	Salicornia	ramosissima		dtol				yes			DTOL			DTOL
Amaranthaceae	Salsola	kali		dtol				yes			DTOL			DTOL
Amaranthaceae	Sarcocornia	perennis		dtol_family_representative									DTOL	DTOL
Amaranthaceae	Suaeda	maritima		dtol			yes				DTOL			DTOL
Amaranthaceae	Suaeda	vera		dtol_other_priority	yes						DTOL	DTOL		DTOL
Amaryllidaceae	Allium	ampeloprasum		dtol				yes			DTOL			DTOL
Amaryllidaceae	Allium	oleraceum		dtol										DTOL
Amaryllidaceae	Allium	paradoxum		dtol					yes		DTOL			DTOL
Amaryllidaceae	Allium	schoenoprasum		dtol_family_representative				yes			DTOL		DTOL	DTOL
Amaryllidaceae	Allium	scorodoprasum		dtol										DTOL
Amaryllidaceae	Allium	sphaerocephalon		dtol										DTOL
Amaryllidaceae	Allium	triquetrum		dtol				yes			DTOL			DTOL
Amaryllidaceae	Allium	ursinum		dtol				yes			DTOL			DTOL
Amaryllidaceae	Allium	vineale		dtol						yes	DTOL			DTOL
Amaryllidaceae	Galanthus	nivalis		dtol										DTOL
Amaryllidaceae	Narcissus	pseudonarcissus		dtol_other_priority				yes			DTOL	DTOL		DTOL
Apiaceae	Aegopodium	podagraria		dtol					yes		DTOL			DTOL
Apiaceae	Aethusa	cynapium		dtol										DTOL
Apiaceae	Angelica	archangelica		dtol			yes				DTOL			DTOL
Apiaceae	Angelica	sylvestris		dtol			yes				DTOL			DTOL
Apiaceae	Anthriscus	caucalis		dtol										DTOL
Apiaceae	Anthriscus	sylvestris		dtol_family_representative				yes			DTOL		DTOL	DTOL
Apiaceae	Apium	graveolens		dtol										DTOL
Apiaceae	Berula	erecta		dtol										DTOL
Apiaceae	Bunium	bulbocastanum		dtol										DTOL
Apiaceae	Bupleurum	baldense		dtol										DTOL
Apiaceae	Bupleurum	rotundifolium		dtol										DTOL
Apiaceae	Bupleurum	tenuissimum		dtol										DTOL
Apiaceae	Carum	carvi		dtol										DTOL
Apiaceae	Caucalis	platycarpos		dtol										DTOL
Apiaceae	Chaerophyllum	temulum		dtol					yes		DTOL			DTOL
Apiaceae	Cicuta	virosa		dtol										DTOL
Apiaceae	Conium	maculatum		dtol					yes		DTOL			DTOL
Apiaceae	Conopodium	majus		dtol						yes	DTOL			DTOL
Apiaceae	Crithmum	maritimum		dtol_other_priority	yes						DTOL	DTOL		DTOL
Apiaceae	Daucus	carota		dtol_family_representative	yes			yes			DTOL		DTOL	DTOL
Apiaceae	Eryngium	campestre		dtol				yes			DTOL			DTOL
Apiaceae	Eryngium	maritimum		dtol						yes	DTOL			DTOL
Apiaceae	Foeniculum	vulgare		dtol						yes	DTOL			DTOL
Apiaceae	Helosciadium	inundatum		dtol										DTOL
Apiaceae	Helosciadium	nodiflorum		dtol				yes			DTOL			DTOL
Apiaceae	Helosciadium	repens		dtol										DTOL
Apiaceae	Heracleum	mantegazzianum		dtol_other_priority			yes				DTOL	DTOL		DTOL
Apiaceae	Heracleum	sphondylium		dtol					yes		DTOL			DTOL
Apiaceae	Imperatoria	ostruthium		dtol										DTOL
Apiaceae	Ligusticum	scoticum		dtol			yes				DTOL			DTOL
Apiaceae	Meum	athamanticum		dtol										DTOL
Apiaceae	Oenanthe	aquatica		dtol										DTOL
Apiaceae	Oenanthe	crocata		dtol					yes		DTOL			DTOL
Apiaceae	Oenanthe	fistulosa		dtol										DTOL
Apiaceae	Oenanthe	fluviatilis		dtol										DTOL
Apiaceae	Oenanthe	lachenalii		dtol					yes		DTOL			DTOL
Apiaceae	Oenanthe	pimpinelloides		dtol						yes	DTOL			DTOL
Apiaceae	Oenanthe	silaifolia		dtol										DTOL
Apiaceae	Pastinaca	sativa		dtol										DTOL
Apiaceae	Petroselinum	crispum		dtol										DTOL
Apiaceae	Peucedanum	officinale		dtol										DTOL
Apiaceae	Physospermum	cornubiense		dtol										DTOL
Apiaceae	Pimpinella	major		dtol										DTOL
Apiaceae	Pimpinella	saxifraga		dtol										DTOL
Apiaceae	Sanicula	europaea		dtol			yes				DTOL			DTOL
Apiaceae	Scandix	pecten-veneris		dtol										DTOL
Apiaceae	Selinum	carvifolia		dtol										DTOL
Apiaceae	Seseli	libanotis		dtol						yes	DTOL			DTOL
Apiaceae	Silaum	silaus		dtol						yes	DTOL			DTOL
Apiaceae	Sison	amomum		dtol										DTOL
Apiaceae	Sison	segetum		dtol										DTOL
Apiaceae	Sium	latifolium		dtol				yes			DTOL			DTOL
Apiaceae	Smyrnium	olusatrum		dtol				yes			DTOL			DTOL
Apiaceae	Smyrnium	perfoliatum		dtol				yes			DTOL			DTOL
Apiaceae	Thysselinum	palustre		dtol										DTOL
Apiaceae	Torilis	arvensis		dtol										DTOL
Apiaceae	Torilis	japonica		dtol				yes			DTOL			DTOL
Apiaceae	Torilis	nodosa		dtol										DTOL
Apiaceae	Trinia	glauca		dtol										DTOL
Apocynaceae	Vinca	minor		dtol_family_representative			yes				DTOL		DTOL	DTOL
Aponogetonaceae	Aponogeton	distachyos		dtol_family_representative	yes						DTOL		DTOL	DTOL
Aquifoliaceae	Ilex	aquifolium		dtol_family_representative	yes		yes				DTOL		DTOL	DTOL
Araceae	Arum	italicum		dtol						yes	DTOL			DTOL
Araceae	Arum	maculatum	Arum italicum subsp. neglectum	dtol_family_representative				yes			DTOL		DTOL	DTOL
Araceae	Lemna	gibba		dtol_other_priority								DTOL		DTOL
Araceae	Lemna	minor		dtol										DTOL
Araceae	Lemna	minuta		dtol				yes			DTOL			DTOL
Araceae	Lemna	trisulca		dtol				yes			DTOL			DTOL
Araceae	Lemna	turionifera		dtol										DTOL
Araceae	Lysichiton	americanus		dtol_other_priority			yes				DTOL	DTOL		DTOL
Araceae	Spirodela	polyrhiza		dtol				yes			DTOL			DTOL
Araceae	Wolffia	arrhiza		dtol										DTOL
Araliaceae	Hedera	helix		dtol_family_representative	yes						DTOL		DTOL	DTOL
Araliaceae	Hedera	hibernica		dtol				yes			DTOL			DTOL
Aristolochiaceae	Aristolochia	clematitis		dtol				yes			DTOL			DTOL
Asparagaceae	Asparagus	prostratus		dtol						yes	DTOL			DTOL
Asparagaceae	Convallaria	majalis		dtol										DTOL
Asparagaceae	Hyacinthoides	hispanica		dtol						yes	DTOL			DTOL
Asparagaceae	Hyacinthoides	non-scripta		dtol_other_priority			yes				DTOL	DTOL		DTOL
Asparagaceae	Maianthemum	bifolium		dtol										DTOL
Asparagaceae	Ornithogalum	pyrenaicum		dtol										DTOL
Asparagaceae	Polygonatum	multiflorum		dtol										DTOL
Asparagaceae	Polygonatum	odoratum		dtol										DTOL
Asparagaceae	Polygonatum	verticillatum		dtol										DTOL
Asparagaceae	Ruscus	aculeatus		dtol				yes			DTOL			DTOL
Asparagaceae	Scilla	autumnalis		dtol										DTOL
Asparagaceae	Scilla	verna		dtol_family_representative			yes				DTOL		DTOL	DTOL
Asteraceae	Achillea	maritima		dtol										DTOL
Asteraceae	Achillea	millefolium		dtol				yes			DTOL			DTOL
Asteraceae	Achillea	ptarmica		dtol_other_priority			yes				DTOL	DTOL		DTOL
Asteraceae	Antennaria	dioica		dtol										DTOL
Asteraceae	Anthemis	arvensis		dtol										DTOL
Asteraceae	Anthemis	cotula		dtol										DTOL
Asteraceae	Arctium	lappa		dtol										DTOL
Asteraceae	Arctium	minus		dtol_other_priority	yes						DTOL	DTOL		DTOL
Asteraceae	Arnoseris	minima		dtol										DTOL
Asteraceae	Artemisia	absinthium		dtol_family_representative			yes				DTOL		DTOL	DTOL
Asteraceae	Artemisia	maritima		dtol				yes			DTOL			DTOL
Asteraceae	Artemisia	norvegica		dtol										DTOL
Asteraceae	Artemisia	vulgaris		dtol				yes			DTOL			DTOL
Asteraceae	Bellis	perennis		dtol_family_representative	yes						DTOL		DTOL	DTOL
Asteraceae	Bidens	cernua		dtol						yes	DTOL			DTOL
Asteraceae	Bidens	tripartita		dtol										DTOL
Asteraceae	Calendula	officinalis		dtol_other_priority		yes		yes			DTOL	DTOL		DTOL
Asteraceae	Carduus	crispus		dtol					yes		DTOL			DTOL
Asteraceae	Carduus	nutans		dtol					yes		DTOL			DTOL
Asteraceae	Carduus	tenuiflorus		dtol					yes		DTOL			DTOL
Asteraceae	Carlina	vulgaris		dtol						yes	DTOL			DTOL
Asteraceae	Centaurea	calcitrapa		dtol										DTOL
Asteraceae	Centaurea	cyanus		dtol										DTOL
Asteraceae	Centaurea	nigra		dtol			yes				DTOL			DTOL
Asteraceae	Centaurea	scabiosa		dtol										DTOL
Asteraceae	Chamaemelum	nobile		dtol_other_priority	yes						DTOL	DTOL		DTOL
Asteraceae	Cicerbita	alpina		dtol_other_priority	yes						DTOL	DTOL		DTOL
Asteraceae	Cichorium	intybus		dtol_other_priority				yes			DTOL	DTOL		DTOL
Asteraceae	Cirsium	acaule		dtol										DTOL
Asteraceae	Cirsium	arvense		dtol			yes				DTOL			DTOL
Asteraceae	Cirsium	dissectum		dtol										DTOL
Asteraceae	Cirsium	eriophorum		dtol										DTOL
Asteraceae	Cirsium	heterophyllum		dtol			yes				DTOL			DTOL
Asteraceae	Cirsium	palustre		dtol			yes				DTOL			DTOL
Asteraceae	Cirsium	tuberosum		dtol										DTOL
Asteraceae	Cirsium	vulgare		dtol			yes				DTOL			DTOL
Asteraceae	Crepis	biennis		dtol										DTOL
Asteraceae	Crepis	capillaris		dtol						yes	DTOL			DTOL
Asteraceae	Crepis	foetida		dtol										DTOL
Asteraceae	Crepis	mollis		dtol										DTOL
Asteraceae	Crepis	paludosa		dtol					yes		DTOL			DTOL
Asteraceae	Crepis	praemorsa		dtol										DTOL
