Family	Genus	Species	NCBI name (if different)	Status	2020	lowest_priority	RBGE_2021	RBGK_2021	RBGE_2022	RBGK_2022	sample_collected	other_priority	family_representative	long_list
Brassicaceae	Coincya	wrightii		dtol_other_priority				yes			DTOL	DTOL		DTOL
Brassicaceae	Crambe	maritima		dtol										DTOL
Brassicaceae	Descurainia	sophia		dtol					yes		DTOL			DTOL
Brassicaceae	Diplotaxis	tenuifolia		dtol										DTOL
Brassicaceae	Draba	aizoides		dtol										DTOL
Brassicaceae	Draba	incana		dtol					yes		DTOL			DTOL
Brassicaceae	Draba	norvegica		dtol										DTOL
Brassicaceae	Drabella	muralis		dtol										DTOL
Brassicaceae	Erophila	glabrescens		dtol										DTOL
Brassicaceae	Erophila	majuscula		dtol										DTOL
Brassicaceae	Erophila	verna		dtol										DTOL
Brassicaceae	Erysimum	cheiranthoides		dtol										DTOL
Brassicaceae	Erysimum	cheiri		dtol										DTOL
Brassicaceae	Hornungia	petraea		dtol										DTOL
Brassicaceae	Iberis	amara		dtol										DTOL
Brassicaceae	Isatis	tinctoria		dtol										DTOL
Brassicaceae	Lepidium	campestre		dtol										DTOL
Brassicaceae	Lepidium	coronopus		dtol										DTOL
Brassicaceae	Lepidium	heterophyllum		dtol										DTOL
Brassicaceae	Lepidium	latifolium		dtol										DTOL
Brassicaceae	Lepidium	ruderale		dtol										DTOL
Brassicaceae	Matthiola	sinuata		dtol						yes	DTOL			DTOL
Brassicaceae	Microthlaspi	perfoliatum		dtol										DTOL
Brassicaceae	Nasturtium	microphyllum		dtol										DTOL
Brassicaceae	Nasturtium	officinale		dtol						yes	DTOL			DTOL
Brassicaceae	Noccaea	caerulescens		dtol										DTOL
Brassicaceae	Rorippa	amphibia		dtol										DTOL
Brassicaceae	Rorippa	islandica		dtol										DTOL
Brassicaceae	Rorippa	palustris		dtol					yes		DTOL			DTOL
Brassicaceae	Rorippa	sylvestris		dtol										DTOL
Brassicaceae	Sinapis	alba		dtol										DTOL
Brassicaceae	Sinapis	arvensis		dtol					yes		DTOL			DTOL
Brassicaceae	Sisymbrium	officinale		dtol						yes	DTOL			DTOL
Brassicaceae	Subularia	aquatica		dtol										DTOL
Brassicaceae	Teesdalia	nudicaulis		dtol										DTOL
Brassicaceae	Thlaspi	arvense		dtol										DTOL
Brassicaceae	Thlaspi	caerulescens		dtol										DTOL
Brassicaceae	Turritis	glabra		dtol						yes	DTOL			DTOL
Butomaceae	Butomus	umbellatus		dtol_family_representative	yes						DTOL		DTOL	DTOL
Buxaceae	Buxus	sempervirens		dtol_family_representative	yes						DTOL		DTOL	DTOL
Cabombaceae	Cabomba	caroliniana		dtol_family_representative									DTOL	DTOL
Campanulaceae	Campanula	glomerata		dtol			yes				DTOL			DTOL
Campanulaceae	Campanula	latifolia		dtol										DTOL
Campanulaceae	Campanula	patula		dtol										DTOL
Campanulaceae	Campanula	rapunculus		dtol										DTOL
Campanulaceae	Campanula	rotundifolia		dtol_other_priority		yes		yes			DTOL	DTOL		DTOL
Campanulaceae	Campanula	trachelium		dtol										DTOL
Campanulaceae	Jasione	montana		dtol_family_representative				yes			DTOL		DTOL	DTOL
Campanulaceae	Legousia	hybrida		dtol										DTOL
Campanulaceae	Lobelia	dortmanna		dtol				yes			DTOL			DTOL
Campanulaceae	Lobelia	urens		dtol						yes	DTOL			DTOL
Campanulaceae	Phyteuma	orbiculare		dtol				yes			DTOL			DTOL
Campanulaceae	Phyteuma	spicatum		dtol				yes			DTOL			DTOL
Campanulaceae	Wahlenbergia	hederacea		dtol										DTOL
Cannabaceae	Humulus	lupulus		dtol_family_representative	yes						DTOL		DTOL	DTOL
Caprifoliaceae	Linnaea	borealis		dtol_other_priority	yes						DTOL	DTOL		DTOL
Caprifoliaceae	Lonicera	periclymenum		dtol				yes			DTOL			DTOL
Caryophyllaceae	Agrostemma	githago		dtol				yes			DTOL			DTOL
Caryophyllaceae	Arenaria	ciliata		dtol										DTOL
Caryophyllaceae	Arenaria	leptoclados		dtol										DTOL
Caryophyllaceae	Arenaria	serpyllifolia		dtol										DTOL
Caryophyllaceae	Cerastium	alpinum		dtol					yes		DTOL			DTOL
Caryophyllaceae	Cerastium	arvense		dtol					yes		DTOL			DTOL
Caryophyllaceae	Cerastium	cerastoides		dtol										DTOL
Caryophyllaceae	Cerastium	diffusum		dtol										DTOL
Caryophyllaceae	Cerastium	fontanum		dtol			yes				DTOL			DTOL
Caryophyllaceae	Cerastium	glomeratum		dtol				yes			DTOL			DTOL
Caryophyllaceae	Cerastium	nigrescens		dtol										DTOL
Caryophyllaceae	Cerastium	pumilum		dtol										DTOL
Caryophyllaceae	Cerastium	semidecandrum		dtol										DTOL
Caryophyllaceae	Cherleria	sedoides		dtol										DTOL
Caryophyllaceae	Corrigiola	litoralis		dtol										DTOL
Caryophyllaceae	Dianthus	armeria		dtol										DTOL
Caryophyllaceae	Dianthus	deltoides		dtol_family_representative	yes						DTOL		DTOL	DTOL
Caryophyllaceae	Dianthus	gratianopolitanus		dtol										DTOL
Caryophyllaceae	Herniaria	ciliolata		dtol						yes	DTOL			DTOL
Caryophyllaceae	Herniaria	glabra		dtol										DTOL
Caryophyllaceae	Honckenya	peploides		dtol_other_priority	yes						DTOL	DTOL		DTOL
Caryophyllaceae	Illecebrum	verticillatum		dtol						yes	DTOL			DTOL
Caryophyllaceae	Minuartia	recurva		dtol										DTOL
Caryophyllaceae	Moehringia	trinervia		dtol										DTOL
Caryophyllaceae	Moenchia	erecta		dtol										DTOL
Caryophyllaceae	Petrorhagia	nanteuilii		dtol										DTOL
Caryophyllaceae	Petrorhagia	prolifera		dtol										DTOL
Caryophyllaceae	Polycarpon	tetraphyllum		dtol										DTOL
Caryophyllaceae	Sabulina	rubella		dtol										DTOL
Caryophyllaceae	Sabulina	tenuifolia		dtol										DTOL
Caryophyllaceae	Sabulina	verna		dtol					yes		DTOL			DTOL
Caryophyllaceae	Sagina	apetala		dtol										DTOL
Caryophyllaceae	Sagina	filicaulis		dtol										DTOL
Caryophyllaceae	Sagina	maritima		dtol										DTOL
Caryophyllaceae	Sagina	nivalis		dtol										DTOL
Caryophyllaceae	Sagina	nodosa		dtol						yes	DTOL			DTOL
Caryophyllaceae	Sagina	procumbens		dtol						yes	DTOL			DTOL
Caryophyllaceae	Sagina	saginoides		dtol										DTOL
Caryophyllaceae	Sagina	subulata		dtol										DTOL
Caryophyllaceae	Saponaria	officinalis		dtol				yes			DTOL			DTOL
Caryophyllaceae	Scleranthus	annuus		dtol										DTOL
Caryophyllaceae	Silene	acaulis		dtol			yes				DTOL			DTOL
Caryophyllaceae	Silene	conica		dtol										DTOL
Caryophyllaceae	Silene	dioica		dtol_family_representative				yes			DTOL		DTOL	DTOL
Caryophyllaceae	Silene	flos-cuculi		dtol					yes		DTOL			DTOL
Caryophyllaceae	Silene	gallica		dtol										DTOL
Caryophyllaceae	Silene	latifolia		dtol_other_priority				yes			DTOL	DTOL		DTOL
Caryophyllaceae	Silene	noctiflora		dtol										DTOL
Caryophyllaceae	Silene	nutans		dtol										DTOL
Caryophyllaceae	Silene	otites		dtol										DTOL
Caryophyllaceae	Silene	suecica		dtol										DTOL
Caryophyllaceae	Silene	uniflora		dtol						yes	DTOL			DTOL
Caryophyllaceae	Silene	viscaria		dtol						yes	DTOL			DTOL
Caryophyllaceae	Silene	vulgaris		dtol					yes		DTOL			DTOL
Caryophyllaceae	Spergularia	marina		dtol_other_priority			yes				DTOL	DTOL		DTOL
Caryophyllaceae	Spergularia	media		dtol					yes		DTOL			DTOL
Caryophyllaceae	Spergularia	rubra		dtol					yes		DTOL			DTOL
Caryophyllaceae	Spergularia	rupicola		dtol										DTOL
Caryophyllaceae	Stellaria	alsine		dtol										DTOL
Caryophyllaceae	Stellaria	graminea		dtol										DTOL
Caryophyllaceae	Stellaria	holostea		dtol						yes	DTOL			DTOL
Caryophyllaceae	Stellaria	media		dtol_other_priority	yes						DTOL	DTOL		DTOL
Caryophyllaceae	Stellaria	neglecta		dtol										DTOL
Caryophyllaceae	Stellaria	nemorum		dtol										DTOL
Caryophyllaceae	Stellaria	pallida		dtol										DTOL
Caryophyllaceae	Stellaria	palustris		dtol										DTOL
Celastraceae	Euonymus	europaeus		dtol_family_representative	yes						DTOL		DTOL	DTOL
Celastraceae	Parnassia	palustris		dtol_family_representative			yes	yes			DTOL		DTOL	DTOL
Ceratophyllaceae	Ceratophyllum	demersum		dtol_family_representative			yes				DTOL		DTOL	DTOL
Ceratophyllaceae	Ceratophyllum	submersum		dtol_family_representative									DTOL	DTOL
Cistaceae	Helianthemum	apenninum		dtol_other_priority	yes						DTOL	DTOL		DTOL
Cistaceae	Helianthemum	nummularium		dtol_family_representative	yes	yes					DTOL		DTOL	DTOL
Cistaceae	Helianthemum	oelandicum		dtol					yes		DTOL			DTOL
Cistaceae	Tuberaria	guttata		dtol_other_priority						yes	DTOL	DTOL		DTOL
Colchicaceae	Colchicum	autumnale		dtol_family_representative				yes			DTOL		DTOL	DTOL
Convolvulaceae	Calystegia	sepium		dtol_other_priority	yes						DTOL	DTOL		DTOL
Convolvulaceae	Calystegia	soldanella		dtol_family_representative				yes			DTOL		DTOL	DTOL
Convolvulaceae	Convolvulus	arvensis		dtol_other_priority	yes						DTOL	DTOL		DTOL
Convolvulaceae	Cuscuta	epithymum		dtol						yes	DTOL			DTOL
Convolvulaceae	Cuscuta	europaea		dtol										DTOL
Cornaceae	Cornus	sanguinea		dtol_family_representative	yes						DTOL		DTOL	DTOL
Cornaceae	Cornus	sericea		dtol										DTOL
Cornaceae	Cornus	suecica		dtol			yes				DTOL			DTOL
Crassulaceae	Crassula	aquatica		dtol										DTOL
Crassulaceae	Crassula	helmsii		dtol_family_representative			yes				DTOL		DTOL	DTOL
Crassulaceae	Crassula	tillaea		dtol										DTOL
Crassulaceae	Hylotelephium	telephium		dtol										DTOL
Crassulaceae	Petrosedum	forsterianum		dtol										DTOL
Crassulaceae	Rhodiola	rosea		dtol					yes		DTOL			DTOL
Crassulaceae	Sedum	acre		dtol										DTOL
Crassulaceae	Sedum	anglicum		dtol				yes			DTOL			DTOL
Crassulaceae	Sedum	villosum		dtol										DTOL
Crassulaceae	Umbilicus	rupestris		dtol_other_priority				yes			DTOL	DTOL		DTOL
Cucurbitaceae	Bryonia	dioica		dtol_family_representative	yes			yes			DTOL		DTOL	DTOL
Cyperaceae	Blysmus	compressus		dtol										DTOL
Cyperaceae	Blysmus	rufus		dtol										DTOL
Cyperaceae	Bolboschoenus	laticarpus		dtol										DTOL
Cyperaceae	Bolboschoenus	maritimus		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	acuta		dtol										DTOL
Cyperaceae	Carex	acutiformis		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	appropinquata		dtol										DTOL
Cyperaceae	Carex	aquatilis		dtol										DTOL
Cyperaceae	Carex	arenaria		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	atrata		dtol										DTOL
Cyperaceae	Carex	atrofusca		dtol										DTOL
Cyperaceae	Carex	bigelowii		dtol			yes				DTOL			DTOL
Cyperaceae	Carex	binervis		dtol										DTOL
Cyperaceae	Carex	buxbaumii		dtol										DTOL
Cyperaceae	Carex	canescens		dtol										DTOL
Cyperaceae	Carex	capillaris		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	caryophyllea		dtol_other_priority		yes	yes				DTOL	DTOL		DTOL
Cyperaceae	Carex	cespitosa		dtol										DTOL
Cyperaceae	Carex	chordorrhiza		dtol										DTOL
Cyperaceae	Carex	davalliana		dtol										DTOL
Cyperaceae	Carex	demissa		dtol										DTOL
Cyperaceae	Carex	depauperata		dtol_other_priority	yes						DTOL	DTOL		DTOL
Cyperaceae	Carex	diandra		dtol										DTOL
Cyperaceae	Carex	digitata		dtol										DTOL
Cyperaceae	Carex	dioica		dtol										DTOL
Cyperaceae	Carex	distans		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	disticha		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	divisa		dtol										DTOL
Cyperaceae	Carex	divulsa		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	echinata		dtol										DTOL
Cyperaceae	Carex	elata		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	elongata		dtol										DTOL
Cyperaceae	Carex	ericetorum		dtol										DTOL
Cyperaceae	Carex	extensa		dtol										DTOL
Cyperaceae	Carex	filiformis		dtol										DTOL
Cyperaceae	Carex	flacca		dtol_other_priority		yes					DTOL	DTOL		DTOL
Cyperaceae	Carex	flava		dtol										DTOL
Cyperaceae	Carex	hirta		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	hostiana		dtol_other_priority		yes					DTOL	DTOL		DTOL
Cyperaceae	Carex	humilis		dtol										DTOL
Cyperaceae	Carex	lachenalii		dtol										DTOL
Cyperaceae	Carex	laevigata		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	lasiocarpa		dtol										DTOL
Cyperaceae	Carex	lepidocarpa		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	leporina		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	limosa		dtol										DTOL
Cyperaceae	Carex	magellanica		dtol										DTOL
Cyperaceae	Carex	maritima		dtol										DTOL
Cyperaceae	Carex	microglochin		dtol										DTOL
Cyperaceae	Carex	montana		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	muricata		dtol										DTOL
Cyperaceae	Carex	nigra		dtol			yes				DTOL			DTOL
Cyperaceae	Carex	norvegica		dtol										DTOL
Cyperaceae	Carex	ornithopoda		dtol										DTOL
Cyperaceae	Carex	otrubae		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	pallescens		dtol						yes	DTOL			DTOL
Cyperaceae	Carex	panicea		dtol_family_representative		yes					DTOL		DTOL	DTOL
Cyperaceae	Carex	paniculata		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	pauciflora		dtol										DTOL
Cyperaceae	Carex	pendula		dtol				yes			DTOL			DTOL
Cyperaceae	Carex	pilulifera		dtol										DTOL
Cyperaceae	Carex	pseudocyperus		dtol										DTOL
Cyperaceae	Carex	pulicaris		dtol_other_priority		yes					DTOL	DTOL		DTOL
Cyperaceae	Carex	punctata		dtol										DTOL
Cyperaceae	Carex	rariflora		dtol										DTOL
Cyperaceae	Carex	recta		dtol										DTOL
Cyperaceae	Carex	remota		dtol			yes				DTOL			DTOL
Cyperaceae	Carex	riparia		dtol										DTOL
Cyperaceae	Carex	rostrata		dtol			yes				DTOL			DTOL
Cyperaceae	Carex	rupestris		dtol										DTOL
Cyperaceae	Carex	salina		dtol										DTOL
Cyperaceae	Carex	saxatilis		dtol										DTOL
Cyperaceae	Carex	spicata		dtol										DTOL
Cyperaceae	Carex	strigosa		dtol										DTOL
Cyperaceae	Carex	sylvatica		dtol					yes		DTOL			DTOL
Cyperaceae	Carex	trinervis		dtol										DTOL
Cyperaceae	Carex	vaginata		dtol										DTOL
Cyperaceae	Carex	vesicaria		dtol										DTOL
Cyperaceae	Carex	viridula		dtol										DTOL
Cyperaceae	Carex	vulpina		dtol										DTOL
Cyperaceae	Cladium	mariscus		dtol						yes	DTOL			DTOL
Cyperaceae	Cyperus	fuscus		dtol						yes	DTOL			DTOL
Cyperaceae	Cyperus	longus		dtol										DTOL
Cyperaceae	Eleocharis	acicularis		dtol										DTOL
Cyperaceae	Eleocharis	mamillata		dtol										DTOL
Cyperaceae	Eleocharis	multicaulis		dtol										DTOL
Cyperaceae	Eleocharis	palustris		dtol					yes		DTOL			DTOL
Cyperaceae	Eleocharis	parvula		dtol										DTOL
Cyperaceae	Eleocharis	quinqueflora		dtol_family_representative			yes				DTOL		DTOL	DTOL
Cyperaceae	Eleocharis	uniglumis		dtol										DTOL
Cyperaceae	Eleogiton	fluitans		dtol										DTOL
Cyperaceae	Eriophorum	angustifolium		dtol										DTOL
Cyperaceae	Eriophorum	gracile		dtol										DTOL
Cyperaceae	Eriophorum	latifolium		dtol										DTOL
Cyperaceae	Eriophorum	vaginatum		dtol					yes		DTOL			DTOL
Cyperaceae	Isolepis	cernua		dtol						yes	DTOL			DTOL
Cyperaceae	Isolepis	setacea		dtol										DTOL
Cyperaceae	Rhynchospora	alba		dtol					yes		DTOL			DTOL
Cyperaceae	Rhynchospora	fusca		dtol										DTOL
Cyperaceae	Schoenoplectus	lacustris		dtol_other_priority	yes						DTOL	DTOL		DTOL
Cyperaceae	Schoenoplectus	tabernaemontani		dtol			yes				DTOL			DTOL
Cyperaceae	Schoenoplectus	triqueter		dtol				yes			DTOL			DTOL
Cyperaceae	Schoenus	ferrugineus		dtol										DTOL
Cyperaceae	Schoenus	nigricans		dtol						yes	DTOL			DTOL
Cyperaceae	Scirpoides	holoschoenus		dtol										DTOL
Cyperaceae	Scirpus	sylvaticus		dtol										DTOL
Cyperaceae	Trichophorum	alpinum		dtol										DTOL
Cyperaceae	Trichophorum	cespitosum		dtol										DTOL
Cyperaceae	Trichophorum	germanicum		dtol					yes		DTOL			DTOL
Diapensiaceae	Diapensia	lapponica		dtol_family_representative			yes				DTOL		DTOL	DTOL
Dioscoreaceae	Tamus	communis	Dioscorea communis	dtol_family_representative				yes			DTOL		DTOL	DTOL
Dipsacaceae	Dipsacus	fullonum		dtol						yes	DTOL			DTOL
Dipsacaceae	Dipsacus	pilosus		dtol										DTOL
Dipsacaceae	Knautia	arvensis		dtol				yes			DTOL			DTOL
Dipsacaceae	Scabiosa	columbaria		dtol_family_representative		yes		yes			DTOL		DTOL	DTOL
Dipsacaceae	Succisa	pratensis		dtol_other_priority	yes	yes					DTOL	DTOL		DTOL
Droseraceae	Drosera	anglica		dtol			yes				DTOL			DTOL
Droseraceae	Drosera	intermedia		dtol_family_representative			yes				DTOL		DTOL	DTOL
Droseraceae	Drosera	rotundifolia		dtol_family_representative		yes					DTOL		DTOL	DTOL
Elaeagnaceae	Hippophae	rhamnoides		dtol_family_representative	yes						DTOL		DTOL	DTOL
Elatinaceae	Elatine	hexandra		dtol										DTOL
Elatinaceae	Elatine	hydropiper		dtol										DTOL
Ericaceae	Andromeda	polifolia		dtol			yes				DTOL			DTOL
Ericaceae	Arbutus	unedo		dtol										DTOL
Ericaceae	Arctostaphylos	alpinus	Arctous alpina	dtol					yes		DTOL			DTOL
Ericaceae	Arctostaphylos	uva-ursi		dtol			yes				DTOL			DTOL
Ericaceae	Calluna	vulgaris		dtol_family_representative	yes		yes				DTOL		DTOL	DTOL
Ericaceae	Empetrum	nigrum		dtol										DTOL
Ericaceae	Erica	ciliaris		dtol_other_priority	yes			yes			DTOL	DTOL		DTOL
Ericaceae	Erica	cinerea		dtol_family_representative			yes				DTOL		DTOL	DTOL
Ericaceae	Erica	tetralix		dtol						yes	DTOL			DTOL
Ericaceae	Erica	vagans		dtol						yes	DTOL			DTOL
Ericaceae	Gaultheria	shallon		dtol										DTOL
Ericaceae	Hypopitys	monotropa		dtol						yes	DTOL			DTOL
Ericaceae	Kalmia	procumbens		dtol			yes				DTOL			DTOL
Ericaceae	Moneses	uniflora		dtol										DTOL
Ericaceae	Orthilia	secunda		dtol										DTOL
Ericaceae	Phyllodoce	caerulea		dtol										DTOL
Ericaceae	Pyrola	media		dtol										DTOL
Ericaceae	Pyrola	minor		dtol										DTOL
Ericaceae	Pyrola	rotundifolia		dtol				yes			DTOL			DTOL
Ericaceae	Rhododendron	ponticum		dtol					yes		DTOL			DTOL
Ericaceae	Vaccinium	microcarpum		dtol										DTOL
Ericaceae	Vaccinium	myrtillus		dtol_other_priority			yes				DTOL	DTOL		DTOL
Ericaceae	Vaccinium	oxycoccos		dtol										DTOL
Ericaceae	Vaccinium	uliginosum		dtol			yes				DTOL			DTOL
Ericaceae	Vaccinium	vitis-idaea		dtol			yes				DTOL			DTOL
Eriocaulaceae	Eriocaulon	aquaticum		dtol_family_representative			yes				DTOL		DTOL	DTOL
Euphorbiaceae	Euphorbia	amygdaloides		dtol				yes			DTOL			DTOL
Euphorbiaceae	Euphorbia	exigua		dtol						yes	DTOL			DTOL
Euphorbiaceae	Euphorbia	helioscopia		dtol						yes	DTOL			DTOL
Euphorbiaceae	Euphorbia	lathyris		dtol_other_priority	yes						DTOL	DTOL		DTOL
Euphorbiaceae	Euphorbia	paralias		dtol				yes			DTOL			DTOL
Euphorbiaceae	Euphorbia	peplis		dtol										DTOL
Euphorbiaceae	Euphorbia	peplus		dtol_family_representative	yes						DTOL		DTOL	DTOL
Euphorbiaceae	Euphorbia	platyphyllos		dtol										DTOL
Euphorbiaceae	Euphorbia	portlandica		dtol										DTOL
Euphorbiaceae	Euphorbia	stricta		dtol										DTOL
Euphorbiaceae	Mercurialis	annua		dtol_family_representative	yes						DTOL		DTOL	DTOL
Euphorbiaceae	Mercurialis	perennis		dtol				yes			DTOL			DTOL
Fabaceae	Anthyllis	vulneraria		dtol			yes				DTOL			DTOL
Fabaceae	Astragalus	alpinus		dtol										DTOL
Fabaceae	Astragalus	danicus		dtol					yes	yes	DTOL			DTOL
Fabaceae	Astragalus	glycyphyllos		dtol				yes			DTOL			DTOL
Fabaceae	Cytisus	scoparius		dtol					yes	yes	DTOL			DTOL
Fabaceae	Ervilia	hirsuta	Vicia hirsuta	dtol					yes		DTOL			DTOL
Fabaceae	Ervum	gracile		dtol										DTOL
Fabaceae	Ervum	tetraspermum		dtol										DTOL
Fabaceae	Genista	anglica		dtol						yes	DTOL			DTOL
Fabaceae	Genista	pilosa		dtol						yes	DTOL			DTOL
Fabaceae	Genista	tinctoria		dtol						yes	DTOL			DTOL
Fabaceae	Hippocrepis	comosa		dtol										DTOL
Fabaceae	Lathyrus	aphaca		dtol				yes			DTOL			DTOL
Fabaceae	Lathyrus	japonicus		dtol_family_representative	yes						DTOL		DTOL	DTOL
Fabaceae	Lathyrus	linifolius		dtol_other_priority	yes						DTOL	DTOL		DTOL
Fabaceae	Lathyrus	nissolia		dtol										DTOL
Fabaceae	Lathyrus	palustris		dtol										DTOL
Fabaceae	Lathyrus	pratensis		dtol			yes				DTOL			DTOL
Fabaceae	Lathyrus	sylvestris		dtol										DTOL
Fabaceae	Lotus	angustissimus		dtol										DTOL
Fabaceae	Lotus	corniculatus		dtol_other_priority	yes	yes					DTOL	DTOL		DTOL
Fabaceae	Lotus	pedunculatus		dtol						yes	DTOL			DTOL
Fabaceae	Lotus	subbiflorus		dtol										DTOL
Fabaceae	Lotus	tenuis		dtol										DTOL
Fabaceae	Lupinus	arboreus		dtol										DTOL
Fabaceae	Lupinus	nootkatensis		dtol										DTOL
Fabaceae	Medicago	arabica		dtol_family_representative	yes						DTOL		DTOL	DTOL
Fabaceae	Medicago	lupulina		dtol			yes				DTOL			DTOL
Fabaceae	Medicago	minima		dtol										DTOL
Fabaceae	Medicago	polymorpha		dtol										DTOL
Fabaceae	Medicago	sativa		dtol				yes			DTOL			DTOL
Fabaceae	Melilotus	altissimus		dtol										DTOL
Fabaceae	Onobrychis	viciifolia		dtol_other_priority	yes						DTOL	DTOL		DTOL
Fabaceae	Ononis	reclinata		dtol						yes	DTOL			DTOL
Fabaceae	Ononis	repens		dtol_other_priority	yes						DTOL	DTOL		DTOL
Fabaceae	Ononis	spinosa		dtol										DTOL
Fabaceae	Ornithopus	perpusillus		dtol				yes			DTOL			DTOL
Fabaceae	Ornithopus	pinnatus		dtol										DTOL
Fabaceae	Oxytropis	campestris		dtol										DTOL
Fabaceae	Oxytropis	halleri		dtol										DTOL
Fabaceae	Robinia	pseudoacacia		dtol_other_priority				yes			DTOL	DTOL		DTOL
Fabaceae	Trifolium	arvense		dtol				yes			DTOL			DTOL
Fabaceae	Trifolium	bocconei		dtol										DTOL
Fabaceae	Trifolium	campestre		dtol					yes		DTOL			DTOL
Fabaceae	Trifolium	dubium		dtol			yes				DTOL			DTOL
Fabaceae	Trifolium	fragiferum		dtol				yes			DTOL			DTOL
Fabaceae	Trifolium	glomeratum		dtol										DTOL
Fabaceae	Trifolium	medium		dtol										DTOL
Fabaceae	Trifolium	micranthum		dtol										DTOL
Fabaceae	Trifolium	occidentale		dtol						yes	DTOL			DTOL
Fabaceae	Trifolium	ochroleucon		dtol										DTOL
Fabaceae	Trifolium	ornithopodioides		dtol										DTOL
Fabaceae	Trifolium	pratense		dtol_family_representative				yes			DTOL		DTOL	DTOL
Fabaceae	Trifolium	repens		dtol						yes	DTOL			DTOL
Fabaceae	Trifolium	scabrum		dtol										DTOL
Fabaceae	Trifolium	squamosum		dtol										DTOL
Fabaceae	Trifolium	striatum		dtol										DTOL
Fabaceae	Trifolium	strictum		dtol										DTOL
Fabaceae	Trifolium	subterraneum		dtol						yes	DTOL			DTOL
Fabaceae	Trifolium	suffocatum		dtol										DTOL
Fabaceae	Ulex	europaeus		dtol_other_priority	yes						DTOL	DTOL		DTOL
Fabaceae	Ulex	gallii		dtol						yes	DTOL			DTOL
Fabaceae	Ulex	minor		dtol_other_priority				yes			DTOL	DTOL		DTOL
Fabaceae	Vicia	bithynica		dtol										DTOL
Fabaceae	Vicia	cracca		dtol_other_priority	yes						DTOL	DTOL		DTOL
Fabaceae	Vicia	lathyroides		dtol					yes		DTOL			DTOL
Fabaceae	Vicia	lutea		dtol										DTOL
Fabaceae	Vicia	orobus		dtol										DTOL
Fabaceae	Vicia	sativa		dtol				yes			DTOL			DTOL
Fabaceae	Vicia	sepium		dtol					yes		DTOL			DTOL
Fagaceae	Castanea	sativa		dtol					yes		DTOL			DTOL
Fagaceae	Fagus	sylvatica		dtol_family_representative				yes			DTOL		DTOL	DTOL
Fagaceae	Quercus	cerris		dtol				yes			DTOL			DTOL
Fagaceae	Quercus	ilex		dtol				yes			DTOL			DTOL
Fagaceae	Quercus	petraea		dtol_family_representative	yes						DTOL		DTOL	DTOL
Fagaceae	Quercus	robur		dtol				yes			DTOL			DTOL
Frankeniaceae	Frankenia	laevis		dtol_family_representative				yes			DTOL		DTOL	DTOL
Gentianaceae	Blackstonia	perfoliata		dtol				yes			DTOL			DTOL
Gentianaceae	Centaurium	erythraea		dtol_family_representative			yes				DTOL		DTOL	DTOL
Gentianaceae	Centaurium	littorale		dtol										DTOL
Gentianaceae	Centaurium	portense		dtol										DTOL
Gentianaceae	Centaurium	pulchellum		dtol										DTOL
Gentianaceae	Centaurium	tenuiflorum		dtol										DTOL
Gentianaceae	Cicendia	filiformis		dtol										DTOL
Gentianaceae	Exaculum	pusillum		dtol										DTOL
Gentianaceae	Gentiana	nivalis		dtol										DTOL
Gentianaceae	Gentiana	pneumonanthe		dtol						yes	DTOL			DTOL
Gentianaceae	Gentiana	verna		dtol										DTOL
Gentianaceae	Gentianella	amarella		dtol			yes				DTOL			DTOL
Gentianaceae	Gentianella	anglica		dtol										DTOL
Gentianaceae	Gentianella	campestris		dtol_family_representative			yes		yes		DTOL		DTOL	DTOL
Gentianaceae	Gentianella	germanica		dtol										DTOL
Gentianaceae	Gentianopsis	ciliata		dtol										DTOL
Geraniaceae	Erodium	cicutarium		dtol					yes		DTOL			DTOL
Geraniaceae	Erodium	maritimum		dtol_family_representative	yes						DTOL		DTOL	DTOL
Geraniaceae	Erodium	moschatum		dtol				yes			DTOL			DTOL
Geraniaceae	Geranium	columbinum		dtol_family_representative				yes			DTOL		DTOL	DTOL
Geraniaceae	Geranium	dissectum		dtol				yes			DTOL			DTOL
Geraniaceae	Geranium	lucidum		dtol				yes			DTOL			DTOL
Geraniaceae	Geranium	molle		dtol					yes		DTOL			DTOL
Geraniaceae	Geranium	pratense		dtol			yes				DTOL			DTOL
Geraniaceae	Geranium	purpureum		dtol										DTOL
Geraniaceae	Geranium	pusillum		dtol										DTOL
Geraniaceae	Geranium	robertianum		dtol_other_priority	yes		yes				DTOL	DTOL		DTOL
Geraniaceae	Geranium	rotundifolium		dtol				yes			DTOL			DTOL
