Family	species	collected	received	PacBio HiFi	ONT	Hi-C	60x PacBio CLR	Bionano	10x chromium (>50x)	ISO-seq	RNA seq data	assembly	TOGA annotation	project	sequencing_status	family_representative
Craseonycteridae	Craseonycteris thonglongyai	sample_collected	sample_acquired	in_progress										BAT1K	in_progress	BAT1K
Emballonuridae	Cormura brevirostris	sample_collected	sample_acquired	in_progress										BAT1K	in_progress	
Emballonuridae	Saccopteryx leptura	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress	in_progress		in_progress	1	BAT1K	in_progress	
Emballonuridae	Saccopteryx bilineata	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress	in_progress		in_progress	1	BAT1K	in_progress	BAT1K
Furipteridae	Furipterus horrens	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Hipposideridae	Hipposideros ruber	sample_collected	sample_acquired											BAT1K	sample_acquired	
Hipposideridae	Hipposideros armiger													BAT1K		
Hipposideridae	Asellia tridens	sample_collected	sample_acquired											BAT1K	sample_acquired	
Hipposideridae	Aselliscus stoliczkanus	sample_collected	sample_acquired	in_progress		in_progress				in_progress		in_progress	1	BAT1K	in_progress	
Hipposideridae	Doryrhina cyclops	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Hipposideridae	Hipposideros larvatus	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Megadermatidae	Megaderma spasma	sample_collected	sample_acquired		in_progress	in_progress	in_progress	in_progress	in_progress			in_progress	1	BAT1K	in_progress	
Megadermatidae	Megaderma lyra	sample_collected	sample_acquired		in_progress	in_progress		in_progress	in_progress			in_progress		BAT1K	in_progress	BAT1K
Molossidae	Molossus alvarezi	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress	1	BAT1K	in_progress	
Molossidae	Molossus molossus	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress	in_progress		in_progress	2	BAT1K	in_progress	BAT1K
Molossidae	Molossus nigricans	sample_collected	sample_acquired	in_progress		in_progress				in_progress		in_progress	1	BAT1K	in_progress	
Molossidae	Mops condylurus	sample_collected	sample_acquired	in_progress		in_progress				in_progress		in_progress	1	BAT1K	in_progress	
Molossidae	Tadarida brasiliensis	sample_collected	sample_acquired	in_progress		in_progress	in_progress	in_progress	in_progress	in_progress		in_progress	2	BAT1K	in_progress	
Mormoopidae	Mormoops megalophylla	sample_collected	sample_acquired	in_progress		in_progress	in_progress	in_progress	in_progress			in_progress	1	BAT1K	in_progress	BAT1K
Myzopodidae	Myzopoda aurita	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	BAT1K
Mystacinidae	Mystacina tuberculata				in_progress				in_progress					BAT1K	in_progress	BAT1K
Natalidae	Chilonatalus micropus	sample_collected	sample_acquired	in_progress										BAT1K	in_progress	
Natalidae	Natalus tumidirostris	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	1	BAT1K	in_progress	BAT1K
Noctilionidae	Noctilio leporinus	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	1	BAT1K	in_progress	BAT1K
Nycteridae	Nycteris thebaica	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	BAT1K
Phyllostomidae	Artibeus intermedius	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress	1	BAT1K	in_progress	
Phyllostomidae	Artibeus jamaicensis													BAT1K		
Vespertilionidae	Bauerus dubiaquercus	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress		BAT1K	in_progress	
Phyllostomidae	Brachyphylla cavernarum	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Carollia perspicillata	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	2	BAT1K	in_progress	
Phyllostomidae	Carollia sowelli	sample_collected	sample_acquired	in_progress		in_progress					in_progress	in_progress	1	BAT1K	in_progress	
Phyllostomidae	Choeroniscus minor	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Centurio senex	sample_collected	sample_acquired	in_progress		in_progress					in_progress	in_progress	1	BAT1K	in_progress	
Phyllostomidae	Dermanura phaeotis	sample_collected	sample_acquired	in_progress		in_progress					in_progress	in_progress	1	BAT1K	in_progress	
Phyllostomidae	Desmodus rotundus	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Phyllostomidae	Diaemus youngi	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Phyllostomidae	Diphylla ecaudata	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Phyllostomidae	Ectophylla alba													BAT1K		
Phyllostomidae	Erophylla bombifrons	sample_collected	sample_acquired											BAT1K	sample_acquired	
Phyllostomidae	Glossophaga morenoi	sample_collected	sample_acquired											BAT1K	sample_acquired	
Phyllostomidae	Glossophaga soricina	sample_collected	sample_acquired			in_progress	in_progress	in_progress				in_progress	1	BAT1K	in_progress	
Phyllostomidae	Glyphonycteris daviesi	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Phyllostomidae	Leptonycteris curasoae	sample_collected	sample_acquired	in_progress										BAT1K	in_progress	
Phyllostomidae	Lionycteris spurrelli	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Phyllostomidae	Lophostoma evotis	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress		BAT1K	in_progress	
Phyllostomidae	Lonchorhina inusitata	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Macrotus californicus													BAT1K		
Phyllostomidae	Macrophyllum macrophyllum	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Phyllostomidae	Macrotus waterhousii	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Phyllostomidae	Micronycteris megalotis	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
