	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	data_generation	in_assembly	sample_acquired	family_representative	long_list
0	613017	Mystrium	camillae	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
1	621488	Prionopelta	kraepelini	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
3	610584	Iridomyrmex	anceps	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
4	611171	Liometopum	microcephalum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
5	255795	Ochetellus	glaber	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
6	219810	Tapinoma	melanocephalum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
7	606893	Cerapachys	sulcinodis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
8	232121	Dorylus	orientalis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
10	609939	Gnamptogenys	bicolor	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
11	237765	Typhlomyrmex	rogenhoferi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
12	354296	Anoplolepis	gracilipes	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
14	213863	Camponotus	fellah	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
15	84547	Camponotus	japonicus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
16	606068	Camponotus	singularis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
17	359642	Camponotus	nicobarensis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
18	606501	Cataglyphis	aenescens	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
20	609683	Euprenolepis	procera	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
21	255794	Formica	japonica	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
22	72779	Formica	fusca	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
23	208980	Formica	sanguinea	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
24	219780	Gigantiops	destructor	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
25	1495095	Iberoformica	subrufa	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
26	219781	Lasius	alienus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
27	67765	Lasius	spathepus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
28	67763	Lasius	flavus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
29	231986	Lasius	fuliginosus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
30	111072	Lasius	neglectus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
31	67767	Lasius	niger	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
32	610787	Lepisiota	rothneyi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
33	271140	Myrmecocystus	mendax	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
34	612981	Myrmoteras	binghamii	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
35	613905	Nylanderia	fulva	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
36	84561	Oecophylla	smaragdina	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
37	262035	Paratrechina	longicornis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
38	72798	Plagiolepis	pygmaea	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
39	111115	Polyrhachis	illaudata	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
40	621697	Proformica	mongolica	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
41	621792	Pseudolasius	similus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
42	72797	Rossomyrmex	minuchae	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
43	625025	Rossomyrmex	quandratinodum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
45	36172	Myrmecia	croslandi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
46	13618	Myrmecia	pilosula	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
47	602937	Acanthomyrmex	ferox	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
48	602145	Acromyrmex	ameliae	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
49	103372	Acromyrmex	echinatior	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
50	602163	Acromyrmex	lobicornis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
51	64783	Acromyrmex	octospinosus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
52	219762	Acromyrmex	subterraneus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
53	297320	Aphaenogaster	smythiesii	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
55	165431	Aphaenogaster	subterranea	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
56	286306	Cardiocondyla	obscurior	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
59	615681	Carebara	diversa	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
60	297328	Carebara	melasolena	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
64	606728	Cephalotes	minutus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
65	1202028	Crematogaster	osakensis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
67	1202028	Crematogaster	osakensis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
66	520149	Crematogaster	rogenhoferi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
68	411750	Eutetramorium	mocquerysi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
70	369141	Goniomma	hispanicum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
71	27500	Harpagoxenus	sublaevis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
72	1539540	Kalathomyrmex	emeryi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
74	33409	Leptothorax	acervorum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
75	219785	Manica	rubida	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
77	520063	Melissotarsus	emeryi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
78	611886	Meranoplus	bicolor	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
79	87890	Messor	barbarus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
80	219786	Messor	capitatus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
81	307658	Monomorium	pharaonis	Formicidae	family_representative	in_assembly		GAGA	GAGA	GAGA	GAGA	GAGA	GAGA
82	1424378	Mycetophylax	morschi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
83	34710	Mycetosoritis	hartmanni	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
84	357228	Myrmecina	graminicola	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
85	106198	Myrmica	rubra	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
86	207696	Myrmica	scabrinodis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
88	2202542	Myrmicocrypta	uncinata	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
89	613565	Oxyopomyrmex	saulcyi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
90	297324	Pheidole	capellini	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
91	297325	Pheidole	noda	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
92	190770	Pheidole	pallidula	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
94	367159	Pheidole	yeensis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
95	507543	Pristomyrmex	punctatus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
96	625040	Sericomyrmex	mayri	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
97	625136	Solenopsis	fugax	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
98	625351	Stenamma	debile	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
99	2751292	Strumigenys	mutica	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
100	314134	Temnothorax	ambiguus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
101	1964332	Temnothorax	americanus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
102	300112	Temnothorax	longispinosus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
103	102681	Temnothorax	nylanderi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
104	1964331	Temnothorax	pilagens	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
105	314137	Temnothorax	ravouxi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
106	215518	Temnothorax	rugatulus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
107	61278	Temnothorax	unifasciatus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
109	219812	Tetramorium	bicarinatum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
110	255789	Tetramorium	caespitum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
113	612570	Xerolitor	explicatus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
114	55425	Paraponera	clavata	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
115	602515	Anochetus	risii	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
117	228606	Diacamma	indicum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
118	255798	Diacamma	rugosum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
119	2571052	Ectomomyrmex	javanus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
120	2751300	Euponera	pilosior	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
121	610381	Harpegnathos	venator	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
122	280466	Hypoponera	opacior	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
124	610989	Leptogenys	kitteli	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
