NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status_illumina	synonym	sequencing_status_pacbio	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_open	published
697321	Paramacrobiotus	richtersi	Macrobiotidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Truxonchus	dolichurus			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Disparrhopalites	patrizii			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Hymenaphorura	dentifera			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Spatulosminthurus	flaviceps			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Mycogona	germanica			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Rossiulus	vilnensis			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Conchogneta	dalecarlica			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Licneremaeus	licnophorus			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Microzetes	septentrionalis			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Porobelba	spinosa			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
	Scolopendrellopsis	subnuda			in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
