	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
548	Hemiptera	Notonectidae	Notonecta glauca		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
550	Hemiptera	Ortheziidae	Arctorthezia cataphracta		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
552	Hemiptera	Pentatomidae	Palomena prasina		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
556	Hemiptera	Phylloxeridae	Viteus vitifoliae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
558	Hemiptera	Piesmatidae	Parapiesma quadratum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
560	Hemiptera	Pleidae	Plea minutissima		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
562	Hemiptera	Pseudococcidae	Planococcus citri		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
564	Hemiptera	Psyllidae	Psylla betulae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
566	Hemiptera	Pyrrhocoridae	Pyrrhocoris apterus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
568	Hemiptera	Reduviidae	Reduvius personatus	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
569	Hemiptera	Reduviidae	Empicoris vagabundus	Availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
570	Hemiptera	Rhopalidae	Corizus hyoscyami		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
572	Hemiptera	Saldidae	Saldula setulosa		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
574	Hemiptera	Scutelleridae	Eurygaster testudinaria		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
576	Hemiptera	Tettigometridae	Tettigometra impressopunctata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
578	Hemiptera	Thyreocoridae	Thyreocoris scarabaeoides		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
580	Hemiptera	Tingidae	Physatocheila smreczynskii		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
582	Hemiptera	Triozidae	Trioza urticae		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
584	Hemiptera	Cicadellidae	Ulopa reticulata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
586	Hemiptera	Veliidae	Velia caprai		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
588	Hymenoptera	Andrenidae	Andrena cineraria	availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
589	Hymenoptera	Andrenidae	Panurgus banksianus	availability	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
590	Hymenoptera	Aphelinidae	Aphelinus asychis	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
591	Hymenoptera	Aphelinidae	Marietta picta		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
592	Hymenoptera	Apidae	Bombus lapidarius	Community survey	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
593	Hymenoptera	Apidae	Bombus hypnorum	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
594	Hymenoptera	Argidae	Arge pagana	availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
595	Hymenoptera	Argidae	Arge nigripes		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
596	Hymenoptera	Astatidae	Astata boops	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
597	Hymenoptera	Astatidae	Dryudella pinguis	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
598	Hymenoptera	Aulacidae	Aulacus striatus	monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
600	Hymenoptera	Azotidae	Ablerus celsus	monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
601	Hymenoptera	Bembicidae	Nysson spinosus	availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
602	Hymenoptera	Bembicidae	Gorytes quadrifasciatus	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
603	Hymenoptera	Bethylidae	Pseudisobrachium subcyaneum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
604	Hymenoptera	Bethylidae	Bethylus cephalotes	availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
605	Hymenoptera	Blasticotomidae	Blasticotoma filiceti	monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
606	Hymenoptera	Braconidae	Aleiodes testaceus	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
607	Hymenoptera	Braconidae	Dinocampus coccinellae	research	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
608	Hymenoptera	Cephidae	Cephus spinipes	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
610	Hymenoptera	Ceraphronidae	Lagynodes pallidus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
612	Hymenoptera	Chalcididae	Brachymeria tibialis	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
613	Hymenoptera	Chalcididae	Chalcis sispes	availability	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
614	Hymenoptera	Chrysididae	Chrysis angustula	availability	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
616	Hymenoptera	Cimbicidae	Abia aenea	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
618	Hymenoptera	Colletidae	Colletes hederae	Community survey	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
619	Hymenoptera	Colletidae	Hylaeus communis	availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
620	Hymenoptera	Crabronidae	Ectemnius continuus	availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
621	Hymenoptera	Crabronidae	Crabro cribrarius	availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
622	Hymenoptera	Cynipidae	Biorhiza pallida	Community survey	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
623	Hymenoptera	Cynipidae	Diplolepis rosae	Community survey	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
624	Hymenoptera	Diapriidae	Platymischus dilatatus	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
625	Hymenoptera	Diapriidae	Belyta depressa		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
626	Hymenoptera	Diprionidae	Neodiprion sertifer		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
628	Hymenoptera	Dryinidae	Dryinus collaris		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
630	Hymenoptera	Embolemidae	Embolemus ruddii	monospecific family	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
631	Hymenoptera	Encyrtidae	Copidosoma sosares		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
633	Hymenoptera	Eulophidae	Euplectrus bicolor	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
634	Hymenoptera	Eulophidae	Sympiesis sericeicornis	availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
635	Hymenoptera	Eupelmidae	Eupelmus vesicularis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
637	Hymenoptera	Eurytomidae	Sycophila biguttata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
639	Hymenoptera	Evaniidae	Brachygaster minutus	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
640	Hymenoptera	Evaniidae	Evania appendigaster	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
641	Hymenoptera	Figitidae	Anacharis eucharoides		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
643	Hymenoptera	Formicidae	Lasius niger	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
644	Hymenoptera	Formicidae	Myrmica ruginodis	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
645	Hymenoptera	Gasteruptiidae	Gasteruption jaculator	availability	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
646	Hymenoptera	Gasteruptiidae	Gasteruption assectator		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
647	Hymenoptera	Halictidae	Lasioglossum pauxillum		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
648	Hymenoptera	Halictidae	Sphecodes monilicornis	availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
649	Hymenoptera	Heloridae	Helorus ruficornis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
650	Hymenoptera	Heloridae	Helorus nigripes		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
651	Hymenoptera	Heptamelidae	Heptamelus dahlbomi	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
652	Hymenoptera	Heptamelidae	Heptamelus ochroleucus	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
653	Hymenoptera	Ibaliidae	Ibalia leucospoides	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
654	Hymenoptera	Ibaliidae	Ibalia rufipes	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
655	Hymenoptera	Ichneumonidae	Amblyteles armatorius	Availability	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
656	Hymenoptera	Ichneumonidae	Ophion obscuratus	Community survey	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
657	Hymenoptera	Ismaridae	Ismarus dorsiger		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
658	Hymenoptera	Ismaridae	Ismarus flavicornis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
659	Hymenoptera	Megachilidae	Megachile ligniseca	availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
660	hymenoptera	Megachilidae	Osmia bicornis	Iconic	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
661	Hymenoptera	Megaspilidae	Dendrocerus carpenteri		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
663	Hymenoptera	Megastigmidae	Megastigmus aculeatus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
665	Hymenoptera	Melittidae	Melitta haemorrhoidalis	availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
666	Hymenoptera	Melittidae	Dasypoda hirtipes	availability	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
667	Hymenoptera	Mellinidae	Mellinus arvensis	dispecific family	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
668	Hymenoptera	Mellinidae	Mellinus crabroneus	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
669	Hymenoptera	Mutillidae	Mutilla europaea		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
671	Hymenoptera	Mymaridae	Mymar pulchellum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
673	Hymenoptera	Mymarommatidae	Mymaromma anomalum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
675	Hymenoptera	Ormyridae	Ormyrus nitidulus		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
677	Hymenoptera	Pamphiliidae	Pamphilius hortorum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
679	Hymenoptera	Pemphredonidae	Pemphredon lugubris		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
681	Hymenoptera	Perilampidae	Perilampus aeneus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
683	Hymenoptera	Philanthidae	Cerceris quinquefasciata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
685	Hymenoptera	Platygastridae	Inostemma walkeri		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
687	Hymenoptera	Pompilidae	Homonotus sanguinolentus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
689	Hymenoptera	Proctotrupidae	Proctotrupes gravidator		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
691	Hymenoptera	Psenidae	Psen ater		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
693	Hymenoptera	Pteromalidae	Cleonymus laticornis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
695	Hymenoptera	Sapygidae	Sapyga quinquepunctata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
697	Hymenoptera	Scelionidae	Scelio rugulosus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
699	Hymenoptera	Signiphoridae	Thysanus ater		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
701	Hymenoptera	Siricidae	Urocerus gigas		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
703	Hymenoptera	Sparasionidae	Sparasion cephalotes		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
705	Hymenoptera	Sphecidae	Ammophila sabulosa	Community survey	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
706	Hymenoptera	Sphecidae	Ammophila pubescens	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
707	Hymenoptera	Tenthredinidae	Tenthredo livida		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
709	Hymenoptera	Tiphiidae	Tiphia femorata		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
711	Hymenoptera	Torymidae	Monodontomerus obscurus	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
713	Hymenoptera	Trichogrammatidae	Trichogramma evanescens		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
715	Hymenoptera	Trigonalyidae	Pseudogonalos hahnii		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
717	Hymenoptera	Vespidae	Eumenes coarctatus	Community survey	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
718	hymenoptera	Vespidae	Vespula germanica	Availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
719	Hymenoptera	Xiphydriidae	Xiphydria camelus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
721	Hymenoptera	Xyelidae	Xyela julii		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
723	Lepidoptera	Adelidae	Nemophora degeerella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
725	Lepidoptera	Alucitidae	Alucita hexadactyla		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
727	Lepidoptera	Argyresthiidae	Argyresthia brockeella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
729	Lepidoptera	Autostichidae	Oegoconia quadripuncta		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
731	Lepidoptera	Batrachedridae	Batrachedra praeangusta		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
733	Lepidoptera	Bedelliidae	Bedellia somnulentella		NOT COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
735	Lepidoptera	Blastobasidae	Blastobasis adustella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
737	Lepidoptera	Bucculatricidae	Bucculatrix thoracella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
739	Lepidoptera	Chimabachidae	Diurnea fagella		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
741	Lepidoptera	Choreutidae	Anthophila fabriciana		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
743	Lepidoptera	Coleophoridae	Coleophora wockeella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
745	Lepidoptera	Cosmopterigidae	Limnaecia phragmitella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
747	Lepidoptera	Cossidae	Zeuzera pyrina		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
749	Lepidoptera	Crambidae	Parapoynx stratiotata		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
751	Lepidoptera	Depressariidae	Agonopterix ocellana		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
753	Lepidoptera	Douglasiidae	Tinagma ocnerostomella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
755	Lepidoptera	Drepanidae	Thyatira batis		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
757	Lepidoptera	Elachistidae	Elachista argentella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
759	Lepidoptera	Endromidae	Endromis versicolora		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
761	Lepidoptera	Epermeniidae	Epermenia falciformis		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
763	Lepidoptera	Epermeniidae	Epermenia insecurella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
765	Lepidoptera	Erebidae	Callimorpha dominula	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
767	Lepidoptera	Eriocraniidae	Dyseriocrania subpurpurella		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
769	Lepidoptera	Ethmiidae	Ethmia dodecea		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
771	Lepidoptera	Gelechiidae	Recurvaria leucatella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
773	Lepidoptera	Geometridae	Operophtera brumata	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
774	Lepidoptera	Geometridae	Lomaspilis marginata	Community survey	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
775	Lepidoptera	Glyphipterigidae	Glyphipterix simpliciella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
777	Lepidoptera	Gracillariidae	Gracillaria syringella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
779	Lepidoptera	Heliozelidae	Antispila metallella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
781	Lepidoptera	Hepialidae	Korscheltellus lupulina		NOT COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
783	Lepidoptera	Hesperiidae	Carterocephalus palaemon	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
785	Lepidoptera	Hesperiidae	Erynnis tages	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
787	Lepidoptera	Hesperiidae	Hesperia comma	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
789	Lepidoptera	Hesperiidae	Ochlodes sylvanus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
791	Lepidoptera	Hesperiidae	Pyrgus malvae	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
793	Lepidoptera	Hesperiidae	Thymelicus acteon	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
795	Lepidoptera	Hesperiidae	Thymelicus lineola	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
797	Lepidoptera	Hesperiidae	Thymelicus sylvestris	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
799	Lepidoptera	Incurvariidae	Incurvaria masculella		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
801	Lepidoptera	Lasiocampidae	Malacosoma neustria		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
803	Lepidoptera	Limacodidae	Apoda limacodes		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
805	Lepidoptera	Lycaenidae	Aricia agestis	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
807	Lepidoptera	Lycaenidae	Aricia artaxerxes	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
809	Lepidoptera	Lycaenidae	Callophrys rubi	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
811	Lepidoptera	Lycaenidae	Celastrina argiolus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
813	Lepidoptera	Lycaenidae	Cupido minimus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
815	Lepidoptera	Lycaenidae	Cyaniris semiargus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
817	Lepidoptera	Lycaenidae	Favonius quercus	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
819	Lepidoptera	Lycaenidae	Lycaena dispar	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
821	Lepidoptera	Lycaenidae	Lycaena phlaeas	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
823	Lepidoptera	Lycaenidae	Maculinea arion	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
825	Lepidoptera	Lycaenidae	Plebejus argus	All butterflies	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
827	Lepidoptera	Lycaenidae	Polyommatus bellargus	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
829	Lepidoptera	Lycaenidae	Polyommatus coridon	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
831	Lepidoptera	Lycaenidae	Pseudophilotes bavius	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
