	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
304	Diptera	Dolichopodidae	Dolichopus festivus		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
306	Diptera	Drosophilidae	Amiota variegata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
308	Diptera	Dryomyzidae	Dryomyza flaveola		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
310	Diptera	Empididae	Empis tessellata		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
312	Diptera	Ephydridae	Ephydra riparia		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
314	Diptera	Fanniidae	Fannia coracina		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
316	Diptera	Helcomyzidae	Helcomyza ustulata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
318	Diptera	Heleomyzidae	Heleomyza borealis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
320	Rhabditida	Heterocheilidae	Heterocheila buccata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
322	Diptera	Hippoboscidae	Ornithomya fringillina		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
324	Diptera	Hybotidae	Hybos culiciformis		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
326	Diptera	Keroplatidae	Asindulum nigrum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
328	Diptera	Lauxaniidae	Lauxania cylindricornis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
330	Diptera	Limoniidae	Gnophomyia elsneri		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
332	Diptera	Lonchaeidae	Lonchaea chorea		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
334	Diptera	Lonchopteridae	Lonchoptera lutea		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
336	Diptera	Megamerinidae	Megamerina dolium		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
338	Diptera	Micropezidae	Micropeza corrigiolata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
340	Diptera	Microphoridae	Microphor crassipes		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
342	Diptera	Milichiidae	Milichia ludens		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
344	Diptera	Muscidae	Mesembrina meridiana		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
346	Diptera	Mycetobiidae	Mycetobia gemella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
348	Diptera	Mycetophilidae	Neoempheria lineola		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
349	Diptera	Mycetophilidae	Speolepta leptogaster	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
350	Diptera	Mythicomyiidae	Cyrtosia marginata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
352	Diptera	Nycteribiidae	Phthiridium biarticulatum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
354	Diptera	Odiniidae	Odinia boletina		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
356	Diptera	Oestridae	Gasterophilus intestinalis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
358	Diptera	Opetiidae	Opetia nigra		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
