	superorder	orders_latin_name	latin_name_1	latin_name_2	latin_name_3	species_id_1	species_id_2	species_id_3	status	phylum	phase1
223	Actinopterygii (Ray-finned Fishes)	Mugiliformes	Chelon labrosus	Mugil cephalus					3	Chordata	VGP
224	Actinopterygii (Ray-finned Fishes)	Atheriniformes	Melanotaenia boesemani	Neostethus bicornis		fMelBoe1			4	Chordata	VGP
225	Actinopterygii (Ray-finned Fishes)	Beloniformes	Xenentodon cancila			fXenCan1			4	Chordata	VGP
226	Actinopterygii (Ray-finned Fishes)	Pholidichthyiformes	Pholidichthys leucotaenia						4	Chordata	VGP
227	Actinopterygii (Ray-finned Fishes)	Uranoscopiformes	Hyperoplus lanceolatus	Astroscopus y-graecum					3	Chordata	VGP
228	Actinopterygii (Ray-finned Fishes)	Blenniiformes	Salarias fasciatus			fSalaFa1			4	Chordata	VGP
229	Actinopterygii (Ray-finned Fishes)	Trachichthyiformes	Anoplogaster cornuta						3	Chordata	VGP
230	Actinopterygii (Ray-finned Fishes)	Centrarchiformes	Micropterus salmoides			HNU_Msal_1.0			4	Chordata	VGP
231	Actinopterygii (Ray-finned Fishes)	Labriformes sensu stricto	Notolabrus celidotus	Tautogolabrus adspersus	Symphodus melops	fNotCel1	fTauAds1		4	Chordata	VGP
232	Actinopterygii (Ray-finned Fishes)	Ephippiformes	Drepane punctata						2	Chordata	VGP
233	Actinopterygii (Ray-finned Fishes)	Perciformes	Cottoperca gobio	Melanostigma pammelas	Pholis gunnellus	fCotGob3	fMelPam1	fPhoGun1	4	Chordata	VGP
234	Actinopterygii (Ray-finned Fishes)	Chaetodontiformes	Chelmon rostratus			fCheRos1			4	Chordata	VGP
236	Actinopterygii (Ray-finned Fishes)	Acanthuriformes	Luvarus imperialis	Acanthurus nigricans					2	Chordata	VGP
237	Actinopterygii (Ray-finned Fishes)	Spariformes	Sparus aurata			fSpaAur1			4	Chordata	VGP
238	Actinopterygii (Ray-finned Fishes)	Lophiiformes	Antennarius maculatus			fAntMac1			4	Chordata	VGP
239	Actinopterygii (Ray-finned Fishes)	Tetraodontiformes	Takifugu rubripes	Mola mola		fTakRub1			4	Chordata	VGP
240	Actinopterygii (Ray-finned Fishes)	Pempheriformes	Pempheris oualensis	Pempheris xanthoptera					3	Chordata	VGP
241	Actinopterygii (Ray-finned Fishes)	Kurtiformes	Sphaeramia orbicularis			fSphaOr1			4	Chordata	VGP
242	Actinopterygii (Ray-finned Fishes)	Gobiesociformes	Gouania willdenowi			fGouWil1			4	Chordata	VGP
243	Actinopterygii (Ray-finned Fishes)	Trachiniformes	Echiichthys vipera						3	Chordata	VGP
244	Actinopterygii (Ray-finned Fishes)	Scorpaeniformes (Cyclopteridae)	Cyclopterus lumpus	Taurulus bubalis		fCycLum1	fTauBub2		4	Chordata	VGP
246	Chondrichthyes (Cartilaginous Fishes)	Chimaeriformes	Callorhinchus milii						2	Chordata	VGP
247	Chondrichthyes (Cartilaginous Fishes)	Heterodontiformes	Heterodontus francisci						3	Chordata	VGP
248	Chondrichthyes (Cartilaginous Fishes)	Orectolobiformes	Hemiscyllium ocellatum	Rhincodon typus		sHemOce1			4	Chordata	VGP
249	Chondrichthyes (Cartilaginous Fishes)	Lamniformes	Carcharodon carcharias			sCarCar2			4	Chordata	VGP
250	Chondrichthyes (Cartilaginous Fishes)	Carcharhiniformes	Scyliorhinus canicula	Glyphis glyphis	Sphyrna mokarran	sScyCan1			4	Chordata	VGP
251	Chondrichthyes (Cartilaginous Fishes)	Hexanchiformes	Chlamydoselachus anguineus	Heptranchias perlo			sHepPer1		3	Chordata	VGP
252	Chondrichthyes (Cartilaginous Fishes)	Squaliformes	Squalus acanthias						3	Chordata	VGP
254	Chondrichthyes (Cartilaginous Fishes)	Squatiniformes	Squatina dumeril						2	Chordata	VGP
255	Chondrichthyes (Cartilaginous Fishes)	Pristiophoriformes	Pristiophorus nudipinnis						2	Chordata	VGP
256	Chondrichthyes (Cartilaginous Fishes)	Torpediniformes	Torpedo marmorata						3	Chordata	VGP
257	Chondrichthyes (Cartilaginous Fishes)	Rajiformes	Amblyraja radiata	Leucoraja erinacea		sAmbRad1			4	Chordata	VGP
258	Chondrichthyes (Cartilaginous Fishes)	Pristiformes	Pristis pectinata			sPriPec2			4	Chordata	VGP
260	Sarcopterygii (Lobe-finned fishes)	Coelacanthiformes	Latimeria chalumnae	Latimeria menadoensis					2	Chordata	VGP
261	Sarcopterygii (Lobe-finned fishes)	Ceratodontiformes	Protopterus dolloi						3	Chordata	VGP
262	Agnatha (Jawless Fishes)	Myxiniformes	Myxine glutinosa						3	Chordata	VGP
263	Agnatha (Jawless Fishes)	Petromyzontiformes	Petromyzon marinus	Lethenteron japonicum		kPetMar1			4	Chordata	VGP
264	Deuterostomes	Amphioxiformes	Branchiostoma belcheri						4	Chordata	VGP
265	Deuterostomes	Forcipulatida	Asterias rubens	Patiria miniata	Asterias forbesi	eAstRub1			4	Chordata	VGP
267	Tunicata	Enterogona	Ciona intestinalis						3	Chordata	VGP
