	gen	sp	fam	family_representative	long_list	other_priority
1	Abrothallus	parmeliarum	Abrothallaceae		DTOL	
3	Abrothallus	welwitschii	Abrothallaceae		DTOL	
5	Acanthochitona	crinita	Acanthochitonidae	DTOL	DTOL	
6	Acanthochitona	fascicularis	Acanthochitonidae	DTOL	DTOL	
8	Neophasis	anarrhichae	Acanthocolpidae	DTOL	DTOL	
9	Acanthosoma	haemorrhoidale	Acanthosomatidae	DTOL	DTOL	
10	Sarcogyne	regularis	Acarosporaceae		DTOL	
13	Acarospora	fuscata	Acarosporaceae	DTOL	DTOL	
14	Polysporina	simplex	Acarosporaceae	DTOL	DTOL	
15	Acartophthalmus	nigrinus	Acartophthalmidae	DTOL	DTOL	
17	Acaulospora	laevis	Acaulosporaceae	DTOL	DTOL	
18	Pernis	apivorus	Accipitridae		DTOL	
19	Aquila	chrysaetos	Accipitridae		DTOL	
20	Accipiter	nisus	Accipitridae		DTOL	
21	Accipiter	gentilis	Accipitridae		DTOL	
22	Circus	aeruginosus	Accipitridae		DTOL	
23	Circus	pygargus	Accipitridae		DTOL	
24	Haliaeetus	albicilla	Accipitridae		DTOL	
25	Buteo	buteo	Accipitridae		DTOL	
26	Circus	cyaneus	Accipitridae	DTOL	DTOL	
27	Milvus	milvus	Accipitridae	DTOL	DTOL	
28	Achlya	radiosa	Saprolegniaceae	DTOL	DTOL	
29	Acinetospora	crinita	Acinetosporaceae	DTOL	DTOL	
30	Pylaiella	littoralis	Acinetosporaceae	DTOL	DTOL	
31	Panthalis	oerstedi	Acoetidae	DTOL	DTOL	
32	Chorthippus	brunneus	Acrididae	DTOL	DTOL	
33	Acrobolbus	wilsonii	Acrobolbaceae	DTOL	DTOL	
36	Acrocera	orbiculus	Acroceridae	DTOL	DTOL	
37	Acrochaetium	microscopicum	Acrochaetiaceae	DTOL	DTOL	
38	Acrochaetium	secundatum	Acrochaetiaceae	DTOL	DTOL	
39	Macrochaeta	clavicornis	Acrocirridae	DTOL	DTOL	
41	Acrospermum	graminum	Acrospermaceae		DTOL	
43	Oomyces	carneoalbus	Acrospermaceae		DTOL	
44	Acrospermum	compressum	Acrospermaceae	DTOL	DTOL	
45	Acteon	tornatilis	Acteonidae	DTOL	DTOL	
46	Actinia	equina	Actiniidae	DTOL	DTOL	
47	Actinia	fragacea	Actiniidae	DTOL	DTOL	
48	Anemonia	viridis	Actiniidae	DTOL	DTOL	
49	Aulactinia	verrucosa	Actiniidae	DTOL	DTOL	
50	Stomphia	coccinea	Actinostolidae	DTOL	DTOL	
51	Pseudomarsupidium	decipiens	Adelanthaceae		DTOL	
52	Adelanthus	lindenbergianus	Adelanthaceae	DTOL	DTOL	
53	Syzygiella	autumnalis	Adelanthaceae	DTOL	DTOL	
54	Adelges	laricis	Adelgidae	DTOL	DTOL	
55	Nemophora	degeerella	Adelidae	DTOL	DTOL	
61	Aderus	populneus	Aderidae	DTOL	DTOL	
62	Adoxa	moschatellina	Adoxaceae		DTOL	
63	Sambucus	ebulus	Adoxaceae		DTOL	
64	Viburnum	opulus	Adoxaceae		DTOL	
65	Viburnum	lantana	Adoxaceae	DTOL	DTOL	
66	Sambucus	nigra	Adoxaceae		DTOL	DTOL
68	Aegires	punctilucens	Aegiridae	DTOL	DTOL	
69	Aegithalos	caudatus	Aegithalidae	DTOL	DTOL	
70	Aeolidia	papillosa	Aeolidiidae	DTOL	DTOL	
71	Aeolidiella	glauca	Aeolidiidae	DTOL	DTOL	
72	Aeolothrips	albicinctus	Aeolothripidae	DTOL	DTOL	
73	Aeshna	cyanea	Aeshnidae	DTOL	DTOL	
75	Chlorophyllum	rhacodes	Agaricaceae		DTOL	
76	Coprinus	comatus	Agaricaceae		DTOL	
77	Echinoderma	asperum	Agaricaceae		DTOL	
78	Leucocoprinus	birnbaumii	Agaricaceae		DTOL	
79	Leucocoprinus	cepistipes	Agaricaceae		DTOL	
80	Agaricus	xanthodermus	Agaricaceae		DTOL	
81	Eratigena	atrica	Agelenidae	DTOL	DTOL	
83	Agyrium	rufum	Agyriaceae	DTOL	DTOL	
84	Ahnfeltia	plicata	Ahnfeltiaceae	DTOL	DTOL	
85	Aiptasia	couchii	Aiptasiidae	DTOL	DTOL	
86	Disphyma	crassifolium	Aizoaceae	DTOL	DTOL	
87	Carpobrotus	edulis	Aizoaceae		DTOL	DTOL
88	Histoplasma	capsulatum	Ajellomycetaceae	DTOL	DTOL	
89	Akera	bullata	Akeridae	DTOL	DTOL	
90	Roxania	utriculus	Alacuppidae	DTOL	DTOL	
91	Alaria	esculenta	Alariaceae	DTOL	DTOL	
92	Lullula	arborea	Alaudidae		DTOL	
93	Alauda	arvensis	Alaudidae	DTOL	DTOL	
94	Eremophila	alpestris	Alaudidae	DTOL	DTOL	
97	Albugo	lepigoni	Albuginaceae		DTOL	
98	Albugo	trianthemae	Albuginaceae		DTOL	
99	Pustula	tragopogonis	Albuginaceae		DTOL	
100	Albugo	candida	Albuginaceae	DTOL	DTOL	
101	Alcedo	atthis	Alcedinidae	DTOL	DTOL	
102	Alle	alle	Alcidae		DTOL	
103	Alca	torda	Alcidae		DTOL	
104	Cepphus	grylle	Alcidae		DTOL	
105	Uria	aalge	Alcidae	DTOL	DTOL	
106	Fratercula	arctica	Alcidae	DTOL	DTOL	
107	Alcyonidium	diaphanum	Alcyonidiidae	DTOL	DTOL	
108	Alcyonidium	hirsutum	Alcyonidiidae	DTOL	DTOL	
109	Alcyonium	digitatum	Alcyoniidae	DTOL	DTOL	
111	Alepisaurus	ferox	Alepisauridae	DTOL	DTOL	
112	Alepocephalus	bairdii	Alepocephalidae		DTOL	
113	Bathyprion	danae	Alepocephalidae		DTOL	
114	Bathytroctes	microlepis	Alepocephalidae		DTOL	
115	Alepocephalus	agassizii	Alepocephalidae		DTOL	
116	Alepocephalus	australis	Alepocephalidae		DTOL	
117	Alepocephalus	productus	Alepocephalidae		DTOL	
118	Bathytroctes	macrolepis	Alepocephalidae		DTOL	
119	Bathytroctes	michaelsarsi	Alepocephalidae		DTOL	
120	Narcetes	stomias	Alepocephalidae		DTOL	
121	Bajacalifornia	megalops	Alepocephalidae		DTOL	
122	Conocara	macropterum	Alepocephalidae		DTOL	
123	Conocara	murrayi	Alepocephalidae		DTOL	
124	Rinoctes	nasutus	Alepocephalidae		DTOL	
125	Xenodermichthys	copei	Alepocephalidae		DTOL	
126	Rouleina	attrita	Alepocephalidae		DTOL	
127	Conocara	salmoneum	Alepocephalidae		DTOL	
128	Alepocephalus	rostratus	Alepocephalidae		DTOL	
129	Rouleina	maderensis	Alepocephalidae		DTOL	
130	Photostylus	pycnopterus	Alepocephalidae		DTOL	
133	Sphaerosoma	pilosum	Alexiidae	DTOL	DTOL	
134	Aleyrodes	lonicerae	Aleyrodidae	DTOL	DTOL	
135	Jahnula	aquatica	Aliquandostipitaceae	DTOL	DTOL	
137	Alisma	gramineum	Alismataceae		DTOL	
138	Alisma	lanceolatum	Alismataceae		DTOL	
139	Baldellia	ranunculoides	Alismataceae		DTOL	
140	Damasonium	alisma	Alismataceae		DTOL	
141	Luronium	natans	Alismataceae		DTOL	
142	Sagittaria	latifolia	Alismataceae		DTOL	
143	Sagittaria	sagittifolia	Alismataceae		DTOL	
144	Alisma	plantago-aquatica	Alismataceae	DTOL	DTOL	
146	Alphamyces	chaetifer	Alphamycetaceae	DTOL	DTOL	
147	Alydus	calcaratus	Alydidae	DTOL	DTOL	
148	Amanita	phalloides	Amanitaceae		DTOL	
149	Amanita	citrina	Amanitaceae		DTOL	
150	Amanita	excelsa	Amanitaceae		DTOL	
151	Amanita	fulva	Amanitaceae		DTOL	
152	Amanita	rubescens	Amanitaceae		DTOL	
153	Amanita	muscaria	Amanitaceae	DTOL	DTOL	
154	Atriplex	glabriuscula	Amaranthaceae		DTOL	
155	Atriplex	laciniata	Amaranthaceae		DTOL	
156	Atriplex	littoralis	Amaranthaceae		DTOL	
157	Atriplex	longipes	Amaranthaceae		DTOL	
158	Atriplex	patula	Amaranthaceae		DTOL	
159	Atriplex	pedunculata	Amaranthaceae		DTOL	
160	Atriplex	portulacoides	Amaranthaceae		DTOL	
161	Atriplex	prostrata	Amaranthaceae		DTOL	
162	Blitum	bonus-henricus	Amaranthaceae		DTOL	
163	Chenopodiastrum	hybridum	Amaranthaceae		DTOL	
164	Chenopodiastrum	murale	Amaranthaceae		DTOL	
165	Chenopodium	album	Amaranthaceae		DTOL	
166	Chenopodium	ficifolium	Amaranthaceae		DTOL	
167	Chenopodium	vulvaria	Amaranthaceae		DTOL	
168	Lipandra	polysperma	Amaranthaceae		DTOL	
169	Oxybasis	chenopodioides	Amaranthaceae		DTOL	
170	Oxybasis	glauca	Amaranthaceae		DTOL	
171	Oxybasis	rubra	Amaranthaceae		DTOL	
172	Oxybasis	urbica	Amaranthaceae		DTOL	
174	Salicornia	dolichostachya	Amaranthaceae		DTOL	
175	Salicornia	emerici	Amaranthaceae		DTOL	
176	Salicornia	europaea	Amaranthaceae		DTOL	
177	Salicornia	fragilis	Amaranthaceae		DTOL	
178	Salicornia	nitens	Amaranthaceae		DTOL	
179	Salicornia	ramosissima	Amaranthaceae		DTOL	
180	Suaeda	maritima	Amaranthaceae		DTOL	
181	Atriplex	praecox	Amaranthaceae	DTOL	DTOL	
183	Salicornia	obscura	Amaranthaceae		DTOL	DTOL
184	Suaeda	vera	Amaranthaceae		DTOL	DTOL
185	Allium	ampeloprasum	Amaryllidaceae		DTOL	
186	Allium	oleraceum	Amaryllidaceae		DTOL	
187	Allium	paradoxum	Amaryllidaceae		DTOL	
188	Allium	scorodoprasum	Amaryllidaceae		DTOL	
189	Allium	sphaerocephalon	Amaryllidaceae		DTOL	
190	Allium	triquetrum	Amaryllidaceae		DTOL	
191	Allium	ursinum	Amaryllidaceae		DTOL	
192	Allium	vineale	Amaryllidaceae		DTOL	
193	Allium	schoenoprasum	Amaryllidaceae	DTOL	DTOL	
194	Narcissus	pseudonarcissus	Amaryllidaceae		DTOL	DTOL
195	Amaurobius	similis	Amaurobiidae	DTOL	DTOL	
199	Amblystegium	serpens	Amblystegiaceae		DTOL	
200	Campyliadelphus	chrysophyllus	Amblystegiaceae		DTOL	
201	Campyliadelphus	elodes	Amblystegiaceae		DTOL	
202	Campylium	bambergeri	Amblystegiaceae		DTOL	
203	Campylium	protensum	Amblystegiaceae		DTOL	
204	Campylium	stellatum	Amblystegiaceae		DTOL	
205	Campylophyllopsis	calcarea	Amblystegiaceae		DTOL	
206	Campylophyllum	halleri	Amblystegiaceae		DTOL	
207	Conardia	compacta	Amblystegiaceae		DTOL	
208	Cratoneuron	curvicaule	Amblystegiaceae		DTOL	
209	Cratoneuron	filicinum	Amblystegiaceae		DTOL	
210	Drepanocladus	aduncus	Amblystegiaceae		DTOL	
211	Drepanocladus	lycopodioides	Amblystegiaceae		DTOL	
212	Drepanocladus	polygamus	Amblystegiaceae		DTOL	
213	Drepanocladus	sendtneri	Amblystegiaceae		DTOL	
214	Drepanocladus	trifarius	Amblystegiaceae		DTOL	
215	Drepanocladus	turgescens	Amblystegiaceae		DTOL	
216	Hygroamblystegium	fluviatile	Amblystegiaceae		DTOL	
219	Hygroamblystegium	varium	Amblystegiaceae		DTOL	
220	Hygrohypnum	luridum	Amblystegiaceae		DTOL	
221	Hygrohypnum	styriacum	Amblystegiaceae		DTOL	
222	Leptodictyum	riparium	Amblystegiaceae		DTOL	
223	Microhypnum	sauteri	Amblystegiaceae		DTOL	
224	Palustriella	decipiens	Amblystegiaceae		DTOL	
225	Platyhypnum	duriusculum	Amblystegiaceae		DTOL	
226	Platyhypnum	molle	Amblystegiaceae		DTOL	
227	Platyhypnum	smithii	Amblystegiaceae		DTOL	
228	Pseudocampylium	radicale	Amblystegiaceae		DTOL	
230	Tomentypnum	nitens	Amblystegiaceae		DTOL	
232	Palustriella	falcata	Amblystegiaceae	DTOL	DTOL	
233	Ameletus	inopinatus	Ameletidae	DTOL	DTOL	
234	Achelia	echinata	Ammotheidae	DTOL	DTOL	
236	Anguillospora	crassa	Amniculicolaceae		DTOL	
238	Murispora	rubicunda	Amniculicolaceae		DTOL	
239	Anguillospora	furtiva	Amniculicolaceae	DTOL	DTOL	
241	Amoeba	proteus	Amoebidae	DTOL	DTOL	
242	Amorphotheca	resinae	Amorphothecaceae	DTOL	DTOL	
244	Melinna	palmata	Ampharetidae	DTOL	DTOL	
248	Paramphinome	jeffreysii	Amphinomidae	DTOL	DTOL	
249	Pareurythoe	borealis	Amphinomidae	DTOL	DTOL	
250	Amphiporus	lactifloreus	Amphiporidae	DTOL	DTOL	
251	Kolbia	quisquiliarum	Amphipsocidae	DTOL	DTOL	
256	Monographella	nivalis	Amphisphaeriaceae	DTOL	DTOL	
258	Wallrothiella	subiculosa	Amplistromataceae	DTOL	DTOL	
259	Amyloxenasma	allantosporum	Amylocorticiaceae		DTOL	
261	Ceraceomyces	sublaevis	Amylocorticiaceae		DTOL	
262	Plicaturopsis	crispa	Amylocorticiaceae		DTOL	
264	Ceraceomyces	tessulatus	Amylocorticiaceae	DTOL	DTOL	
265	Anastrepta	orcadensis	Anastrophyllaceae		DTOL	
267	Anastrophyllum	joergensenii	Anastrophyllaceae		DTOL	
268	Barbilophozia	barbata	Anastrophyllaceae		DTOL	
269	Barbilophozia	hatcheri	Anastrophyllaceae		DTOL	
271	Barbilophozia	lycopodioides	Anastrophyllaceae		DTOL	
273	Barbilophozia	sudetica	Anastrophyllaceae		DTOL	
274	Biantheridion	undulifolium	Anastrophyllaceae		DTOL	
275	Gymnocolea	inflata	Anastrophyllaceae		DTOL	
276	Gymnocolea	inflata	Anastrophyllaceae		DTOL	
277	Isopaches	bicrenatus	Anastrophyllaceae		DTOL	
278	Orthocaulis	atlanticus	Anastrophyllaceae		DTOL	
281	Sphenolobopsis	pearsonii	Anastrophyllaceae		DTOL	
282	Sphenolobus	minutus	Anastrophyllaceae		DTOL	
283	Sphenolobus	saxicola	Anastrophyllaceae		DTOL	
284	Tetralophozia	setiformis	Anastrophyllaceae		DTOL	
285	Anastrophyllum	alpinum	Anastrophyllaceae	DTOL	DTOL	
286	Anastrophyllum	donnianum	Anastrophyllaceae	DTOL	DTOL	
287	Branta	canadensis	Anatidae		DTOL	
288	Branta	leucopsis	Anatidae		DTOL	
289	Anser	anser	Anatidae		DTOL	
290	Anser	fabalis	Anatidae		DTOL	
291	Anser	brachyrhynchus	Anatidae		DTOL	
292	Anser	serrirostris	Anatidae		DTOL	
293	Anser	albifrons	Anatidae		DTOL	
294	Cygnus	olor	Anatidae		DTOL	
295	Cygnus	columbianus	Anatidae		DTOL	
296	Cygnus	cygnus	Anatidae		DTOL	
297	Alopochen	aegyptiaca	Anatidae		DTOL	
298	Tadorna	tadorna	Anatidae		DTOL	
299	Aix	galericulata	Anatidae		DTOL	
300	Spatula	querquedula	Anatidae		DTOL	
301	Spatula	clypeata	Anatidae		DTOL	
302	Mareca	strepera	Anatidae		DTOL	
303	Mareca	penelope	Anatidae		DTOL	
304	Anas	acuta	Anatidae		DTOL	
305	Anas	crecca	Anatidae		DTOL	
306	Netta	rufina	Anatidae		DTOL	
307	Aythya	ferina	Anatidae		DTOL	
308	Aythya	fuligula	Anatidae		DTOL	
309	Aythya	marila	Anatidae		DTOL	
310	Somateria	mollissima	Anatidae		DTOL	
311	Melanitta	fusca	Anatidae		DTOL	
312	Melanitta	nigra	Anatidae		DTOL	
313	Clangula	hyemalis	Anatidae		DTOL	
314	Bucephala	clangula	Anatidae		DTOL	
315	Mergellus	albellus	Anatidae		DTOL	
316	Mergus	merganser	Anatidae		DTOL	
317	Mergus	serrator	Anatidae		DTOL	
318	Branta	bernicla	Anatidae	DTOL	DTOL	
319	Anas	platyrhynchos	Anatidae	DTOL	DTOL	
321	Conidiobolus	coronatus	Ancylistaceae		DTOL	
322	Conidiobolus	obscurus	Ancylistaceae		DTOL	
325	Andreaea	alpestris	Andreaeaceae		DTOL	
326	Andreaea	blyttii	Andreaeaceae		DTOL	
327	Andreaea	frigida	Andreaeaceae		DTOL	
328	Andreaea	megistospora	Andreaeaceae		DTOL	
329	Andreaea	mutabilis	Andreaeaceae		DTOL	
330	Andreaea	rothii	Andreaeaceae		DTOL	
331	Andreaea	rothii	Andreaeaceae		DTOL	
332	Andreaea	rupestris	Andreaeaceae		DTOL	
333	Andreaea	rupestris	Andreaeaceae		DTOL	
334	Andreaea	sinuosa	Andreaeaceae		DTOL	
335	Andreaea	hookeri	Andreaeaceae	DTOL	DTOL	
336	Andreaea	nivalis	Andreaeaceae	DTOL	DTOL	
337	Andrena	cineraria	Andrenidae	DTOL	DTOL	
338	Aneura	mirabilis	Aneuraceae		DTOL	
339	Riccardia	chamedryfolia	Aneuraceae		DTOL	
340	Riccardia	incurvata	Aneuraceae		DTOL	
341	Riccardia	latifrons	Aneuraceae		DTOL	
342	Riccardia	multifida	Aneuraceae		DTOL	
343	Aneura	pinguis	Aneuraceae	DTOL	DTOL	
344	Riccardia	palmata	Aneuraceae	DTOL	DTOL	
345	Anguis	fragilis	Anguidae	DTOL	DTOL	
346	Sylvicola	fenestralis	Anisopodidae	DTOL	DTOL	
350	Pseudoproboscispora	caudae-suis	Annulatascaceae	DTOL	DTOL	
353	Anomia	ephippium	Anomiidae	DTOL	DTOL	
355	Anomodon	longifolius	Anomodontaceae	DTOL	DTOL	
356	Anomodon	viticulosus	Anomodontaceae	DTOL	DTOL	
357	Anthelia	julacea	Antheliaceae	DTOL	DTOL	
358	Anthelia	juratzkana	Antheliaceae	DTOL	DTOL	
359	Anthicus	antherinus	Anthicidae	DTOL	DTOL	
360	Anthoceros	agrestis	Anthocerotaceae	DTOL	DTOL	
361	Anthoceros	punctatus	Anthocerotaceae	DTOL	DTOL	
362	Anthocoris	nemorum	Anthocoridae	DTOL	DTOL	
363	Anthomyia	pluvialis	Anthomyiidae	DTOL	DTOL	
364	Anthomyza	gracilis	Anthomyzidae	DTOL	DTOL	
366	Anthracoidea	karii	Anthracoideaceae		DTOL	
367	Anthracoidea	paniceae	Anthracoideaceae		DTOL	
368	Anthracoidea	subinclusa	Anthracoideaceae		DTOL	
369	Farysia	thuemenii	Anthracoideaceae		DTOL	
370	Anthracoidea	caricis	Anthracoideaceae	DTOL	DTOL	
371	Platyrhinus	resinosus	Anthribidae	DTOL	DTOL	
373	Anyphaena	numida	Anyphaenidae	DTOL	DTOL	
374	Aongstroemia	longipes	Aongstroemiaceae		DTOL	
375	Dichodontium	flavescens	Aongstroemiaceae		DTOL	
376	Dichodontium	palustre	Aongstroemiaceae	DTOL	DTOL	
377	Dichodontium	pellucidum	Aongstroemiaceae	DTOL	DTOL	
378	Apatania	muliebris	Apataniidae	DTOL	DTOL	
380	Aphanopsis	coenosa	Aphanopsidaceae	DTOL	DTOL	
382	Marietta	picta	Aphelinidae	DTOL	DTOL	
383	Aphelocheirus	aestivalis	Aphelocheiridae	DTOL	DTOL	
384	Aphis	fabae	Aphididae	DTOL	DTOL	
385	Macrosiphum	rosae	Aphididae	DTOL	DTOL	
386	Aphodius	rufipes	Aphodiidae	DTOL	DTOL	
387	Aphrodita	aculeata	Aphroditidae	DTOL	DTOL	
388	Laetmonice	hystrix	Aphroditidae	DTOL	DTOL	
389	Aphrophora	alni	Aphrophoridae	DTOL	DTOL	
390	Aegopodium	podagraria	Apiaceae		DTOL	
391	Aethusa	cynapium	Apiaceae		DTOL	
392	Angelica	archangelica	Apiaceae		DTOL	
393	Angelica	sylvestris	Apiaceae		DTOL	
394	Anthriscus	caucalis	Apiaceae		DTOL	
395	Apium	graveolens	Apiaceae		DTOL	
396	Berula	erecta	Apiaceae		DTOL	
397	Bunium	bulbocastanum	Apiaceae		DTOL	
398	Bupleurum	baldense	Apiaceae		DTOL	
399	Bupleurum	rotundifolium	Apiaceae		DTOL	
400	Bupleurum	tenuissimum	Apiaceae		DTOL	
401	Carum	carvi	Apiaceae		DTOL	
402	Caucalis	platycarpos	Apiaceae		DTOL	
403	Chaerophyllum	temulum	Apiaceae		DTOL	
404	Cicuta	virosa	Apiaceae		DTOL	
405	Conium	maculatum	Apiaceae		DTOL	
406	Conopodium	majus	Apiaceae		DTOL	
407	Eryngium	campestre	Apiaceae		DTOL	
408	Eryngium	maritimum	Apiaceae		DTOL	
410	Helosciadium	inundatum	Apiaceae		DTOL	
411	Helosciadium	nodiflorum	Apiaceae		DTOL	
412	Helosciadium	repens	Apiaceae		DTOL	
413	Heracleum	sphondylium	Apiaceae		DTOL	
415	Ligusticum	scoticum	Apiaceae		DTOL	
416	Meum	athamanticum	Apiaceae		DTOL	
417	Oenanthe	aquatica	Apiaceae		DTOL	
418	Oenanthe	crocata	Apiaceae		DTOL	
419	Oenanthe	fistulosa	Apiaceae		DTOL	
420	Oenanthe	fluviatilis	Apiaceae		DTOL	
421	Oenanthe	lachenalii	Apiaceae		DTOL	
422	Oenanthe	pimpinelloides	Apiaceae		DTOL	
423	Oenanthe	silaifolia	Apiaceae		DTOL	
424	Pastinaca	sativa	Apiaceae		DTOL	
425	Petroselinum	crispum	Apiaceae		DTOL	
426	Peucedanum	officinale	Apiaceae		DTOL	
427	Physospermum	cornubiense	Apiaceae		DTOL	
428	Pimpinella	major	Apiaceae		DTOL	
429	Pimpinella	saxifraga	Apiaceae		DTOL	
430	Sanicula	europaea	Apiaceae		DTOL	
431	Scandix	pecten-veneris	Apiaceae		DTOL	
432	Selinum	carvifolia	Apiaceae		DTOL	
433	Seseli	libanotis	Apiaceae		DTOL	
434	Silaum	silaus	Apiaceae		DTOL	
435	Sison	amomum	Apiaceae		DTOL	
436	Sison	segetum	Apiaceae		DTOL	
437	Sium	latifolium	Apiaceae		DTOL	
438	Smyrnium	olusatrum	Apiaceae		DTOL	
439	Thysselinum	palustre	Apiaceae		DTOL	
440	Torilis	arvensis	Apiaceae		DTOL	
441	Torilis	japonica	Apiaceae		DTOL	
442	Torilis	nodosa	Apiaceae		DTOL	
443	Trinia	glauca	Apiaceae		DTOL	
445	Anthriscus	sylvestris	Apiaceae	DTOL	DTOL	
446	Daucus	carota	Apiaceae	DTOL	DTOL	
447	Crithmum	maritimum	Apiaceae		DTOL	DTOL
448	Heracleum	mantegazzianum	Apiaceae		DTOL	DTOL
449	Bombus	lapidarius	Apidae	DTOL	DTOL	
450	Pseudoprotapion	astragali	Apionidae	DTOL	DTOL	
451	Apiospora	bambusae	Apiosporaceae		DTOL	
452	Arthrinium	phaeospermum	Apiosporaceae		DTOL	
453	Arthrinium	puccinioides	Apiosporaceae		DTOL	
454	Arthrinium	sporophleum	Apiosporaceae		DTOL	
455	Apiospora	montagnei	Apiosporaceae	DTOL	DTOL	
457	Apistobranchus	tullbergi	Apistobranchidae	DTOL	DTOL	
460	Aplysia	depilans	Aplysiidae	DTOL	DTOL	
461	Aplysia	punctata	Aplysiidae	DTOL	DTOL	
462	Vinca	minor	Apocynaceae	DTOL	DTOL	
466	Apus	apus	Apodidae	DTOL	DTOL	
467	Aponogeton	distachyos	Aponogetonaceae	DTOL	DTOL	
468	Aporrhais	pespelecani	Aporrhaidae	DTOL	DTOL	
469	Aporrhais	pespelecani	Aporrhaidae	DTOL	DTOL	
471	Apusomonas	proboscidea	Apusomonadidae	DTOL	DTOL	
473	Ilex	aquifolium	Aquifoliaceae	DTOL	DTOL	
474	Arum	italicum	Araceae		DTOL	
475	Lemna	minor	Araceae		DTOL	
476	Lemna	minuta	Araceae		DTOL	
477	Lemna	trisulca	Araceae		DTOL	
478	Lemna	turionifera	Araceae		DTOL	
479	Spirodela	polyrhiza	Araceae		DTOL	
480	Wolffia	arrhiza	Araceae		DTOL	
481	Arum	maculatum	Araceae	DTOL	DTOL	
482	Lemna	gibba	Araceae		DTOL	DTOL
483	Lysichiton	americanus	Araceae		DTOL	DTOL
487	Arachnomyces	peruvianus	Arachnomycetaceae		DTOL	
488	Arachnomyces	nitidus	Arachnomycetaceae	DTOL	DTOL	
490	Arachnopeziza	aurata	Arachnopezizaceae		DTOL	
492	Eriopezia	caesia	Arachnopezizaceae		DTOL	
493	Arachnopeziza	aurelia	Arachnopezizaceae	DTOL	DTOL	
494	Aradus	depressus	Aradidae	DTOL	DTOL	
495	Hedera	hibernica	Araliaceae		DTOL	
496	Hedera	helix	Araliaceae	DTOL	DTOL	
497	Archidium	alternifolium	Archidiaceae	DTOL	DTOL	
499	Bathyarca	pectunculoides	Arcidae	DTOL	DTOL	
500	Arctica	islandica	Arcticidae	DTOL	DTOL	
502	Gregorella	humida	Arctomiaceae		DTOL	
503	Arctomia	delicatula	Arctomiaceae	DTOL	DTOL	
504	Ardea	cinerea	Ardeidae		DTOL	
505	Ardea	alba	Ardeidae		DTOL	
506	Botaurus	stellaris	Ardeidae	DTOL	DTOL	
507	Egretta	garzetta	Ardeidae	DTOL	DTOL	
508	Arenicola	marina	Arenicolidae	DTOL	DTOL	
509	Arenicolides	ecaudata	Arenicolidae	DTOL	DTOL	
510	Arge	nigripes	Argidae	DTOL	DTOL	
511	Argyresthia	brockeella	Argyresthiidae	DTOL	DTOL	
513	Heterodoris	robusta	Arminidae	DTOL	DTOL	
515	Arthonia	didyma	Arthoniaceae		DTOL	
516	Arthonia	punctiformis	Arthoniaceae		DTOL	
518	Arthonia	radiata	Arthoniaceae	DTOL	DTOL	
522	Arthopyrenia	salicis	Arthopyreniaceae	DTOL	DTOL	
523	Arthrocladia	villosa	Arthrocladiaceae	DTOL	DTOL	
525	Arthroderma	quadrifidum	Arthrodermataceae		DTOL	
527	Trichophyton	rubrum	Arthrodermataceae		DTOL	
528	Arthroderma	curreyi	Arthrodermataceae	DTOL	DTOL	
530	Arthrorhaphis	alpina	Arthrorhaphidaceae		DTOL	
531	Arthrorhaphis	grisea	Arthrorhaphidaceae		DTOL	
532	Arthrorhaphis	muddii	Arthrorhaphidaceae		DTOL	
533	Arthrorhaphis	aeruginosa	Arthrorhaphidaceae	DTOL	DTOL	
534	Arthrorhaphis	citrinella	Arthrorhaphidaceae	DTOL	DTOL	
535	Ascidia	conchilega	Ascidiidae		DTOL	
536	Ascidia	mentula	Ascidiidae		DTOL	
539	Ascidia	virginea	Ascidiidae		DTOL	
540	Ascidiella	scabra	Ascidiidae		DTOL	
541	Phallusia	fumigata	Ascidiidae		DTOL	
543	Ascidiella	aspersa	Ascidiidae	DTOL	DTOL	
544	Phallusia	mammillata	Ascidiidae	DTOL	DTOL	
545	Ascidiella	aspersa	Ascidiidae	DTOL	DTOL	
546	Phallusia	mammillata	Ascidiidae	DTOL	DTOL	
547	Ascobolus	equinus	Ascobolaceae		DTOL	
548	Ascobolus	immersus	Ascobolaceae		DTOL	
549	Ascobolus	stercorarius	Ascobolaceae		DTOL	
552	Ascocorticium	anomalum	Ascocorticiaceae	DTOL	DTOL	
553	Ascodesmis	microscopica	Ascodesmidaceae		DTOL	
556	Lasiobolus	cuniculi	Ascodesmidaceae	DTOL	DTOL	
559	Ascodichaena	rugosa	Ascodichaenaceae	DTOL	DTOL	
560	Ascoidea	rubescens	Ascoideaceae	DTOL	DTOL	
561	Bettsia	alvei	Ascosphaeraceae		DTOL	
562	Ascosphaera	apis	Ascosphaeraceae	DTOL	DTOL	
563	Asilus	crabroniformis	Asilidae	DTOL	DTOL	
565	Convallaria	majalis	Asparagaceae		DTOL	
566	Hyacinthoides	hispanica	Asparagaceae		DTOL	
567	Maianthemum	bifolium	Asparagaceae		DTOL	
568	Ornithogalum	pyrenaicum	Asparagaceae		DTOL	
569	Polygonatum	multiflorum	Asparagaceae		DTOL	
570	Polygonatum	odoratum	Asparagaceae		DTOL	
571	Polygonatum	verticillatum	Asparagaceae		DTOL	
572	Ruscus	aculeatus	Asparagaceae		DTOL	
574	Scilla	verna	Asparagaceae	DTOL	DTOL	
